Metrics,LoadPoint,link, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
External Fragmentation (Vertical),0,all, ,0.0013282799144291022,0.0013510196592204887,0.0013391494580658498,0.0013697760329339501,0.0013338443349089834,0.0013005583080052427,0.001333740418669116,0.0013443580307032255,0.0013520580508977417,0.0013188617346997834
External Fragmentation (Vertical),1,all, ,0.0018388423139505177,0.0018649379637144246,0.0018696742595712848,0.0018360695618016693,0.0018134316201082884,0.0018045762990562973,0.0017951850382097183,0.0017851270641830092,0.0018511182993176357,0.001818132214110167
External Fragmentation (Vertical),2,all, ,0.0023274668169161175,0.0023050172757163594,0.0023157054713170795,0.002358173932300881,0.002384993407602927,0.0023404415483667695,0.00235404476240643,0.002318477563696576,0.002315157435216689,0.0023709516123834595


External Fragmentation (Horizontal),0,all, ,7.234811458572647E-4,7.390559382267144E-4,7.238447728302397E-4,7.442541124315803E-4,7.302461668096873E-4,7.016687637698835E-4,7.431435981842255E-4,7.335459873315811E-4,7.559132311728757E-4,7.177054831573015E-4
External Fragmentation (Horizontal),1,all, ,0.001102485017339746,0.0011195075414326397,0.00113760322449133,0.001108390142995349,0.00109182746150342,0.0010605065996696778,0.0010682277086744674,0.001056621622714959,0.001110078384187449,0.0010670185559339674
External Fragmentation (Horizontal),2,all, ,0.0014769442721008223,0.0014715834724890952,0.0014751931103360154,0.0015274799174192662,0.0015196495381873802,0.0014975297933464248,0.0015029572994496871,0.0014756556813127148,0.0014681057507267268,0.0015242039270796728


External Fragmentation Per Link,0,<1-2>, ,0.001345516928269902,0.00135172924823095,0.0013555719363455333,0.0013905021795434067,0.0013240272085908791,0.0012679388826092295,0.0013297244184734289,0.0013454087857881355,0.0013564132335641035,0.001334357476403195
External Fragmentation Per Link,0,<2-1>, ,0.0013110429005877486,0.00135031007020959,0.0013227269797856996,0.0013490498863240562,0.0013436614612265642,0.0013331777334006812,0.0013377564188642645,0.0013433072756178306,0.001347702868230873,0.0013033659929958573
External Fragmentation Per Link,1,<1-2>, ,0.001809166771280705,0.0018803515016505537,0.0018663427993934585,0.0018141284411542248,0.0017906209954746178,0.0018154232229625796,0.0018122281732181203,0.0017467809303568311,0.00184248905711183,0.001827294746765209
External Fragmentation Per Link,1,<2-1>, ,0.0018685178566205463,0.0018495244257785714,0.001873005719749435,0.0018580106824494472,0.0018362422447422272,0.001793729375150226,0.0017781419032015583,0.0018234731980094254,0.0018597475415236436,0.0018089696814553395
External Fragmentation Per Link,2,<1-2>, ,0.002348456517687021,0.0023130303371686734,0.0022823205833003507,0.0023411789036919374,0.0023653804740295077,0.002375165056795409,0.002404395158298987,0.002288932710082557,0.00231753967277116,0.0023459080410763752
External Fragmentation Per Link,2,<2-1>, ,0.0023064771161456785,0.0022970042142644244,0.002349090359334219,0.0023751689609102468,0.002404606341176857,0.0023057180399385716,0.0023036943665142597,0.0023480224173110104,0.002312775197662671,0.002395995183691115


