Metrics;LoadPoint;Bandwidth;src;dest; ;rep1;rep2;rep3;rep4;rep5
bandwidth blocking probability;1;all;all;all; ;0.4702579348002713;0.4690448281405338;0.47066104598987935;0.4699220640746058;0.47191532715288825
bandwidth blocking probability;2;all;all;all; ;0.7166271163940863;0.7173477305224839;0.7177267735983511;0.7167927162701144;0.7170972712957515
bandwidth blocking probability;3;all;all;all; ;0.8075538516602744;0.808442660764928;0.8081021850954901;0.8068855931024803;0.8077250582616015
bandwidth blocking probability;4;all;all;all; ;0.8535981162056204;0.8543850473601352;0.854891636814698;0.8555782850274696;0.8545809987029642
bandwidth blocking probability;5;all;all;all; ;0.8827747079591369;0.8829380553724016;0.8829874087430373;0.8827503758376762;0.8833530732987744


bandwidth blocking probabilities per pair;1;all;1;4; ;0.47306463125217957;0.4768092329423739;0.48350280941578533;0.46107822405737064;0.4787157111929745
bandwidth blocking probabilities per pair;1;all;2;3; ;0.47306363515530103;0.47385233090403595;0.47598961616209096;0.4734284757297359;0.48111948263848714
bandwidth blocking probabilities per pair;1;all;2;1; ;0.4726759227599225;0.4658247774022639;0.4664345402503567;0.47872668368319937;0.4634956604460491
bandwidth blocking probabilities per pair;1;all;4;2; ;0.47331128098718905;0.4676903341942375;0.47618634389918024;0.4543556587010226;0.47946233666758376
bandwidth blocking probabilities per pair;1;all;2;4; ;0.46308083148526025;0.4735940186630489;0.4702778282288323;0.47955954664919725;0.45843987241204526
bandwidth blocking probabilities per pair;1;all;3;4; ;0.461797593030624;0.4633753044836972;0.46374843846174396;0.46724896712479463;0.4689299491823239
bandwidth blocking probabilities per pair;1;all;3;1; ;0.46322883608421134;0.4605497434326525;0.46908713275495356;0.4658740736574413;0.46370484797321726
bandwidth blocking probabilities per pair;1;all;4;1; ;0.4762043243104725;0.4749800519266246;0.473547543254699;0.4755534378407382;0.4797353374343515
bandwidth blocking probabilities per pair;1;all;1;2; ;0.47190324488727053;0.46369928691858503;0.45472297572597414;0.47158412969423485;0.47114823829424657
bandwidth blocking probabilities per pair;1;all;4;3; ;0.47078843399643655;0.4810277399661423;0.4786983327563544;0.4704833063921065;0.4783870040941668
bandwidth blocking probabilities per pair;1;all;1;3; ;0.46730074821374734;0.4660645401892866;0.45811008379771373;0.46592891704284534;0.47118332845529465
bandwidth blocking probabilities per pair;1;all;3;2; ;0.47634392094387684;0.4603986889758945;0.4776065589987514;0.4745779887790051;0.46767117631877136
bandwidth blocking probabilities per pair;2;all;1;4; ;0.7127621189153511;0.716896054667927;0.7288835498028512;0.7110217518481284;0.7183721589371133
bandwidth blocking probabilities per pair;2;all;2;3; ;0.7199303258823293;0.7228031534216135;0.7172919481768993;0.7258702420703947;0.7180108551362929
bandwidth blocking probabilities per pair;2;all;2;1; ;0.7155313719144741;0.7224740183346485;0.71634088191018;0.7249280059249339;0.7174778116276076
bandwidth blocking probabilities per pair;2;all;4;2; ;0.724110382206645;0.7132023759909931;0.718994823664668;0.7113626614556613;0.7108941986468492
bandwidth blocking probabilities per pair;2;all;2;4; ;0.7132737026554534;0.7171302504111838;0.7124054061663719;0.7044470133208224;0.7139032892342374
bandwidth blocking probabilities per pair;2;all;3;4; ;0.7196664991315488;0.7214044637658472;0.7064145113633372;0.7257397506785105;0.7169062032434582
bandwidth blocking probabilities per pair;2;all;3;1; ;0.7190761061784654;0.7147096184761252;0.7184646483807159;0.7054749213234454;0.7152246885862198
bandwidth blocking probabilities per pair;2;all;4;1; ;0.7132216799352303;0.7190450045333848;0.7111529926591147;0.7218102083424506;0.723170229082007
bandwidth blocking probabilities per pair;2;all;1;2; ;0.7076442979856202;0.7094040241232791;0.7228561734524594;0.7239498414985163;0.7242298154630463
