Metrics;LoadPoint;Bandwidth;src;dest; ;rep1;rep2;rep3;rep4;rep5
blocking probability;1;all;all;all; ;0.4704182539920609;0.4701882792892782;0.4702082770895202;0.46892841787403383;0.4694383617802042
blocking probability;2;all;all;all; ;0.71676115627281;0.7199308076111628;0.7155612882582916;0.7180210176880543;0.7170911199768025
blocking probability;3;all;all;all; ;0.805421403645599;0.8082610912799592;0.8075811660717321;0.8070312265650779;0.8096009438961714
blocking probability;4;all;all;all; ;0.8548459669436362;0.8550659427462979;0.8549259581446041;0.8551459339472658;0.8555658877523472
blocking probability;5;all;all;all; ;0.8828428872823989;0.8831328553859076;0.8834228234894161;0.8853326134125247;0.8834728179900211


blocking probability lack of transmitters;1;all;all;all; ;0.2816690164081951;0.28672845986941436;0.2829988701242863;0.28507864134945154;0.28231894491605924
blocking probability lack of transmitters;2;all;all;all; ;0.4942156362800092;0.49845516993130756;0.49027606963234044;0.49808521062683103;0.4942156362800092
blocking probability lack of transmitters;3;all;all;all; ;0.6000239973602903;0.5999940006599274;0.5975242723300437;0.6001539830618632;0.5998740138584756
blocking probability lack of transmitters;4;all;all;all; ;0.6600073991860895;0.6657467678555359;0.6617572067072622;0.6631270560238374;0.664906860245373
blocking probability lack of transmitters;5;all;all;all; ;0.7079121296657368;0.708532061473238;0.7123316435192129;0.7095819459859416;0.7103218645948945


blocking probability lack of receivers;1;all;all;all; ;0.18874923758386578;0.1834598194198638;0.18720940696523383;0.1838497765245823;0.18711941686414493
blocking probability lack of receivers;2;all;all;all; ;0.22254551999280078;0.2214756376798552;0.22528521862595113;0.21993580706122326;0.22287548369679336
blocking probability lack of receivers;3;all;all;all; ;0.20539740628530861;0.2082670906200318;0.21005689374168843;0.20687724350321465;0.20972693003769585
blocking probability lack of receivers;4;all;all;all; ;0.19483856775754668;0.18931917489076203;0.19316875143734188;0.19201887792342842;0.19065902750697422
blocking probability lack of receivers;5;all;all;all; ;0.17493075761666216;0.1746007939126696;0.1710911799702033;0.17575066742658307;0.17315095339512654


blocking probability fragmentation;1;all;all;all; ;0.0;0.0;0.0;0.0;0.0
blocking probability fragmentation;2;all;all;all; ;0.0;0.0;0.0;0.0;0.0
blocking probability fragmentation;3;all;all;all; ;0.0;0.0;0.0;0.0;0.0
blocking probability fragmentation;4;all;all;all; ;0.0;0.0;0.0;0.0;0.0
blocking probability fragmentation;5;all;all;all; ;0.0;0.0;0.0;0.0;0.0


blocking probabilities per pair;1;all;1;4; ;0.4692493946731235;0.48600048274197444;0.47959430089350397;0.4612156815729529;0.4782660616192978
blocking probabilities per pair;1;all;2;3; ;0.47303834808259587;0.4665555820042847;0.4681310767014764;0.47151486438469736;0.47577565632458235
