Metrics;LoadPoint;link; ;rep1;rep2;rep3;rep4;rep5
External Fragmentation (Vertical);1;all; ;0.005206335354527641;0.00510327719131423;0.004946439980485225;0.004999588030644098;0.005104748490898808
External Fragmentation (Vertical);2;all; ;0.003939000739022084;0.003800575887100289;0.0035645574890185196;0.0036957258626491222;0.00384974690417439
External Fragmentation (Vertical);3;all; ;0.003441374416604375;0.003388056957508955;0.003506209993035063;0.003390824338504111;0.0034052141994717895
External Fragmentation (Vertical);4;all; ;0.00307371680709094;0.003280644514917974;0.003032296837816826;0.003480468544058495;0.00295283105097752
External Fragmentation (Vertical);5;all; ;0.0030754274898532256;0.0030157173471423073;0.0029274338363042066;0.0029674577735789944;0.002957196250008976


External Fragmentation (Horizontal);1;all; ;0.0018591337299586283;0.0018006862696510674;0.0017563605504572826;0.0017634486392517884;0.0018291140418127
External Fragmentation (Horizontal);2;all; ;7.58981026397574E-4;7.255843356396906E-4;6.79427398829881E-4;7.204433519470723E-4;7.256650889986467E-4
External Fragmentation (Horizontal);3;all; ;4.4797926801134927E-4;4.3649635250589543E-4;4.6564532303742053E-4;4.433321554695824E-4;4.409376511192092E-4
External Fragmentation (Horizontal);4;all; ;3.022906201039855E-4;3.1796240345879266E-4;3.0228352465189737E-4;3.504960672182799E-4;2.840038508606318E-4
External Fragmentation (Horizontal);5;all; ;2.4438813673745627E-4;2.3809816344945114E-4;2.211469628480961E-4;2.352346961941437E-4;2.2797213233504478E-4


External Fragmentation Per Link;1;<1-4>; ;0.0050138263676297225;0.00494333297141941;0.004922808778632266;0.005234335889447816;0.004866618155011864
External Fragmentation Per Link;1;<4-1>; ;0.005119118289060753;0.005348357917907965;0.005013892466925507;0.004779083443707895;0.00511166404955594
External Fragmentation Per Link;1;<2-4>; ;0.005289399982603562;0.00527361063045219;0.0050456998232683535;0.004838004715962769;0.005065810051149574
External Fragmentation Per Link;1;<4-2>; ;0.0053295239600773805;0.004914350699643666;0.004952524933120129;0.005240722295321855;0.005232932324484347
External Fragmentation Per Link;1;<3-4>; ;0.0054181950183695236;0.0049147098264579235;0.004988397864044877;0.00500290623569237;0.005389056923271727
External Fragmentation Per Link;1;<4-3>; ;0.00506794850941129;0.005225301101991873;0.0047553160169068855;0.004902475603720155;0.00496240944190759
External Fragmentation Per Link;2;<1-4>; ;0.004106260881411267;0.003947500792065649;0.003307783180688277;0.003612691387812308;0.0036998780979762796
External Fragmentation Per Link;2;<4-1>; ;0.0036246817485873265;0.003861090328550947;0.003686306725018911;0.004045575684063099;0.003779920179404551
External Fragmentation Per Link;2;<2-4>; ;0.003844950015638283;0.0037135016387089687;0.0037487314356822537;0.00349658941116517;0.003862444049170761
External Fragmentation Per Link;2;<4-2>; ;0.0044205627960318215;0.0040317171951205315;0.0036540846273528673;0.003407468013372908;0.0038961990226177375
External Fragmentation Per Link;2;<3-4>; ;0.003915503835077031;0.0037856442282610254;0.0034510912907402594;0.0040979310956248335;0.003880095032264583
External Fragmentation Per Link;2;<4-3>; ;0.003722045157379781;0.0034640011398910688;0.003539347674626869;0.003514099583853351;0.003979945043606117
External Fragmentation Per Link;3;<1-4>; ;0.0034473613778326258;0.003604639070887222;0.0035003086470776616;0.0035106659842935525;0.0033460099217723755
External Fragmentation Per Link;3;<4-1>; ;0.003248476180946356;0.003317951694802778;0.0036646884378138725;0.0030868174734597575;0.003273533291253115
External Fragmentation Per Link;3;<2-4>; ;0.003651066518412278;0.0030629232591007963;0.0035432645342218985;0.003334757210044629;0.003245240657504064
External Fragmentation Per Link;3;<4-2>; ;0.0035451328432288534;0.003576058932133107;0.0034792442527017972;0.003554411388027298;0.003256515105286663
External Fragmentation Per Link;3;<3-4>; ;0.003367488056443911;0.0034488152823032464;0.0034188679563057402;0.0033809367169909217;0.0038028314559548524
External Fragmentation Per Link;3;<4-3>; ;0.0033887215227623984;0.0033179535058281925;0.00343088613008953;0.0034773572582105393;0.0035071547650599505
External Fragmentation Per Link;4;<1-4>; ;0.0033024597550098014;0.00315823495825933;0.0029172884971156387;0.003218703178839811;0.002903498573224952
External Fragmentation Per Link;4;<4-1>; ;0.003167952741896973;0.003679221248628351;0.002979011517881705;0.0038528076950206445;0.0028672572626978784
External Fragmentation Per Link;4;<2-4>; ;0.0027369753402858655;0.0033226964276359353;0.0030839662978349785;0.0033604089889448965;0.0029684373718897937
External Fragmentation Per Link;4;<4-2>; ;0.0034801288011757497;0.0034790840914431516;0.003286170554702686;0.003395155247537261;0.00347545805484618
External Fragmentation Per Link;4;<3-4>; ;0.00293374558905985;0.0028405307110383107;0.0030638239700303952;0.0036370996306572824;0.002787048892335232
External Fragmentation Per Link;4;<4-3>; ;0.0028210386151210722;0.0032040996525051356;0.002863520189340582;0.0034186365233532003;0.002715286150878112
External Fragmentation Per Link;5;<1-4>; ;0.002754124294236218;0.0028577752241699095;0.0028918546795401044;0.0032716123799149863;0.003147923986524229
External Fragmentation Per Link;5;<4-1>; ;0.0026735369507002523;0.0028220785248858583;0.0026541399759549347;0.0029272073120601297;0.0025087618819572255
External Fragmentation Per Link;5;<2-4>; ;0.003035704399753783;0.0029772977173240936;0.0031756442982089714;0.0029132465864071897;0.002870744818484663
External Fragmentation Per Link;5;<4-2>; ;0.0035372333364768064;0.0027847238614363817;0.0028142470761848572;0.002514062141538178;0.0033539836512126247
External Fragmentation Per Link;5;<3-4>; ;0.0029573260869108927;0.0035608508116295287;0.0027146041315237756;0.002841581952025787;0.002992160202416546
External Fragmentation Per Link;5;<4-3>; ;0.0034946398710496555;0.0030915779434137285;0.003314112856420027;0.003337036269532345;0.002869602959464178


