Metrics;LoadPoint;link;spectrum size (c); ;rep1;rep2;rep3;rep4;rep5
Relative Fragmentation per spectrum size (c);1;all;1; ;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);1;all;2; ;0.014224327492811812;0.0139613713307369;0.013915437012825162;0.013965922004641392;0.014031149454664861
Relative Fragmentation per spectrum size (c);1;all;3; ;0.021768225076400943;0.021467099274902316;0.021315887260853966;0.02148404490574926;0.02138445279081211
Relative Fragmentation per spectrum size (c);1;all;5; ;0.031196819712859786;0.031275844307248155;0.03095404315690834;0.031070873208257924;0.031397908879832584
Relative Fragmentation per spectrum size (c);2;all;1; ;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);2;all;2; ;0.014052181531690994;0.013715013380353414;0.01378808331720162;0.013928526524040391;0.013760121312209812
Relative Fragmentation per spectrum size (c);2;all;3; ;0.021256689899024007;0.020913069052075305;0.02083820717323111;0.020848620378019028;0.021110423835095066
Relative Fragmentation per spectrum size (c);2;all;5; ;0.029482595095769185;0.029162328294320392;0.029123081622814424;0.029429808274726663;0.02920297175265471
Relative Fragmentation per spectrum size (c);3;all;1; ;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);3;all;2; ;0.013695963575791018;0.013559214207059541;0.013907561314276817;0.01340915875024659;0.013506253304202522
Relative Fragmentation per spectrum size (c);3;all;3; ;0.020518252716493907;0.02046819234963079;0.02080210487085361;0.020811609453713083;0.020594545445064817
Relative Fragmentation per spectrum size (c);3;all;5; ;0.02840755633932735;0.02840240484919284;0.02841241182319194;0.028392479251905373;0.028443286336209635
Relative Fragmentation per spectrum size (c);4;all;1; ;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);4;all;2; ;0.013179812240954067;0.013426603933865982;0.013355583982176506;0.013564218116099647;0.013061907705114794
Relative Fragmentation per spectrum size (c);4;all;3; ;0.020021158507356356;0.019902960618219504;0.02011754347751394;0.020395881278322755;0.019724450328875424
Relative Fragmentation per spectrum size (c);4;all;5; ;0.027848299479515982;0.02790921578147207;0.02806877272213003;0.028042628965650955;0.0277661892380236
Relative Fragmentation per spectrum size (c);5;all;1; ;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);5;all;2; ;0.013561527841408119;0.013076259612881114;0.013139345087875983;0.012984693622191968;0.013014119119430808
Relative Fragmentation per spectrum size (c);5;all;3; ;0.020037196050823883;0.019878639845522506;0.019948634687332132;0.019185222763111267;0.01915602367415821
Relative Fragmentation per spectrum size (c);5;all;5; ;0.027739290654467924;0.027623060423326334;0.027254313490544645;0.026969347269567765;0.027529602388990677


