Metrics;load point;link;number of slots;slot; ;rep1;rep2;rep3;rep4;rep5
Requisitons per number of slots;1;all;1;-; ;1.0;1.0;1.0;1.0;1.0
Requisitons per number of slots;2;all;1;-; ;1.0;1.0;1.0;1.0;1.0
Requisitons per number of slots;3;all;1;-; ;1.0;1.0;1.0;1.0;1.0
Requisitons per number of slots;4;all;1;-; ;1.0;1.0;1.0;1.0;1.0
Requisitons per number of slots;5;all;1;-; ;1.0;1.0;1.0;1.0;1.0


Requisitons per number of slots per link;1;<4-1>;1;-; ;1.0;1.0;1.0;1.0;1.0
Requisitons per number of slots per link;1;<1-4>;1;-; ;1.0;1.0;1.0;1.0;1.0
Requisitons per number of slots per link;1;<2-4>;1;-; ;1.0;1.0;1.0;1.0;1.0
Requisitons per number of slots per link;1;<4-2>;1;-; ;1.0;1.0;1.0;1.0;1.0
Requisitons per number of slots per link;1;<3-4>;1;-; ;1.0;1.0;1.0;1.0;1.0
Requisitons per number of slots per link;1;<4-3>;1;-; ;1.0;1.0;1.0;1.0;1.0
Requisitons per number of slots per link;2;<4-1>;1;-; ;1.0;1.0;1.0;1.0;1.0
Requisitons per number of slots per link;2;<1-4>;1;-; ;1.0;1.0;1.0;1.0;1.0
Requisitons per number of slots per link;2;<2-4>;1;-; ;1.0;1.0;1.0;1.0;1.0
Requisitons per number of slots per link;2;<4-2>;1;-; ;1.0;1.0;1.0;1.0;1.0
Requisitons per number of slots per link;2;<3-4>;1;-; ;1.0;1.0;1.0;1.0;1.0
Requisitons per number of slots per link;2;<4-3>;1;-; ;1.0;1.0;1.0;1.0;1.0
Requisitons per number of slots per link;3;<4-1>;1;-; ;1.0;1.0;1.0;1.0;1.0
Requisitons per number of slots per link;3;<1-4>;1;-; ;1.0;1.0;1.0;1.0;1.0
Requisitons per number of slots per link;3;<2-4>;1;-; ;1.0;1.0;1.0;1.0;1.0
Requisitons per number of slots per link;3;<4-2>;1;-; ;1.0;1.0;1.0;1.0;1.0
Requisitons per number of slots per link;3;<3-4>;1;-; ;1.0;1.0;1.0;1.0;1.0
Requisitons per number of slots per link;3;<4-3>;1;-; ;1.0;1.0;1.0;1.0;1.0
Requisitons per number of slots per link;4;<4-1>;1;-; ;1.0;1.0;1.0;1.0;1.0
Requisitons per number of slots per link;4;<1-4>;1;-; ;1.0;1.0;1.0;1.0;1.0
Requisitons per number of slots per link;4;<2-4>;1;-; ;1.0;1.0;1.0;1.0;1.0
Requisitons per number of slots per link;4;<4-2>;1;-; ;1.0;1.0;1.0;1.0;1.0
Requisitons per number of slots per link;4;<3-4>;1;-; ;1.0;1.0;1.0;1.0;1.0
Requisitons per number of slots per link;4;<4-3>;1;-; ;1.0;1.0;1.0;1.0;1.0
Requisitons per number of slots per link;5;<4-1>;1;-; ;1.0;1.0;1.0;1.0;1.0
Requisitons per number of slots per link;5;<1-4>;1;-; ;1.0;1.0;1.0;1.0;1.0
Requisitons per number of slots per link;5;<2-4>;1;-; ;1.0;1.0;1.0;1.0;1.0
Requisitons per number of slots per link;5;<4-2>;1;-; ;1.0;1.0;1.0;1.0;1.0
Requisitons per number of slots per link;5;<3-4>;1;-; ;1.0;1.0;1.0;1.0;1.0
Requisitons per number of slots per link;5;<4-3>;1;-; ;1.0;1.0;1.0;1.0;1.0


