Metrics;load point;node; ;rep1;rep2;rep3;rep4;rep5
Tx Utilization ;1;all; ;53.5953145154033;53.55921848596655;53.55275919648839;53.520212776594576;53.57898631150574
Tx Utilization ;2;all; ;56.900660927298;56.94697583265841;56.88677245502995;56.93442721300657;56.93755686874444
Tx Utilization ;3;all; ;57.88939216686165;57.902390737018926;57.856035836058034;57.911239763626;57.86247512773595
Tx Utilization ;4;all; ;58.32634410214877;58.370019297877235;58.34280229174791;58.38540760516343;58.366099729029806
Tx Utilization ;5;all; ;58.65457799642039;58.64677885432602;58.647298797132315;58.68811430742618;58.65401805801362


Rx Utilization ;1;all; ;53.5953145154033;53.55921848596655;53.55275919648839;53.520212776594576;53.57898631150574
Rx Utilization ;2;all; ;56.900660927298;56.94697583265841;56.88677245502995;56.93442721300657;56.93755686874444
Rx Utilization ;3;all; ;57.88939216686165;57.902390737018926;57.856035836058034;57.911239763626;57.86247512773595
Rx Utilization ;4;all; ;58.32634410214877;58.370019297877235;58.34280229174791;58.38540760516343;58.366099729029806
Rx Utilization ;5;all; ;58.65457799642039;58.64677885432602;58.647298797132315;58.68811430742618;58.65401805801362


Tx Utilization Per Node;1;1; ;13.408105108438072;13.441801401845797;13.424213336532981;13.302416734159243;13.491005989341172
Tx Utilization Per Node;1;2; ;13.393516713161553;13.392796792352842;13.38295787463379;13.425963144054155;13.375988641249462
Tx Utilization Per Node;1;3; ;13.369019407865135;13.347061823199448;13.376718560958295;13.415964243933168;13.289008209097
Tx Utilization Per Node;1;4; ;13.424673285938546;13.377558468568457;13.36886942436332;13.375868654448011;13.4229834718181
Tx Utilization Per Node;2;1; ;14.193418723940367;14.206817250102489;14.25000249972503;14.234604193538711;14.258241593424723
Tx Utilization Per Node;2;2; ;14.218016018237995;14.218635950045496;14.20460749317575;14.233474317825038;14.230624631290558
Tx Utilization Per Node;2;3; ;14.23986361500235;14.259201487836338;14.219455859855415;14.245822959474458;14.231994480607133
Tx Utilization Per Node;2;4; ;14.249362570117286;14.262321144674086;14.21270660227375;14.22052574216836;14.216696163422023
Tx Utilization Per Node;3;1; ;14.469888312285649;14.486946435892051;14.454370019297878;14.486896441391448;14.468848426673066
Tx Utilization Per Node;3;2; ;14.466188719240883;14.482336942936277;14.45004049554549;14.488096309405964;14.47487776344602
