Metrics;LoadPoint;Bandwidth;src;dest; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
bandwidth blocking probability;1;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probability;2;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probability;3;all;all;all; ;0.013011243427900505;0.014130655346213482;0.011765353261998372;0.014370963723061602;0.013722804860121786;0.010765727358942922;0.012990178506517321;0.01432021255297763;0.013863700303288144;0.012761173405569318
bandwidth blocking probability;4;all;all;all; ;0.16524614385113484;0.1632939352205213;0.16101059832978012;0.16996700880138416;0.16141040025353037;0.1628762477078255;0.16778060232817518;0.1659442995676683;0.1695421635482057;0.15623627215815464
bandwidth blocking probability;5;all;all;all; ;0.2973790796413249;0.3004305408123414;0.29826686288766435;0.2973405879270484;0.3018526553290054;0.30073978995369827;0.3068720886604174;0.30807387168833583;0.30372262678617257;0.29671548795011427
bandwidth blocking probability;6;all;all;all; ;0.40615910069898303;0.4039590207458044;0.4003513658749976;0.40733134347952255;0.40213882545033813;0.40990094335350696;0.4041700650183981;0.4001455636106625;0.4115269220250544;0.40279449391847466


bandwidth blocking probabilities per pair;1;all;6;2; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;5;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;3;6; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;2;6; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;5;4; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;3;4; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;2;5; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;6;5; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
