Metrics;LoadPoint;link; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
External Fragmentation (Vertical);1;all; ;0.11100229237289597;0.112617725355912;0.1117785229617833;0.1119512869672153;0.11117259650046357;0.1142986765428334;0.11401873435046483;0.1124767287573746;0.11193960482218268;0.11486168153804842
External Fragmentation (Vertical);2;all; ;0.29793803012090886;0.2981193911342247;0.3052182274364457;0.2961749536204916;0.296276593299406;0.29027315463003417;0.2938561035196672;0.2955210327824206;0.2990223818141883;0.2943114095658247
External Fragmentation (Vertical);3;all; ;0.7584662488465423;0.755940996112755;0.7479560793723902;0.7486814785622498;0.7498970423332374;0.7500426692734617;0.7479542792250957;0.7569462939490166;0.7580524854022996;0.7525463464487836
External Fragmentation (Vertical);4;all; ;0.7995947172106299;0.7982610877164082;0.8008424337550913;0.7988293909229397;0.8042862533761962;0.8009836834428842;0.8007258143248696;0.7993090507091546;0.801275273992843;0.7997864598119978
External Fragmentation (Vertical);5;all; ;0.7927386398330835;0.7942169628095931;0.788816273130286;0.7915974894926558;0.792516572230493;0.7934376027943975;0.7902082835852596;0.7918261833632181;0.7921919872290544;0.7920064634354801
External Fragmentation (Vertical);6;all; ;0.7788836914193649;0.7799503143173668;0.7735094108252343;0.7752913846431553;0.7780921746881595;0.7787126445216475;0.7782618265860567;0.7793774898716248;0.7791435368782416;0.7775649319241068

External Fragmentation (Horizontal);1;all; ;0.07377713934998907;0.0759333015596121;0.0755029852999946;0.075785203673449;0.07385315973685992;0.07699101866017366;0.07753982758197117;0.07591906202544854;0.0755786809275617;0.07734042302837649
External Fragmentation (Horizontal);2;all; ;0.21276180746001053;0.21473391082489499;0.220112689808867;0.21025590684325973;0.21143190378385834;0.2052958748135424;0.20841108974574965;0.20863530537415922;0.21289400328109923;0.21010710002405436
External Fragmentation (Horizontal);3;all; ;0.6622467706839174;0.6608326864140418;0.6559355804510427;0.6574809514552403;0.6566584508172322;0.6560174504162187;0.6517735872056081;0.662715708831753;0.6667512922592715;0.6598479417235606
External Fragmentation (Horizontal);4;all; ;0.648365608353505;0.6416221279311954;0.6420600195576516;0.641399394800348;0.6576515125100801;0.6482676942968247;0.6408832293066729;0.6432135896826405;0.6419044613882874;0.644131013174967
External Fragmentation (Horizontal);5;all; ;0.562245093949924;0.5699986800081731;0.5637761037429557;0.5680969877699239;0.5729304451037146;0.5691293807008505;0.5639796639823986;0.5612669537281016;0.559062942499513;0.5613683485360857
External Fragmentation (Horizontal);6;all; ;0.4980444419106997;0.49949684677296813;0.4924513694851043;0.4870848177138004;0.4999020550669453;0.49182630649188896;0.494627807431923;0.49724666772407256;0.49769329804106793;0.5009105972677672

External Fragmentation Per Link;1;<1-2>; ;0.09424685090347638;0.09446271814761668;0.09423967590645424;0.09426920425116055;0.09320335531539337;0.09245928648705339;0.09726733254287359;0.09427689198697041;0.09542915951645145;0.09778950751142065
External Fragmentation Per Link;1;<2-1>; ;0.09341048796855757;0.09526968395300889;0.09580008052479581;0.09282800219268644;0.09279921481319547;0.09728659660164793;0.09311563647904268;0.09571407173095757;0.09280244633714803;0.09484069075763794
External Fragmentation Per Link;1;<2-3>; ;0.08794646246344014;0.09299941163952727;0.0931322821810094;0.09686645507750562;0.09949641296072244;0.0957292882002059;0.10011567490712385;0.0996419988469706;0.09496268758543805;0.09302226496586313
