Metrics;LoadPoint;link;spectrum size (c); ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Relative Fragmentation per spectrum size (c);1;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);1;all;2; ;0.032681953815783364;0.03241855307178922;0.032575537414283505;0.032452007662221574;0.032862528960142585;0.03294593512387578;0.032694841515726575;0.03254005403068325;0.03252936452468882;0.032905771841405716
Relative Fragmentation per spectrum size (c);1;all;3; ;0.05570354795226445;0.055569635867020344;0.05548040231306592;0.055581406054957413;0.055900601707144275;0.056331335349305074;0.05586462986944505;0.0556249753437822;0.05577871332622591;0.05628749349043626
Relative Fragmentation per spectrum size (c);1;all;5; ;0.0847526843460054;0.08450231504135354;0.08411773734335617;0.08505631791338132;0.08553410609339512;0.08548938289986413;0.08459990875643071;0.083939041360029;0.08445195295644096;0.08457955618680273
Relative Fragmentation per spectrum size (c);2;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);2;all;2; ;0.08381264597139741;0.08364215248563249;0.08545781255367108;0.08362440152228631;0.08297952187997155;0.08302444338368495;0.08341465879098851;0.08397553175651497;0.0833560755822546;0.08241401316738181
Relative Fragmentation per spectrum size (c);2;all;3; ;0.14100056507150852;0.14142342265902255;0.14291754995850306;0.14044346886723277;0.139308064328717;0.1403839485487127;0.13887899630853273;0.14071855878832326;0.1398195202003894;0.1391677782549538
Relative Fragmentation per spectrum size (c);2;all;5; ;0.20644187219200139;0.2051129240800431;0.2078930021485537;0.20311564172373264;0.20444112473058013;0.20664869647768827;0.20446960130740596;0.20564231529004623;0.20669935410177023;0.20374587173199132
Relative Fragmentation per spectrum size (c);3;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);3;all;2; ;0.22443010249457668;0.22048470340665177;0.2197978423232605;0.22054911054714052;0.22150992398345518;0.21869208614769717;0.21776001537762654;0.22185712059445897;0.2212816958063269;0.21866249733504256
Relative Fragmentation per spectrum size (c);3;all;3; ;0.37187683340965527;0.364688926968909;0.36462700915161006;0.3654827861824167;0.36383563658212864;0.3622761370854688;0.36299641361094065;0.3691053371971374;0.3665997833421161;0.3635621252341193
Relative Fragmentation per spectrum size (c);3;all;5; ;0.5288375279480931;0.516338949629968;0.515963348739112;0.5182725482795351;0.519106249196155;0.5164733649078905;0.5170628377554124;0.529182614493689;0.5233639393636185;0.5159037982474913
Relative Fragmentation per spectrum size (c);4;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);4;all;2; ;0.3218416018432162;0.3242493079136538;0.324488135262742;0.3261114590130113;0.3189231158708859;0.32475129380566026;0.32711971336844964;0.3230660163642185;0.32618123917491576;0.32447991144937943
Relative Fragmentation per spectrum size (c);4;all;3; ;0.5096104441777798;0.5125733819221457;0.5146765166950782;0.5137410330813271;0.5085494311291067;0.5131029339275508;0.5121784098034146;0.5099283907076302;0.5138592344766846;0.5165025186747749
Relative Fragmentation per spectrum size (c);4;all;5; ;0.7108152594785222;0.7152308801257953;0.714017809103042;0.7199306527813266;0.7143252268092876;0.7166989096638954;0.7154230511236339;0.7131261527366196;0.7182543837717362;0.7171823776818371
Relative Fragmentation per spectrum size (c);5;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);5;all;2; ;0.39631687697410206;0.39421456029200386;0.39420389100645903;0.3934243357723709;0.3872092030848024;0.3909223569466493;0.393492467485555;0.397174372731946;0.39534639569778984;0.3941682735687913
Relative Fragmentation per spectrum size (c);5;all;3; ;0.6032649057927142;0.6031939018621695;0.5996003550502447;0.6056545499872757;0.5985139787710858;0.6053098718447115;0.6059019917199098;0.6074945966537204;0.6034905843565613;0.6031314173926349
Relative Fragmentation per spectrum size (c);5;all;5; ;0.8099074955371718;0.8065385305783175;0.8081320276711852;0.8088488059127217;0.8069770287342969;0.8082170925581811;0.8080139184293617;0.8164754528214886;0.8085720573350362;0.8084682010598832
Relative Fragmentation per spectrum size (c);6;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);6;all;2; ;0.4529435765368945;0.44787596430554943;0.4559064639682111;0.45661685851971745;0.45120776209309604;0.45260968518397987;0.45289710435275504;0.4482567646471481;0.452115227081622;0.4510028092297943
Relative Fragmentation per spectrum size (c);6;all;3; ;0.676678031955378;0.6745293543157759;0.6751345883171497;0.6740044868147554;0.6773996045357871;0.6682256536922984;0.6752508712265776;0.6697458259802285;0.6719243682659908;0.6746144128209413
Relative Fragmentation per spectrum size (c);6;all;5; ;0.8729148441052323;0.8677297870169128;0.8669807717643369;0.8717858179041713;0.8712379759791895;0.8658347819565168;0.8676982306520756;0.8690406000636045;0.8689117001993382;0.8699768586908478

