Metrics;LoadPoint;link; ;rep1;rep2;rep3;rep4;rep5
External Fragmentation (Vertical);1;all; ;0.04555750801017411;0.036306663547458325;0.04414158731666926;0.05057203971556572;0.047062881493551235
External Fragmentation (Vertical);2;all; ;0.048567766041529174;0.04536275986582591;0.036225155613933496;0.045140233057103046;0.04402901458674054
External Fragmentation (Vertical);3;all; ;0.03866293991958179;0.04587035774591597;0.03928209506410902;0.04183742430482308;0.04943605762289758


External Fragmentation (Horizontal);1;all; ;0.029221880224905055;0.021730954844744185;0.030256476331116937;0.02705482174905312;0.028799226578556138
External Fragmentation (Horizontal);2;all; ;0.02638343585246458;0.025428231915715083;0.02229232629045622;0.026010992488342117;0.024784811844697947
External Fragmentation (Horizontal);3;all; ;0.01752306848141555;0.023663074399458587;0.019414511667186794;0.021390837919613825;0.02902908074440356


External Fragmentation Per Link;1;<1-2>; ;0.013857507874845083;0.008261022932816359;0.010662523180266042;0.00745136375507873;0.00948483917314066
External Fragmentation Per Link;1;<2-1>; ;0.0071420844768438005;0.008569291332402315;0.007815747388197248;0.009492788307928705;0.014790725167057659
External Fragmentation Per Link;1;<2-3>; ;0.008860810211285888;0.01288876350293565;0.012133545432176436;0.008391521085052932;0.014396006600569465
External Fragmentation Per Link;1;<3-2>; ;0.002680919377510968;0.010792057049425645;0.013457426050213384;0.006995663241513097;0.014725882314006948
External Fragmentation Per Link;1;<1-6>; ;0.08494271453615607;0.05577159949195663;0.051728763512128705;0.0960022413184398;0.07582304974352122
External Fragmentation Per Link;1;<2-5>; ;0.06265234098310746;0.046971411361610725;0.090526635242181;0.07126324203747729;0.09020060969205229
External Fragmentation Per Link;1;<3-4>; ;0.03682788502372914;0.07619612421377306;0.057495581321890435;0.1096157920740869;0.07615360744731349
External Fragmentation Per Link;1;<4-3>; ;0.0865694789212491;0.04701842562221817;0.06519319272739882;0.08570477614122861;0.10761287202533289
External Fragmentation Per Link;1;<5-2>; ;0.08134053749490938;0.06425216305348959;0.049370709980718096;0.07280413783705574;0.04695502796595508
External Fragmentation Per Link;1;<6-1>; ;0.08561988796740051;0.05810743607317897;0.10556937327168807;0.10662458071670645;0.08414890866731557
External Fragmentation Per Link;1;<4-5>; ;0.041999531178786555;0.029199798203338036;0.04979183860190473;0.038720596149347496;0.036905235002177954
External Fragmentation Per Link;1;<5-4>; ;0.042809541735733946;0.014031051828079637;0.02925244429597691;0.03163018484661561;0.02850020182814516
External Fragmentation Per Link;1;<5-6>; ;0.0432133244071096;0.04313779690034918;0.04833068582334768;0.02592449851251764;0.030294810998419738
External Fragmentation Per Link;1;<6-5>; ;0.03928854795376964;0.03309634809884226;0.02665375560528197;0.03738716999487097;0.02888856428470883
External Fragmentation Per Link;2;<1-2>; ;0.014877598397303658;0.010853157688570552;0.0029371209846461195;0.009936270743475497;0.004343804271907635
External Fragmentation Per Link;2;<2-1>; ;0.0041219052267889465;0.00703250314324047;0.011957138388650312;0.02226442252049173;0.00903987511935719
External Fragmentation Per Link;2;<2-3>; ;0.008497129484854588;0.005180674469449039;0.001696672646394426;0.016092512368523052;0.016320521046095368
External Fragmentation Per Link;2;<3-2>; ;0.011665734490127014;0.0050984827231873265;0.010172293496991969;0.010255885380206829;0.007562040582930759
External Fragmentation Per Link;2;<1-6>; ;0.09703154250893707;0.11051011924799489;0.06399512515912924;0.09697412434399087;0.0763055960617686
External Fragmentation Per Link;2;<2-5>; ;0.07165429875059194;0.0859836617220705;0.061691698860487115;0.07666561138602433;0.08505236938644971
External Fragmentation Per Link;2;<3-4>; ;0.06353543509248002;0.048123513030215816;0.07487858992038972;0.06698036642454562;0.09600620392574533
External Fragmentation Per Link;2;<4-3>; ;0.09198543898531311;0.09188199017276094;0.06379661809604947;0.09439836534719034;0.08760343552879345
External Fragmentation Per Link;2;<5-2>; ;0.1013300566639772;0.1025911363457864;0.04510194149212242;0.09122647608736191;0.07267153659449849
External Fragmentation Per Link;2;<6-1>; ;0.08905957274300091;0.0796625098486824;0.07401801719560448;0.06588897719842465;0.07748137169549632
External Fragmentation Per Link;2;<4-5>; ;0.035528320283224606;0.008022389408167142;0.03357789644389697;0.03220824383693649;0.024829193944030475
