Metrics;LoadPoint;link;spectrum size (c); ;rep1;rep2;rep3;rep4;rep5
Relative Fragmentation per spectrum size (c);1;all;1; ;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);1;all;2; ;0.004536325171237889;0.005094741210794186;0.006224728355925874;0.005508579575086995;0.005037636477203221
Relative Fragmentation per spectrum size (c);1;all;3; ;0.008506313458194296;0.00990354003633137;0.01030815035447132;0.010127478195577655;0.008924872893445138
Relative Fragmentation per spectrum size (c);1;all;5; ;0.01729401796178745;0.019030283269109934;0.02227138231670826;0.01948026339696633;0.020809817179519526
Relative Fragmentation per spectrum size (c);2;all;1; ;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);2;all;2; ;0.005915416769170196;0.005672564714646385;0.005829400273213319;0.005371706345610099;0.005030564495513963
Relative Fragmentation per spectrum size (c);2;all;3; ;0.01080013926824785;0.010483345622481455;0.010411612839617605;0.0116030496171548;0.009813819357495968
Relative Fragmentation per spectrum size (c);2;all;5; ;0.02099729457469795;0.021265079561503825;0.018410207113212822;0.022213726463523653;0.018478956487394064
Relative Fragmentation per spectrum size (c);3;all;1; ;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);3;all;2; ;0.005807222386499661;0.005650405460473719;0.005033021449146348;0.00540489811312235;0.005654450849707367
Relative Fragmentation per spectrum size (c);3;all;3; ;0.010317557344924757;0.00902645011108278;0.0114855678593635;0.009497061687860924;0.008992509246534879
Relative Fragmentation per spectrum size (c);3;all;5; ;0.02210831319940782;0.018139368951980997;0.020515057423652294;0.01941618560216779;0.02280993110857266


