Metrics;load point;link;number of slots;slot; ;rep1;rep2;rep3;rep4;rep5
Requisitons per number of slots;1;all;3;-; ;0.5;0.5;0.5;0.5;0.5
Requisitons per number of slots;1;all;4;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots;1;all;5;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots;1;all;7;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots;2;all;3;-; ;0.5;0.5;0.5;0.5;0.5
Requisitons per number of slots;2;all;4;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots;2;all;5;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots;2;all;7;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots;3;all;3;-; ;0.5;0.5;0.5;0.5;0.5
Requisitons per number of slots;3;all;4;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots;3;all;5;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots;3;all;7;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666


Requisitons per number of slots per link;1;<2-1>;3;-; ;0.5;0.5;0.5;0.5;0.5
Requisitons per number of slots per link;1;<2-1>;4;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;1;<2-1>;5;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;1;<2-1>;7;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;1;<1-2>;3;-; ;0.5;0.5;0.5;0.5;0.5
Requisitons per number of slots per link;1;<1-2>;4;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;1;<1-2>;5;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;1;<1-2>;7;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;1;<3-2>;3;-; ;0.5;0.5;0.5;0.5;0.5
Requisitons per number of slots per link;1;<3-2>;4;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;1;<3-2>;5;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;1;<3-2>;7;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;1;<2-3>;3;-; ;0.5;0.5;0.5;0.5;0.5
Requisitons per number of slots per link;1;<2-3>;4;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;1;<2-3>;5;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;1;<2-3>;7;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;1;<6-1>;3;-; ;0.5;0.5;0.5;0.5;0.5
Requisitons per number of slots per link;1;<6-1>;4;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;1;<6-1>;5;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;1;<6-1>;7;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;1;<3-4>;3;-; ;0.5;0.5;0.5;0.5;0.5
Requisitons per number of slots per link;1;<3-4>;4;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;1;<3-4>;5;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;1;<3-4>;7;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;1;<2-5>;3;-; ;0.5;0.5;0.5;0.5;0.5
Requisitons per number of slots per link;1;<2-5>;4;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;1;<2-5>;5;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;1;<2-5>;7;-; ;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666
Requisitons per number of slots per link;1;<5-2>;3;-; ;0.5;0.5;0.5;0.5;0.5
