Metrics;load point;node; ;rep1;rep2;rep3;rep4;rep5
Tx Utilization ;1;all; ;61.733333333333334;59.62222222222222;59.05555555555556;63.02777777777778;58.62222222222222
Tx Utilization ;2;all; ;71.20555555555555;73.49444444444444;76.40555555555555;71.37222222222222;71.96666666666667
Tx Utilization ;3;all; ;74.36666666666666;80.89444444444445;80.05555555555556;78.23333333333333;72.04444444444445


Rx Utilization ;1;all; ;61.733333333333334;59.62222222222222;59.05555555555556;63.02777777777778;58.62222222222222
Rx Utilization ;2;all; ;71.20555555555555;73.49444444444444;76.40555555555555;71.37222222222222;71.96666666666667
Rx Utilization ;3;all; ;74.36666666666666;80.89444444444445;80.05555555555556;78.23333333333333;72.04444444444445


Tx Utilization Per Node;1;1; ;7.888888888888889;10.755555555555556;11.022222222222222;9.744444444444444;11.088888888888889
Tx Utilization Per Node;1;2; ;9.583333333333334;11.772222222222222;10.416666666666666;10.205555555555556;9.383333333333333
Tx Utilization Per Node;1;3; ;9.766666666666667;8.705555555555556;11.144444444444444;8.694444444444445;8.233333333333333
Tx Utilization Per Node;1;4; ;10.061111111111112;10.15;9.066666666666666;11.477777777777778;9.761111111111111
Tx Utilization Per Node;1;5; ;12.433333333333334;8.86111111111111;9.227777777777778;11.966666666666667;10.905555555555555
Tx Utilization Per Node;1;6; ;12.0;9.377777777777778;8.177777777777777;10.938888888888888;9.25
Tx Utilization Per Node;2;1; ;10.95;11.255555555555556;12.355555555555556;11.327777777777778;13.672222222222222
Tx Utilization Per Node;2;2; ;13.03888888888889;12.1;12.561111111111112;11.938888888888888;10.383333333333333
Tx Utilization Per Node;2;3; ;12.022222222222222;14.21111111111111;12.922222222222222;13.355555555555556;11.277777777777779
Tx Utilization Per Node;2;4; ;11.088888888888889;12.438888888888888;12.13888888888889;9.022222222222222;12.238888888888889
Tx Utilization Per Node;2;5; ;11.605555555555556;9.022222222222222;14.577777777777778;11.616666666666667;13.75
Tx Utilization Per Node;2;6; ;12.5;14.466666666666667;11.85;14.11111111111111;10.644444444444444
Tx Utilization Per Node;3;1; ;13.705555555555556;13.11111111111111;13.483333333333333;11.833333333333334;10.688888888888888
Tx Utilization Per Node;3;2; ;11.672222222222222;13.238888888888889;14.866666666666667;15.977777777777778;12.705555555555556
Tx Utilization Per Node;3;3; ;11.533333333333333;13.011111111111111;11.316666666666666;12.166666666666666;13.377777777777778
Tx Utilization Per Node;3;4; ;10.483333333333333;13.555555555555555;15.594444444444445;14.327777777777778;14.827777777777778
Tx Utilization Per Node;3;5; ;13.53888888888889;14.466666666666667;13.127777777777778;14.116666666666667;9.522222222222222
Tx Utilization Per Node;3;6; ;13.433333333333334;13.511111111111111;11.666666666666666;9.811111111111112;10.922222222222222


Rx Utilization Per Node;1;1; ;7.888888888888889;10.755555555555556;11.022222222222222;9.744444444444444;11.088888888888889
Rx Utilization Per Node;1;2; ;9.583333333333334;11.772222222222222;10.416666666666666;10.205555555555556;9.383333333333333
Rx Utilization Per Node;1;3; ;9.766666666666667;8.705555555555556;11.144444444444444;8.694444444444445;8.233333333333333
Rx Utilization Per Node;1;4; ;10.061111111111112;10.15;9.066666666666666;11.477777777777778;9.761111111111111
Rx Utilization Per Node;1;5; ;12.433333333333334;8.86111111111111;9.227777777777778;11.966666666666667;10.905555555555555
Rx Utilization Per Node;1;6; ;12.0;9.377777777777778;8.177777777777777;10.938888888888888;9.25
Rx Utilization Per Node;2;1; ;10.95;11.255555555555556;12.355555555555556;11.327777777777778;13.672222222222222
Rx Utilization Per Node;2;2; ;13.03888888888889;12.1;12.561111111111112;11.938888888888888;10.383333333333333
Rx Utilization Per Node;2;3; ;12.022222222222222;14.21111111111111;12.922222222222222;13.355555555555556;11.277777777777779
Rx Utilization Per Node;2;4; ;11.088888888888889;12.438888888888888;12.13888888888889;9.022222222222222;12.238888888888889
Rx Utilization Per Node;2;5; ;11.605555555555556;9.022222222222222;14.577777777777778;11.616666666666667;13.75
Rx Utilization Per Node;2;6; ;12.5;14.466666666666667;11.85;14.11111111111111;10.644444444444444
Rx Utilization Per Node;3;1; ;13.705555555555556;13.11111111111111;13.483333333333333;11.833333333333334;10.688888888888888
Rx Utilization Per Node;3;2; ;11.672222222222222;13.238888888888889;14.866666666666667;15.977777777777778;12.705555555555556
Rx Utilization Per Node;3;3; ;11.533333333333333;13.011111111111111;11.316666666666666;12.166666666666666;13.377777777777778
Rx Utilization Per Node;3;4; ;10.483333333333333;13.555555555555555;15.594444444444445;14.327777777777778;14.827777777777778
Rx Utilization Per Node;3;5; ;13.53888888888889;14.466666666666667;13.127777777777778;14.116666666666667;9.522222222222222
Rx Utilization Per Node;3;6; ;13.433333333333334;13.511111111111111;11.666666666666666;9.811111111111112;10.922222222222222


Max Tx Utilization Per Node;1;1; ;15;19;23;21;21
Max Tx Utilization Per Node;1;2; ;16;20;16;18;15
Max Tx Utilization Per Node;1;3; ;17;18;18;15;14
Max Tx Utilization Per Node;1;4; ;17;15;13;20;18
Max Tx Utilization Per Node;1;5; ;22;14;17;20;16
Max Tx Utilization Per Node;1;6; ;20;17;13;18;16
Max Tx Utilization Per Node;2;1; ;21;21;23;19;21
Max Tx Utilization Per Node;2;2; ;22;19;20;21;21
Max Tx Utilization Per Node;2;3; ;20;22;23;22;18
Max Tx Utilization Per Node;2;4; ;17;20;21;14;21
Max Tx Utilization Per Node;2;5; ;22;19;25;22;24
Max Tx Utilization Per Node;2;6; ;24;25;21;24;17
Max Tx Utilization Per Node;3;1; ;23;25;23;22;18
Max Tx Utilization Per Node;3;2; ;19;21;26;25;22
Max Tx Utilization Per Node;3;3; ;20;23;22;23;25
Max Tx Utilization Per Node;3;4; ;22;24;25;24;23
Max Tx Utilization Per Node;3;5; ;23;25;25;24;17
Max Tx Utilization Per Node;3;6; ;22;25;22;21;18


Max Rx Utilization Per Node;1;1; ;18;16;16;19;15
Max Rx Utilization Per Node;1;2; ;15;18;12;19;18
Max Rx Utilization Per Node;1;3; ;20;18;18;17;14
Max Rx Utilization Per Node;1;4; ;18;16;21;18;21
Max Rx Utilization Per Node;1;5; ;16;18;16;19;13
Max Rx Utilization Per Node;1;6; ;19;16;18;20;16
Max Rx Utilization Per Node;2;1; ;21;21;21;21;22
Max Rx Utilization Per Node;2;2; ;17;20;26;21;19
Max Rx Utilization Per Node;2;3; ;21;22;24;18;18
Max Rx Utilization Per Node;2;4; ;26;25;20;23;23
Max Rx Utilization Per Node;2;5; ;20;22;18;20;18
Max Rx Utilization Per Node;2;6; ;19;19;24;21;19
Max Rx Utilization Per Node;3;1; ;22;20;28;21;22
Max Rx Utilization Per Node;3;2; ;23;29;23;22;17
Max Rx Utilization Per Node;3;3; ;21;23;23;23;23
Max Rx Utilization Per Node;3;4; ;24;24;23;21;25
Max Rx Utilization Per Node;3;5; ;22;20;22;28;22
Max Rx Utilization Per Node;3;6; ;20;24;24;21;18
