Metrics;LoadPoint;link; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
External Fragmentation (Vertical);1;all; ;0.6519074180321673;0.6504317127593406;0.6530393440466002;0.6538305709758784;0.6542955828226122;0.6546031702790748;0.6533249340193992;0.6538497515963079;0.6567104819364985;0.6519832858084235
External Fragmentation (Vertical);2;all; ;0.7173291783095468;0.7285898808047133;0.7176172339828104;0.7165819065136523;0.7140261344931897;0.7208075291350898;0.720705717537076;0.722872132623012;0.7197457012797333;0.7109793592484297
External Fragmentation (Vertical);3;all; ;0.7812620778526138;0.7840233749970208;0.7862584627306728;0.7846761423595694;0.7816144037797872;0.789781219803107;0.7873916612592189;0.7905613103840221;0.7894476159566152;0.783596480173149
External Fragmentation (Vertical);4;all; ;0.7826365795011979;0.7821025499821617;0.7808747097945509;0.783285072638652;0.7826171002737325;0.779482519554367;0.7842754724036358;0.7822013332435451;0.7830014706657735;0.7798759084029785
External Fragmentation (Vertical);5;all; ;0.765761046394148;0.7647818036024693;0.7675646798075297;0.7672876082099835;0.7653700668475292;0.7644834666671668;0.7654655407076443;0.7647507156209499;0.766171007086659;0.7639953410249307
External Fragmentation (Vertical);6;all; ;0.7485511584104939;0.743980812603184;0.74370906422016;0.7466569815991514;0.7440671114527252;0.7478981225157043;0.7462000678134677;0.7455907790468098;0.7519758091926473;0.7473923326885885

External Fragmentation (Horizontal);1;all; ;0.6409616041241727;0.6391505729208724;0.6419016446061727;0.6422479910378713;0.6430336084662936;0.6436702466860377;0.6424028608397733;0.6428857608458513;0.6462203705704458;0.6411186201729013
External Fragmentation (Horizontal);2;all; ;0.6919164501597466;0.7022039671598911;0.6919835149278073;0.6904099336517936;0.6876581407103588;0.6959126131824448;0.6967746245502107;0.6979076369757882;0.6941315581810356;0.6826620302909993
External Fragmentation (Horizontal);3;all; ;0.7087911196565252;0.7089806280362887;0.7119922434109316;0.7123742067779416;0.7065931195729677;0.7148059981327557;0.7091175051435287;0.7184308477651757;0.7168766020868853;0.7112467317626141
External Fragmentation (Horizontal);4;all; ;0.5785649642634602;0.5876756677068868;0.5764466843828726;0.5808318001097795;0.5874223733986964;0.5767503255469572;0.5866406579962133;0.5782178725715647;0.5737670443555343;0.5822665100291045
External Fragmentation (Horizontal);5;all; ;0.49484403313467235;0.49156256983855384;0.4921584348488742;0.5010334682990832;0.4934043766395811;0.49027008512048237;0.4916460377636252;0.49419179987481937;0.4868430937651959;0.4899174147121262
External Fragmentation (Horizontal);6;all; ;0.43841445150224057;0.43675902529512056;0.435367930288854;0.4333675120819902;0.43106666893521434;0.4375868002027143;0.43685223992582944;0.43429964238168794;0.4412957310590793;0.4396500916165607

External Fragmentation Per Link;1;<5-4>; ;0.6500039535930082;0.6481063802797821;0.6499026201724698;0.6487647299257053;0.6500705895216216;0.6521525481871618;0.6474322076590692;0.6534999193580107;0.654608543757755;0.6493187478798006
External Fragmentation Per Link;1;<2-5>; ;0.6525473002388444;0.6512344150788728;0.6545884436633168;0.6522211110722043;0.6567343599888156;0.6537035211324536;0.6530207382525874;0.6506760272145723;0.6568451186307674;0.6509917145059378
External Fragmentation Per Link;1;<5-6>; ;0.6452787318568678;0.6471017376794861;0.6482734205318333;0.6543565962712566;0.6523362269230819;0.6496626707885199;0.6519551496220395;0.6478984906230392;0.6490126129669751;0.645829340477179
External Fragmentation Per Link;1;<6-1>; ;0.6558397808455542;0.657661302535108;0.6569885982550799;0.6611605818376584;0.6601577749695331;0.6559942888307391;0.658479411703264;0.6611054797497083;0.6637936098809751;0.6577809977039889
External Fragmentation Per Link;1;<1-6>; ;0.6566688437229006;0.6577097057220862;0.66115872880386;0.6604958120668804;0.6578495426619143;0.6610306722466261;0.6608831873063734;0.6586425849192834;0.6661341751979589;0.6586002458365807
External Fragmentation Per Link;1;<2-3>; ;0.6535329879459075;0.6490588639707343;0.6518073202063984;0.6509442220228787;0.6480672346496035;0.656154072296136;0.6510873329210025;0.6560706534445229;0.6588165469411513;0.6507641282315028
External Fragmentation Per Link;1;<5-2>; ;0.6530813254886874;0.651750322590531;0.6518841786887423;0.6503333613678882;0.6518632698679523;0.6498040844554261;0.6547947287940169;0.6551863669054777;0.6547536607575376;0.6497686551213501
External Fragmentation Per Link;1;<6-5>; ;0.6482538353699886;0.645152475269125;0.6484069944608488;0.6515989875594216;0.6473460437626013;0.6521258422290152;0.6476456112374622;0.6538609654261016;0.6577057569368029;0.6527122177460332
External Fragmentation Per Link;1;<4-3>; ;0.6592733885445854;0.6535767357112064;0.6585246100921184;0.6567137634929457;0.6631845961851353;0.663791714095565;0.6556475124393237;0.6590992833223099;0.6584867500477989;0.6591331982314744
