Metrics;LoadPoint;link;spectrum size (c); ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Relative Fragmentation per spectrum size (c);1;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);1;all;2; ;0.02700198240529052;0.026879793020800187;0.027177964044558564;0.02716236289622344;0.027268528839689027;0.027103300792137925;0.02706203296764188;0.026917653657056402;0.02743808836387418;0.02693385361895628
Relative Fragmentation per spectrum size (c);1;all;3; ;0.04899801581836586;0.04850694890738839;0.04887982542418989;0.04914626750410235;0.0498053767041809;0.04935270032711651;0.04865217505147405;0.049053879453430725;0.04952921320033552;0.04893103465915975
Relative Fragmentation per spectrum size (c);1;all;5; ;0.07348554692197495;0.07294403360991185;0.07278858345869484;0.07344658609096588;0.074135999108531;0.07326635953930966;0.07307588159095571;0.07252463056235717;0.07387671778241835;0.07324674720647371
Relative Fragmentation per spectrum size (c);2;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);2;all;2; ;0.06379025725600698;0.06603913859124194;0.06401720864744254;0.0643438756583841;0.06522787026549987;0.06529387411139624;0.06413309394167756;0.06506504644061228;0.06523591835336227;0.06438228316756886
Relative Fragmentation per spectrum size (c);2;all;3; ;0.11336520657621658;0.11762442293924191;0.11535543588065691;0.11510992019923949;0.1162218206879376;0.11691304282398557;0.11441735270408629;0.11675384557803953;0.1157694141943008;0.11491022886114248
Relative Fragmentation per spectrum size (c);2;all;5; ;0.16533411665149877;0.1702148289241835;0.16732015341989198;0.16896092739894084;0.16949860782702206;0.16927558333612583;0.16746985965126612;0.16901183191834426;0.17005130126028903;0.16934616200510152
Relative Fragmentation per spectrum size (c);3;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);3;all;2; ;0.15568428864135087;0.1576709216932253;0.15775883934988305;0.15545728796337063;0.15514707681071613;0.15806716571432092;0.15982778174908405;0.1576447430122318;0.1544511216340504;0.15358616685949014
Relative Fragmentation per spectrum size (c);3;all;3; ;0.27110345847545364;0.27670033820380097;0.27746854709325797;0.2725575555029616;0.27157581188832547;0.2773613826080402;0.2820016401814706;0.27564052670651756;0.2692232312643099;0.2685969794803544
Relative Fragmentation per spectrum size (c);3;all;5; ;0.3870914748035923;0.38812435593995975;0.3951358176067606;0.38831293070775297;0.38526180746458266;0.38753365139280943;0.39622917884126563;0.3903132059872157;0.38258322893737357;0.38302979213090615
Relative Fragmentation per spectrum size (c);4;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);4;all;2; ;0.21733877854627376;0.213388307244079;0.21694629193470186;0.21735964105778327;0.21662437150501107;0.21882228207406082;0.21837008052904625;0.21776992023417982;0.2214916208803426;0.21498476413289958
Relative Fragmentation per spectrum size (c);4;all;3; ;0.37070961066627306;0.3660995991138303;0.3701948083378325;0.37031201664253127;0.36833441571393094;0.37061898779269314;0.36880817423523726;0.37131614825701337;0.37585365320831793;0.36713701005289745
Relative Fragmentation per spectrum size (c);4;all;5; ;0.48914065024555486;0.4859901541018755;0.49127987958853264;0.4904968057101994;0.4842684031720651;0.4885404489583906;0.48818993269167077;0.4905495381668516;0.4928059984839272;0.4811623053842034
Relative Fragmentation per spectrum size (c);5;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);5;all;2; ;0.23881656368438656;0.2386214452584545;0.23710941543986375;0.2354221670683581;0.23809317737089658;0.23797709824640542;0.23981845964341889;0.2401591120965546;0.2408247944720641;0.24048350334440094
Relative Fragmentation per spectrum size (c);5;all;3; ;0.4058648690369512;0.3999285806587645;0.4016924639980126;0.3946962770077382;0.402561340808847;0.40157272112376025;0.40408866911117564;0.3993174498095356;0.40376123830753774;0.39983309881815743
Relative Fragmentation per spectrum size (c);5;all;5; ;0.5182616984500327;0.5160334690044059;0.5183358325723205;0.5088787528254884;0.5179700855593604;0.5186640638529644;0.5195326259836052;0.5184115523240428;0.5205145614806216;0.5153203890045628
Relative Fragmentation per spectrum size (c);6;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);6;all;2; ;0.2514309279916152;0.24939702839743078;0.2501205642615071;0.2536607329774097;0.2516965203599354;0.24987065234249944;0.2516054025289802;0.24929764242047867;0.25323728846991206;0.2501375327700244
Relative Fragmentation per spectrum size (c);6;all;3; ;0.4138581817959793;0.418902957715691;0.41463191559025464;0.41851331952535525;0.41441999949200664;0.41591831661701295;0.4187046184592964;0.4176054333168967;0.4176447117522267;0.4144991922779431
Relative Fragmentation per spectrum size (c);6;all;5; ;0.5301914978462337;0.5306864669323782;0.5206244067484703;0.5364668925830229;0.5286069234765602;0.5308065417609308;0.5323755333225276;0.526496873359707;0.5361710007303251;0.5284482862476672

