Metrics;LoadPoint;Bandwidth;src;dest; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
blocking probability;1;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability;2;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability;3;all;all;all; ;0.009263418480919154;0.009103704369179169;0.008025634114934267;0.01019175675540782;0.010910470258237754;0.010561095638806537;0.008365026602381736;0.008684454825861708;0.009073757973227922;0.009942203455814093
blocking probability;4;all;all;all; ;0.10061989039619082;0.09933219537028719;0.10584054542369159;0.10183771049820821;0.10212719232573693;0.10101917567554078;0.10394394034677927;0.09713612633386239;0.1024266562852494;0.09696643009013865
blocking probability;5;all;all;all; ;0.19294462911388616;0.1965980894199383;0.19364337835274859;0.1980355164255982;0.19709719601912576;0.19643837530819833;0.19594925084099463;0.19806546282154944;0.19260523662643866;0.1950308946984897
blocking probability;6;all;all;all; ;0.2726120244761876;0.27194322163327644;0.27375996965431876;0.2705956338154703;0.2730512382834726;0.2713842222421865;0.27357030914662755;0.2694776350332904;0.2760957885385161;0.2741792191976362


blocking probability fragmentation;1;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability fragmentation;2;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability fragmentation;3;all;all;all; ;0.00920352568901666;0.009073757973227922;0.008015651982950518;0.010151828227472823;0.010880523862286507;0.010551113506822788;0.008355044470397987;0.00864452629792671;0.009073757973227922;0.009922239191846595
blocking probability fragmentation;4;all;all;all; ;0.07916828876311402;0.07947773485461025;0.0811547330278801;0.08010660916958644;0.07746134419389293;0.07898861038740654;0.0811347687639126;0.07935794927080526;0.08132442927160383;0.07627347048782679
blocking probability fragmentation;5;all;all;all; ;0.11598239151918066;0.12081374339931522;0.11995528004871281;0.11978558380498908;0.12247077730861758;0.11858772796693919;0.12267041994829256;0.12362870461873247;0.1199952085766478;0.11912676309406163
blocking probability fragmentation;6;all;all;all; ;0.13996945467612973;0.14123718543806585;0.14038870421944719;0.13655556553768755;0.1421156130526358;0.1392906697012348;0.13968995498058476;0.14322362970283192;0.14541969873925673;0.1401690973158047


blocking probabilities per pair;1;all;6;2; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;5;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;3;6; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;2;6; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;5;4; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;3;4; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
