Metrics;LoadPoint;link;spectrum size (c); ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Relative Fragmentation per spectrum size (c);1;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);1;all;2; ;0.027041025798204627;0.027034354877313305;0.027013682012605865;0.02732692791198334;0.027238327528334258;0.02739448151613092;0.027144848491043594;0.02719590316646509;0.027278771503199423;0.027566198784835357
Relative Fragmentation per spectrum size (c);1;all;3; ;0.04928833765790826;0.04951706178516681;0.049683697029707534;0.049679761005711955;0.049746971441134276;0.04951526120377798;0.049325232780976176;0.04923390999010849;0.049772931434457976;0.04976640275976088
Relative Fragmentation per spectrum size (c);1;all;5; ;0.0752389298571056;0.07498528758321961;0.07588524354486244;0.07613680351837793;0.07601430298573958;0.07625256572624924;0.0748955956879235;0.07445896332660361;0.075602031129851;0.0763250209975273
Relative Fragmentation per spectrum size (c);2;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);2;all;2; ;0.06432026714888327;0.06393613408083709;0.0655914544116392;0.0650628940723945;0.06474601743315117;0.0653811363099922;0.06565020017051908;0.0641507182351456;0.06503810002311727;0.06495603575833386
Relative Fragmentation per spectrum size (c);2;all;3; ;0.11475288566358346;0.11598423578040407;0.11833666037269547;0.11703905996711883;0.1161870511828771;0.11802839874705094;0.11847448884372472;0.11617882940307017;0.11700987309331153;0.11679035927895884
Relative Fragmentation per spectrum size (c);2;all;5; ;0.16959404611295562;0.17199293633978202;0.17596572455106038;0.17362211518973486;0.17256774443146664;0.17465700219860633;0.17671029571764352;0.17488858540981264;0.17260830570364868;0.17350341947537987
Relative Fragmentation per spectrum size (c);3;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);3;all;2; ;0.1510500109824904;0.1533059726876634;0.14845901428476826;0.15491730711966636;0.15249492447022264;0.15624716282658058;0.15000432770922303;0.15268325658383883;0.15030293495039213;0.15352015831158727
Relative Fragmentation per spectrum size (c);3;all;3; ;0.26655380806015183;0.26845610544760967;0.26280765030478626;0.27508739969633655;0.2681804551330794;0.27601356595944576;0.2665295421067322;0.26946563036819704;0.2663080014781394;0.27094626474531475
Relative Fragmentation per spectrum size (c);3;all;5; ;0.3801517700276081;0.3841108871486625;0.37550818055542495;0.3889003720494126;0.38807954619183443;0.3896716572049272;0.38094929606286587;0.38173819798271436;0.37989927404537277;0.38702238692785906
Relative Fragmentation per spectrum size (c);4;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);4;all;2; ;0.21791935508238808;0.21491212321338893;0.21615682103115041;0.21495519138900016;0.2175278005375367;0.2170803200675861;0.21554290737530926;0.2123233212385169;0.2143908817838265;0.21420942830637799
Relative Fragmentation per spectrum size (c);4;all;3; ;0.3708398225432901;0.36649574051883166;0.37049588158193886;0.36722542926038937;0.37146302978728013;0.36891390068220364;0.36670642829503886;0.36206071175285337;0.3636496653856595;0.36531424516189065
Relative Fragmentation per spectrum size (c);4;all;5; ;0.4904332645902379;0.48332110771819453;0.4883687858739825;0.4842559813594184;0.4884111564662889;0.4868873512942806;0.4849509395668996;0.4837396322101802;0.48025790815580804;0.4817791097279773
Relative Fragmentation per spectrum size (c);5;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);5;all;2; ;0.24093114850645525;0.2364792248560415;0.236014881401724;0.23681426693653154;0.2392062564033125;0.23860159839071382;0.23536592521820873;0.23917102455307104;0.23671131155574415;0.23861235065747388
Relative Fragmentation per spectrum size (c);5;all;3; ;0.4005439236409151;0.3971387444441075;0.3929872244685919;0.397971069019967;0.399893423372691;0.4030680275154621;0.3951100258357931;0.3999799045602342;0.39819031660351545;0.39711131450201526
Relative Fragmentation per spectrum size (c);5;all;5; ;0.5242039119136099;0.5125021101182484;0.5075951456268563;0.5112316027610002;0.5190909762050219;0.5190765336837986;0.5048108751911831;0.5178516820356208;0.5091544263211553;0.5127862149129442
Relative Fragmentation per spectrum size (c);6;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);6;all;2; ;0.24917236699693598;0.2505017261704192;0.24766121567452118;0.2523792808501126;0.24723991873094364;0.25170348823975375;0.25022748804763756;0.24750479454432958;0.24890982882554985;0.2495522889346166
Relative Fragmentation per spectrum size (c);6;all;3; ;0.41615320171848674;0.4178272740309269;0.413730276280487;0.4196981524280444;0.41305094035051215;0.42275710852977605;0.41537920197419026;0.41339589135371946;0.4118808052837158;0.41445892328800044
Relative Fragmentation per spectrum size (c);6;all;5; ;0.5298841662557797;0.5315959770136831;0.5292800901036;0.5374262065227569;0.5202978050833708;0.5295810680007003;0.5261277786305493;0.5266367691494587;0.5280871619586236;0.5328053599491568

