Metrics;LoadPoint;Bandwidth;src;dest; ;rep1;rep2;rep3;rep4;rep5
bandwidth blocking probability;1;all;all;all; ;0.9822711749593904;0.9854948473743474;0.9810888505090317;0.9813239865981449;0.9842373413943876
bandwidth blocking probability;2;all;all;all; ;0.9933572980685563;0.9935468750722752;0.9907900695970329;0.9933171843031425;0.9940663786263317
bandwidth blocking probability;3;all;all;all; ;0.9952635675812784;0.9949957109811891;0.9915969875308587;0.9951013349622343;0.9954151605079491


bandwidth blocking probabilities per pair;1;all;6;1; ;0.9993334300858071;1.0;0.9924114671826411;0.9695542275084367;0.9693140600399455
bandwidth blocking probabilities per pair;1;all;4;6; ;0.9488484389663518;1.0;0.9677115495658785;0.9952734963314815;0.9528229081931553
bandwidth blocking probabilities per pair;1;all;3;5; ;0.9925483406477569;1.0;0.9994343128870835;0.9825221347160724;0.982148065086185
bandwidth blocking probabilities per pair;1;all;2;5; ;0.9994344550857766;1.0;0.9863310359207841;0.9983828612859538;0.991297622438821
bandwidth blocking probabilities per pair;1;all;5;3; ;0.9702748468514203;0.971211621009061;1.0;0.9868149488181835;0.9426786298572629
bandwidth blocking probabilities per pair;1;all;3;2; ;0.9959965449710844;0.9555296987395753;0.9578162139866666;0.9753828170187712;0.9504512580730065
bandwidth blocking probabilities per pair;1;all;2;4; ;0.9834697372825112;0.9926538446934902;0.964486017063559;0.9588944547590978;0.9971503932128698
bandwidth blocking probabilities per pair;1;all;6;4; ;0.9886734186939932;0.992972034911939;1.0;0.9834654241025109;0.9537930304670511
bandwidth blocking probabilities per pair;1;all;2;3; ;1.0;0.9977696356218869;0.997084987309821;0.9878099634042573;0.9684301142669146
bandwidth blocking probabilities per pair;1;all;5;4; ;0.9932455700710058;0.9680506814472941;0.9952202644170652;0.9657680789722947;0.9995212243455674
bandwidth blocking probabilities per pair;1;all;4;2; ;0.9494663514875523;1.0;0.9700889386055076;0.9862202960942397;0.963512406875552
