Metrics;LoadPoint;link;spectrum size (c); ;rep1;rep2;rep3;rep4;rep5
Relative Fragmentation per spectrum size (c);1;all;1; ;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);1;all;2; ;0.0012566823532947522;0.0012103589885515463;0.0012334102408231985;0.0012372209034576221;0.0013427538999499775
Relative Fragmentation per spectrum size (c);1;all;3; ;0.002743319505732907;0.0028667279029169716;0.002957949905998329;0.002854693163475756;0.0026046194958637132
Relative Fragmentation per spectrum size (c);1;all;5; ;0.004960946572886648;0.004267444377902281;0.004209272497255007;0.004139943120377845;0.004725861449028291
Relative Fragmentation per spectrum size (c);2;all;1; ;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);2;all;2; ;0.0011756764858669383;0.0013380290827345262;0.0012112403494231407;0.0013914291548459713;0.001148468317716997
Relative Fragmentation per spectrum size (c);2;all;3; ;0.002611459252946614;0.0031103006456603835;0.00324128082273311;0.002695521821561008;0.0022973019505453302
Relative Fragmentation per spectrum size (c);2;all;5; ;0.004198500389522765;0.005775538238130876;0.004860745996020418;0.0053939641824026115;0.004841224599459443
Relative Fragmentation per spectrum size (c);3;all;1; ;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);3;all;2; ;9.915820980250767E-4;0.0014768257864373796;0.0012403140842985618;0.0012528061196617226;8.96112377600951E-4
Relative Fragmentation per spectrum size (c);3;all;3; ;0.0023085808220668115;0.002474867766520246;0.0026713523640621716;0.0027570076311323505;0.002796171630712927
Relative Fragmentation per spectrum size (c);3;all;5; ;0.004091712837477252;0.004758002172020825;0.004005405279515693;0.004798554726018048;0.004087571253084891


