Metrics;LoadPoint;Bandwidth;src;dest; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
blocking probability;1;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability;2;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability;3;all;all;all; ;0.016680142544844727;0.015831661326226057;0.016949660108405953;0.018776390261432036;0.016809910260633467;0.018856247317302028;0.016740035336747224;0.017229159803950927;0.0180976052865371;0.016380678585332254
blocking probability;4;all;all;all; ;0.07099292266842352;0.07297936693318959;0.07688238053883549;0.07379790175585701;0.07383783028379201;0.07543497140119186;0.07417722277123948;0.07695225546272173;0.07439682967488197;0.07517543596961439
blocking probability;5;all;all;all; ;0.12588466644705976;0.1307759111190968;0.13025684025594186;0.12816059253935455;0.12912885934177823;0.13159444594176425;0.12786112857984208;0.12694277243733718;0.1272122900008984;0.12949819822517694
blocking probability;6;all;all;all; ;0.17851046626538497;0.17502670220305652;0.17845057347348248;0.17788159195040876;0.17753221733097754;0.17596502260952895;0.17730262829535132;0.17580530849778897;0.17945876880384112;0.1819343375358109


blocking probability fragmentation;1;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability fragmentation;2;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability fragmentation;3;all;all;all; ;0.01664021401690973;0.015791732798291058;0.016939677976422204;0.018716497469529542;0.016730053204763472;0.01874644386548079;0.01666017828087723;0.017089409956178442;0.01808762315455335;0.01633076792541351
blocking probability fragmentation;4;all;all;all; ;0.06971520977450364;0.07171163617125345;0.0751155431777119;0.07243034967408339;0.07253017099392088;0.07312909891294583;0.07244033180606714;0.07536509647730562;0.0728196528214496;0.07369808043601953
blocking probability fragmentation;5;all;all;all; ;0.11911678096207788;0.12447718583735114;0.12376845446650496;0.12013495842442029;0.12176204593777139;0.12390820431427745;0.12120304654668144;0.11908683456612663;0.11902694177422414;0.12082372553129897
blocking probability fragmentation;6;all;all;all; ;0.15774763173918685;0.1571686680841294;0.1576178640233981;0.15682927559668194;0.15648988310923448;0.1551323131594446;0.1582467383383743;0.1567793649367632;0.16000359356751415;0.15968416534403418


blocking probabilities per pair;1;all;6;2; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;5;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;3;6; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;2;6; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;5;4; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;3;4; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
