Metrics;LoadPoint;link;spectrum size (c); ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Relative Fragmentation per spectrum size (c);1;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);1;all;2; ;0.03184522324445595;0.03154069023639424;0.03205848307967349;0.032552346088538846;0.03249910410911701;0.03204115844233459;0.032118145290024734;0.03159126869749152;0.03199565137727138;0.0314550417512046
Relative Fragmentation per spectrum size (c);1;all;3; ;0.05545010085207748;0.05509933923633772;0.05561086719430179;0.056485810498650646;0.05645084931849227;0.05564531231773614;0.05579655866623889;0.05475364009041335;0.05593128330682273;0.05519257349673248
Relative Fragmentation per spectrum size (c);1;all;5; ;0.0861457167953463;0.08497550131507704;0.08630514921301179;0.08721049324578656;0.08683325461931428;0.08619262098072619;0.08613139433463055;0.08491638190222178;0.0863088063575556;0.08516868465890705
Relative Fragmentation per spectrum size (c);2;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);2;all;2; ;0.0844435270871883;0.08306665383659484;0.08370456296652211;0.0821155582193216;0.08249911861481819;0.08336561603195611;0.08404438530169281;0.08510348218950269;0.08377965885768947;0.08311467457706227
Relative Fragmentation per spectrum size (c);2;all;3; ;0.14346827880214688;0.14199576210999557;0.14411606985377892;0.13950085911093169;0.14128159316847053;0.14229528886744514;0.14300911998573673;0.14497490555504638;0.1426984059943589;0.14163490588763386
Relative Fragmentation per spectrum size (c);2;all;5; ;0.21468205824866565;0.2110288102306884;0.21151020763975625;0.20637933829465502;0.20890775927453065;0.21066391714477245;0.21239875654705143;0.21483799221289943;0.21002789101032177;0.2100795585698468
Relative Fragmentation per spectrum size (c);3;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);3;all;2; ;0.1999955358502203;0.1976778912682404;0.19893874936993253;0.19968175156627296;0.1983940271830849;0.20511470139474489;0.19855916266267143;0.19922658236035126;0.1998747643804918;0.19655077353885275
Relative Fragmentation per spectrum size (c);3;all;3; ;0.3306648779446293;0.32746755626895824;0.32878054942441076;0.3329570633406808;0.3301877890122052;0.33742512316030354;0.32979336177748103;0.32901494467649023;0.336849783073528;0.3287974777879534
Relative Fragmentation per spectrum size (c);3;all;5; ;0.476170039507139;0.47262321872956004;0.47189583600259144;0.480661966894063;0.47930671294329175;0.48960120901312104;0.4791155775124323;0.47702383516019076;0.4817858559589019;0.47539205264894147
Relative Fragmentation per spectrum size (c);4;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);4;all;2; ;0.28553469845584883;0.2921034759511971;0.2903823403950301;0.2901078562548306;0.2885245181052271;0.2894232255414432;0.2898866258462634;0.2896079857249832;0.2901480082487038;0.2917882403582206
Relative Fragmentation per spectrum size (c);4;all;3; ;0.45703165866643736;0.4668780147585698;0.4639834328468702;0.4614607113999135;0.4625145560570296;0.459619510392857;0.4628867968666135;0.46385461494758845;0.45780802173307694;0.46639771701977517
Relative Fragmentation per spectrum size (c);4;all;5; ;0.6425165393756551;0.6499178640250092;0.6466983260686139;0.6432631401421971;0.6410308666235507;0.6464238410619889;0.6437857312330935;0.6484918818786729;0.6456051883944454;0.6520831007992876
Relative Fragmentation per spectrum size (c);5;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);5;all;2; ;0.3532473889798573;0.352952354302439;0.34790679142594266;0.35576136782979684;0.35671676796244234;0.3535600586638385;0.35342133344018706;0.35204055942466417;0.35050780658980923;0.356427095507844
Relative Fragmentation per spectrum size (c);5;all;3; ;0.5440595104402806;0.5459748746685891;0.5437739267303107;0.5454226387722948;0.551700298185119;0.5504031554673884;0.5461885655081732;0.5471107816568163;0.5468246563965538;0.5507477630327064
Relative Fragmentation per spectrum size (c);5;all;5; ;0.7354573528451744;0.7383886842320754;0.7306740502425665;0.7375139337706059;0.7421134908432949;0.7412723527289667;0.7339355090855877;0.7385519093229717;0.7355882645228078;0.7438323718797331
Relative Fragmentation per spectrum size (c);6;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);6;all;2; ;0.41877070825027907;0.4116107194664218;0.416733585192581;0.41361356877999733;0.41041430456284167;0.40922345575999464;0.41172187528130944;0.41337367104551026;0.41124103173561494;0.41690287667106013
Relative Fragmentation per spectrum size (c);6;all;3; ;0.6176519194800666;0.6191118237441053;0.6228398750858494;0.6185574757115607;0.6115915310141353;0.616371369308713;0.6161803356248539;0.6235386147081828;0.6159479342988213;0.6253625189737758
Relative Fragmentation per spectrum size (c);6;all;5; ;0.8061296934805772;0.8059395471608;0.810444147038474;0.8077168791359556;0.8060166530484184;0.8057117950791401;0.8050744846107647;0.8085339122658398;0.8055887430872565;0.8135369632659931

