Metrics;LoadPoint;Bandwidth;src;dest; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
blocking probability;1;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability;2;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability;3;all;all;all; ;0.0038531029457271482;0.004332245280947104;0.0024056938080835306;0.0024356402040347776;0.0037233352299384103;0.0029846574631409778;0.003683406702003414;0.0028349254833847414;0.0024056938080835306;0.002026372792701065
blocking probability;4;all;all;all; ;0.0602521486539095;0.055370886113856196;0.057357330378622264;0.056688527535711075;0.06083111230896695;0.05950348875512832;0.058994400023957116;0.05859511474460715;0.05916409626768085;0.05978298845067329
blocking probability;5;all;all;all; ;0.11474460715319577;0.11212928857345351;0.11592249872727817;0.1145250002495533;0.11464478583335828;0.11480449994509827;0.11378632248275587;0.11368650116291838;0.11838808532726419;0.1156030705037982
blocking probability;6;all;all;all; ;0.16734046057556973;0.16626239032132484;0.16630231884925983;0.16441569590433125;0.1676598887990497;0.16958644027191327;0.16463530280797373;0.16696113956018727;0.16349733976182634;0.16589305143792613


blocking probability fragmentation;1;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability fragmentation;2;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability fragmentation;3;all;all;all; ;0.003693388833987163;0.004092674113337126;0.002226015432376047;0.0023657652801485343;0.003553638986214676;0.002814961219417243;0.003453817666377185;0.0026153185797422613;0.002325836752213538;0.0018666586809610796
blocking probability fragmentation;4;all;all;all; ;0.05551063596162868;0.0520568182952515;0.05404326256001757;0.052875353117918925;0.057157687738947284;0.05468211900697751;0.05465217261102626;0.05441260144341629;0.054442547839367535;0.05582008205312491
blocking probability fragmentation;5;all;all;all; ;0.09994110542129588;0.09698639435410615;0.09936214176623843;0.09792471476057857;0.09946196308607592;0.10006089100510086;0.09771508998891984;0.09781491130875733;0.10318529831601433;0.09926232044640095
blocking probability fragmentation;6;all;all;all; ;0.13459906766887272;0.13175416005350424;0.1326625340640254;0.13092564309885305;0.13253276634823666;0.1342496930494415;0.13210353467293545;0.12798091416364707;0.12986753710857565;0.13240299863244792


blocking probabilities per pair;1;all;1;4; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;4;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;6;5; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;2;3; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;1;3; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;1;5; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
