Metrics;LoadPoint;link;spectrum size (c); ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Relative Fragmentation per spectrum size (c);1;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);1;all;2; ;0.030800765628405505;0.031015406585423604;0.030857972363583442;0.030813541881121443;0.03098067783399988;0.03093278717529302;0.031225328631407475;0.03130768440716841;0.031078895872295273;0.03079646636657353
Relative Fragmentation per spectrum size (c);1;all;3; ;0.05264175467404308;0.052624175972884615;0.052794758259371403;0.05293241144684605;0.052518597526954126;0.05259408684881108;0.053433174063899705;0.053518099376167576;0.052918186431344424;0.0525508828641167
Relative Fragmentation per spectrum size (c);1;all;5; ;0.0646922454485598;0.06470817021842498;0.06488788685047549;0.06438246252047655;0.06492371361881663;0.06454707976495706;0.06505200537700648;0.06499870576143472;0.06499101625813848;0.06458825652730017
Relative Fragmentation per spectrum size (c);2;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);2;all;2; ;0.07825234630454993;0.07688938541954135;0.0798912191481212;0.07778352028149627;0.07793065499712569;0.07876078788410658;0.08009916125168202;0.07849343746271001;0.07792283792892223;0.07906915266608722
Relative Fragmentation per spectrum size (c);2;all;3; ;0.12994144175471584;0.12835337637130947;0.13255375827959445;0.12935267365326325;0.1288064089856683;0.13141249752428202;0.1327028103007099;0.12897642945491836;0.1297797030026983;0.13276841975804157
Relative Fragmentation per spectrum size (c);2;all;5; ;0.1541468269425825;0.15143834109330817;0.15685329997408268;0.1526997029271112;0.15309553778908036;0.1552586312336419;0.15691979376102655;0.15459774251940847;0.15433710348338875;0.15595376917120515
Relative Fragmentation per spectrum size (c);3;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);3;all;2; ;0.21406690094758254;0.22373895146243078;0.2080082375152451;0.20669823545767765;0.21316170685067165;0.21160107429270925;0.21775473475893814;0.2142199397054225;0.21153120399637165;0.21025113622801142
Relative Fragmentation per spectrum size (c);3;all;3; ;0.34979656435678763;0.3646762612131782;0.34136685787330995;0.34019512319986345;0.34971255225621134;0.34547341002328796;0.35557255085367295;0.35330390056636396;0.34741219568860204;0.3417628930441417
Relative Fragmentation per spectrum size (c);3;all;5; ;0.41518019522368793;0.43630356680720733;0.39920174806769376;0.39761527819327436;0.41122463868104275;0.4096599863613433;0.4194238244307967;0.41129559724568204;0.40926418658716845;0.39964411816549633
Relative Fragmentation per spectrum size (c);4;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);4;all;2; ;0.32242605709938077;0.31720915476410966;0.3154543682951961;0.3174205757059698;0.31629145232780087;0.3170972348685792;0.3167303436144099;0.3188236049351156;0.32028536410010267;0.3201112712293039
Relative Fragmentation per spectrum size (c);4;all;3; ;0.5228336062868563;0.5134158443380978;0.5207629258979213;0.5134973154913166;0.5210612745876138;0.5193977452672126;0.5153071594724484;0.5120444250148135;0.5143328125209359;0.5191773607583696
Relative Fragmentation per spectrum size (c);4;all;5; ;0.6672113699899026;0.664045239674473;0.6676987005076631;0.6577663180635932;0.6730044165341628;0.6704780225857494;0.6591819625726821;0.6618023159037656;0.6662829723705248;0.6688985146220122
Relative Fragmentation per spectrum size (c);5;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);5;all;2; ;0.3823853799024496;0.381388285543258;0.39008689507667543;0.38295033962547137;0.3823745716225324;0.3854027395693756;0.38300348337072204;0.38361431112549904;0.38210191542204913;0.38571307126514015
Relative Fragmentation per spectrum size (c);5;all;3; ;0.5977479816402828;0.5990845157821661;0.6024244218640871;0.602383217902234;0.6030761965868611;0.5998945284694694;0.6020933412994224;0.6076626392063176;0.5997100529852812;0.6019593954602794
Relative Fragmentation per spectrum size (c);5;all;5; ;0.7821731724226918;0.7811705142011606;0.7861981555925128;0.7827903128554166;0.776287158480119;0.7837094867540996;0.7784507254285541;0.7845476419007612;0.784538773333595;0.78345972474444
Relative Fragmentation per spectrum size (c);6;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);6;all;2; ;0.44618234007964197;0.4453029422236895;0.4470758700315096;0.4382969039576943;0.4455662836391884;0.4446562891252103;0.439973093271077;0.4484785111601712;0.4416347940302537;0.44310328402127785
Relative Fragmentation per spectrum size (c);6;all;3; ;0.6706268103196252;0.669408295326458;0.6743314175795337;0.6701406661520933;0.6738085166875254;0.6765721761479823;0.6724894624895192;0.6749827460531465;0.6655535312167759;0.6747614882452643
Relative Fragmentation per spectrum size (c);6;all;5; ;0.8568058375622846;0.8590462128121797;0.8594201840003122;0.851204403700973;0.8588835122410745;0.861057992682719;0.8556632539305379;0.862977545014124;0.851033084483733;0.8580274309940916

