Metrics;LoadPoint;Bandwidth;src;dest; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
bandwidth blocking probability;1;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probability;2;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probability;3;all;all;all; ;0.009828352223538917;0.015847229151712664;0.012567538459275876;0.010748561456364254;0.014168066221560928;0.014640420407043858;0.015255810083628953;0.015122160257347925;0.010830615354313441;0.012104548499302356
bandwidth blocking probability;4;all;all;all; ;0.1750044922268581;0.17032263127445085;0.16594678131149695;0.17275105674893895;0.1684079710595409;0.16987056236951484;0.17530653048984488;0.16897474433714743;0.17353929222210493;0.17001621400646405
bandwidth blocking probability;5;all;all;all; ;0.29898507607242764;0.3052472855044713;0.30546815718100406;0.3031477852385146;0.30579359712453297;0.30262221758311736;0.3044115647714889;0.30039426322290347;0.29705676196757214;0.3026787747459775
bandwidth blocking probability;6;all;all;all; ;0.4115493452964327;0.40778496835805356;0.40515161948440587;0.40658137492741586;0.40585137346428407;0.4076774664183874;0.4082411138151388;0.4098165425204843;0.40713470259657997;0.40030054440594776


bandwidth blocking probabilities per pair;1;all;4;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;2;4; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;1;6; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;2;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;2;5; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;6;3; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;1;2; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;5;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
