Metrics;LoadPoint;Bandwidth;src;dest; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
blocking probability;1;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability;2;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability;3;all;all;all; ;0.003683406702003414;0.005060940915760788;0.0045318879206220864;0.0037333173619221592;0.0050110302558420425;0.005420297667175756;0.005520118987013246;0.005560047514948242;0.00350372832629593;0.003972888529532138
blocking probability;4;all;all;all; ;0.06348635941664421;0.06164964713163437;0.06000259535431578;0.06258796753810679;0.06119046906038192;0.06214875373082183;0.06393555535591292;0.05927389971950209;0.062937342157538;0.06146996875592689
blocking probability;5;all;all;all; ;0.11568292755966819;0.11739985426087304;0.1189770311143054;0.11713033669731181;0.11790894299204424;0.11803871070783298;0.11759949690054802;0.11469469649327703;0.11456492877748829;0.1166811407580431
blocking probability;6;all;all;all; ;0.16857824494155463;0.16547380189460864;0.16564349813833237;0.1647950169197137;0.16916719072859582;0.1679693348905459;0.16651194362091856;0.16411623194481878;0.16778965651483843;0.16529412351890116


blocking probability fragmentation;1;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability fragmentation;2;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability fragmentation;3;all;all;all; ;0.0036534603060521666;0.004951137463939548;0.004432066600784596;0.00361353177811717;0.00482136974815081;0.005280547819403268;0.0054901725910619995;0.005400333403208257;0.0034039070064584395;0.0038531029457271482
blocking probability fragmentation;4;all;all;all; ;0.06102077281665818;0.05878477525229839;0.05675840245959732;0.05949350662314457;0.05794627616566346;0.05931382824743709;0.06061150540532447;0.0564689206320686;0.059842881242575786;0.05812595454137095
blocking probability fragmentation;5;all;all;all; ;0.10209724592978568;0.10450293973786921;0.10488226075325167;0.10399385100669802;0.10453288613382046;0.10366444065123429;0.10353467293544555;0.10118887191926451;0.10072969384801206;0.10259635252897314
blocking probability fragmentation;6;all;all;all; ;0.13519799558789766;0.13419978238952276;0.13441938929316524;0.13435949650126275;0.13817267091905489;0.13655556553768755;0.13548747741542638;0.13302189081544036;0.13400013974984779;0.13462901406482397


blocking probabilities per pair;1;all;4;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;2;4; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;1;6; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;2;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;2;5; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;6;3; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
