Metrics;LoadPoint;link; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
External Fragmentation (Vertical);1;all; ;0.6523325059718519;0.6519973824157579;0.6521831159715274;0.651576698307523;0.6547400755305093;0.6520601946905087;0.6509766430912026;0.6530544356300615;0.6510078893284419;0.6545729689383749
External Fragmentation (Vertical);2;all; ;0.7164293958342057;0.7173002146888314;0.7148594448507325;0.7156009232904506;0.7180877837915589;0.7140408665418996;0.7157014354143211;0.7115757210035675;0.7193961787802734;0.722106720287257
External Fragmentation (Vertical);3;all; ;0.7940018785471793;0.7990965427763179;0.7971721741758074;0.7950455965023075;0.7986364126326196;0.8029711482285983;0.8001633433426169;0.7940382117965556;0.7962190245032273;0.791764276339799
External Fragmentation (Vertical);4;all; ;0.8110913109185868;0.8128045149195052;0.8096356762488227;0.8117293169845282;0.8089805039596292;0.8094822669509886;0.8120397113779122;0.8108298101530123;0.8118754860992831;0.8104859136225515
External Fragmentation (Vertical);5;all; ;0.8008185828222649;0.7967135627797101;0.8001382350946865;0.796140368425201;0.796746974184015;0.7993889609354673;0.7983234293188344;0.7966255869050844;0.7956888213286019;0.7984610384722605
External Fragmentation (Vertical);6;all; ;0.7803512560159539;0.7828411121977337;0.7792093912870787;0.782594370084871;0.777300293730249;0.7837423313830559;0.784235862483691;0.7832950381047381;0.7812607168298956;0.782916929117365

External Fragmentation (Horizontal);1;all; ;0.6416777049283067;0.6406299666737291;0.6409295160211763;0.6400461985417361;0.6437779304132232;0.6413113663278769;0.6400291009196419;0.6420330144210319;0.6396384637073621;0.6441416043291426
External Fragmentation (Horizontal);2;all; ;0.6895474774661912;0.6924296583305191;0.6894128894522594;0.6902535396105848;0.6919687456026224;0.6888321412224101;0.6891571882729961;0.6866217634260693;0.6956286912598049;0.6967391300203462
External Fragmentation (Horizontal);3;all; ;0.7170632000109661;0.7132133320597474;0.7121533765966288;0.7119267010862039;0.7133052688592896;0.7230168331296848;0.7180819397259298;0.7136013603420887;0.7106060592190073;0.7092831966071981
