Metrics;LoadPoint;link;spectrum size (c); ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Relative Fragmentation per spectrum size (c);1;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);1;all;2; ;0.026981089070701195;0.027162020851987347;0.02685105559896218;0.027098306314738217;0.027090084440084105;0.026947029347288414;0.026811445594485946;0.027174548931448442;0.027119999809818166;0.027031606282803967
Relative Fragmentation per spectrum size (c);1;all;3; ;0.04870110214361215;0.04899743062893861;0.048642892149396114;0.04895491843572994;0.04909863058027553;0.04874714752990505;0.048456275252630306;0.04863975619712386;0.04881712335918883;0.04916427977908102
Relative Fragmentation per spectrum size (c);1;all;5; ;0.07335441321496035;0.07343678148527456;0.07255289396530314;0.07307620752611503;0.07322881679582209;0.0734448629635733;0.07249699045507886;0.07314034214134976;0.07330581536062429;0.07322549502696529
Relative Fragmentation per spectrum size (c);2;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);2;all;2; ;0.06471633260537787;0.06470933180912017;0.06550410900624874;0.06397477768667956;0.06518653434778376;0.06363345632704077;0.06381150365117318;0.0641731963054653;0.06425253981250419;0.06404254712177077
Relative Fragmentation per spectrum size (c);2;all;3; ;0.11532977634711583;0.11632170337963967;0.11625574162880087;0.11538447580092902;0.11684136179572274;0.11401010856803888;0.1138698492335772;0.11405640704313859;0.11507635161065154;0.11425322290878764
Relative Fragmentation per spectrum size (c);2;all;5; ;0.16896038994253323;0.16832450821579545;0.16974780065023348;0.16796216324764496;0.17015435305178722;0.16501932190984017;0.16553552683273046;0.167176072443146;0.16681293095742247;0.16530198036396607
Relative Fragmentation per spectrum size (c);3;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);3;all;2; ;0.18445573483227498;0.19457575527842083;0.19434570987879676;0.1844617656082878;0.1943570011436154;0.1934819376888859;0.18851640535010505;0.1890040274744877;0.18580544389639908;0.17921206004356363
Relative Fragmentation per spectrum size (c);3;all;3; ;0.3275554491727125;0.33943107737783806;0.3364541407832642;0.32387404752024646;0.3417198684413246;0.34178092637074475;0.3466724073082516;0.3357741233593015;0.332433977642441;0.3185321339120721
Relative Fragmentation per spectrum size (c);3;all;5; ;0.45818870306330994;0.4793223223696807;0.4737698222011973;0.4490201175482241;0.47397428891027804;0.4876198002896876;0.48387900862968375;0.47204364105947266;0.4625698944993636;0.45473982961441195
Relative Fragmentation per spectrum size (c);4;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);4;all;2; ;0.31717319598209165;0.3153796732241344;0.31526836726286656;0.3174442113655896;0.3120699025429366;0.31397676095411203;0.3143817688185864;0.3141694465821248;0.31452789627800987;0.3150147562942097
Relative Fragmentation per spectrum size (c);4;all;3; ;0.5171732446741353;0.5156925655555368;0.5131186621544263;0.5149776250637438;0.511587557074704;0.518623308271709;0.5164847721943283;0.5118459174452379;0.5171700855421747;0.5128154159113657
Relative Fragmentation per spectrum size (c);4;all;5; ;0.7246687525743014;0.717673991642805;0.7186235862308827;0.7273031014765119;0.7179119715981611;0.7200850450857639;0.7210338626615614;0.7156334703223355;0.7240688677375245;0.7174951827927927
Relative Fragmentation per spectrum size (c);5;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);5;all;2; ;0.38714367609329237;0.39221753977220186;0.38953121115037354;0.39053017334505585;0.39216015033506396;0.38799843617422;0.3905865532254671;0.3924213030912909;0.3891789350065173;0.3866505123058719
Relative Fragmentation per spectrum size (c);5;all;3; ;0.5963217610000101;0.6073749503321013;0.6043015050139344;0.6054845827094304;0.6059503297691906;0.6072533711093481;0.6026153152231573;0.6013773473455639;0.6014340747063341;0.5988791439121394
Relative Fragmentation per spectrum size (c);5;all;5; ;0.8106369585925648;0.8160082404399013;0.8189968501439692;0.8112164252944224;0.813900519211087;0.811687936688821;0.8114597719890158;0.813907280366383;0.8064674627776408;0.8097357487034373
Relative Fragmentation per spectrum size (c);6;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);6;all;2; ;0.44935396580015174;0.4510436457991166;0.4491879953566113;0.4498260634602909;0.45266522592307107;0.45269441179486836;0.44632600283648066;0.446735893770399;0.4461752174052882;0.44692819643469817
Relative Fragmentation per spectrum size (c);6;all;3; ;0.6740798555867096;0.6774338647328596;0.6745269783873561;0.6737418680756366;0.6799404535428559;0.6794437569733427;0.6764804560777358;0.6706089579449498;0.6739599580769868;0.6738358146971335
Relative Fragmentation per spectrum size (c);6;all;5; ;0.8721067386340178;0.8752326059777559;0.8701993429973092;0.8756216050829995;0.8738158874913459;0.8784331961949656;0.8738862723839562;0.8708989199078381;0.871898522135165;0.8744591997161942

