Metrics;LoadPoint;Bandwidth;src;dest; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
bandwidth blocking probability;1;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probability;2;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probability;3;all;all;all; ;0.013736256570926504;0.010710667576433328;0.013842360019650068;0.013314336924409384;0.010240779206886886;0.01212497865011599;0.014080289232179133;0.016179988800230683;0.008914602947380027;0.013656128684085228
bandwidth blocking probability;4;all;all;all; ;0.16117466259014815;0.16893539516326428;0.1636364271889442;0.16679461228619819;0.16083978478018593;0.16489131927603431;0.156628253424007;0.16989878132883793;0.16501332463366827;0.16421949846582032
bandwidth blocking probability;5;all;all;all; ;0.28662774415296177;0.2897501452319365;0.2972816241455145;0.2875514504139573;0.2844204359635327;0.28858352411869087;0.29363826281007976;0.2961981747742882;0.29403879595899024;0.29274340556361367
bandwidth blocking probability;6;all;all;all; ;0.3896612338875624;0.37898399185080245;0.3943051848860231;0.37804716994105514;0.3923232690779975;0.38721140140632193;0.3816479675329357;0.3799743395803392;0.38427781917829845;0.3906917587216482


bandwidth blocking probabilities per pair;1;all;5;2; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;3;6; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;4;2; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;4;3; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;3;5; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;6;3; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;2;6; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;6;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
