Metrics;LoadPoint;Bandwidth;src;dest; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
blocking probability;1;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability;2;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability;3;all;all;all; ;0.005510136855029497;0.003553638986214676;0.005100869443695784;0.004791423352199562;0.004312281016979606;0.0042823346210283594;0.004681619900378323;0.006069136246119446;0.0034138891384421885;0.004921191067988301
blocking probability;4;all;all;all; ;0.07411732997933698;0.0761536849040218;0.0735084199283283;0.07748130845786043;0.07319897383683208;0.07594406013236307;0.0734684914003933;0.08010660916958644;0.0789386997274878;0.07679254135098175
blocking probability;5;all;all;all; ;0.14889348066960142;0.15025105061939129;0.15160862056918117;0.1518781381327424;0.15043072899509877;0.15070024655866;0.14982181894409008;0.15229738767605985;0.15304604757484103;0.15114944249792872
blocking probability;6;all;all;all; ;0.2109923237405045;0.2078778985615748;0.21514489064574413;0.2088761117599497;0.21356771379231176;0.2088561474959822;0.20800766627736353;0.2097745036384871;0.20940516475508839;0.21396699907166172


blocking probability fragmentation;1;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability fragmentation;2;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability fragmentation;3;all;all;all; ;0.005350422743289512;0.00350372832629593;0.004911208936004552;0.004671637768394574;0.004142584773255872;0.004112638377304625;0.0045019415246708395;0.0059593327942982065;0.0033040856866209485;0.0047415126922808176
blocking probability fragmentation;4;all;all;all; ;0.07201110013076593;0.07423711556314197;0.07135227941983849;0.07500573972589065;0.07096297627247228;0.07382784815180826;0.07179149322712344;0.07851945018417034;0.07620359556394055;0.07431697261901196
blocking probability fragmentation;5;all;all;all; ;0.14261471965182324;0.14099761427045587;0.14434162848501184;0.14546960939917547;0.14364287924614938;0.1425248804639695;0.14286427295141696;0.14600864452629791;0.14589884107447668;0.14428173569310934
blocking probability fragmentation;6;all;all;all; ;0.1967977320596133;0.19498098403857095;0.20262729713812275;0.19417243134788728;0.20160911967578035;0.19373321754060233;0.1949310733786522;0.19520059094221343;0.19599916150091337;0.20099022749278792


blocking probabilities per pair;1;all;5;2; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;3;6; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;4;2; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;4;3; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;3;5; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;6;3; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
