Metrics;LoadPoint;link; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
External Fragmentation (Vertical);1;all; ;0.6497495608552543;0.6522238670703815;0.654739423970363;0.6540168974058433;0.6548593015079636;0.6512740536254827;0.6534182107580409;0.6511663444085647;0.6566705942931637;0.6506600343398216
External Fragmentation (Vertical);2;all; ;0.7163312688792204;0.7183890682339052;0.7092010250256983;0.7146978500853036;0.7201529768708831;0.7182339724980077;0.7184885759540758;0.7112979296495823;0.7134115027530658;0.7124661908694363
External Fragmentation (Vertical);3;all; ;0.7961184754434399;0.7945587474381978;0.7976967257371749;0.7955605012026229;0.7949180976559942;0.7931666572083166;0.7957119849073089;0.7974469882864007;0.7918673713663438;0.8015982594233192
External Fragmentation (Vertical);4;all; ;0.8040818944388912;0.8048917094460731;0.8051674722449339;0.8071502587502477;0.805708578925621;0.8038573812608854;0.8081311056096611;0.8056227359788255;0.8051747960384574;0.8046253949919292
External Fragmentation (Vertical);5;all; ;0.79105090536967;0.7887613447918711;0.791941058777601;0.790614628668384;0.7900468752642805;0.789365536732766;0.7923846617875355;0.7912771968898135;0.7912538304009469;0.7945701854811223
External Fragmentation (Vertical);6;all; ;0.7748607251368395;0.7714765947328311;0.7783267776260685;0.7714828070419265;0.7755591780343095;0.7720800798116728;0.7745122426471203;0.7710626924044799;0.7728539437581742;0.7738465390360161

External Fragmentation (Horizontal);1;all; ;0.6385124880350699;0.6413164625342165;0.6439352815385184;0.6430747531027319;0.6435084748452409;0.6399486826259712;0.6416195785345905;0.6404180917431813;0.6461512037358091;0.6392532334438773
External Fragmentation (Horizontal);2;all; ;0.6909742051908444;0.6934487022598165;0.6817698203643713;0.6899218426883991;0.6946287371301798;0.6938179535489156;0.6919566469544833;0.6834849545657504;0.6873220613084144;0.6844897473452393
External Fragmentation (Horizontal);3;all; ;0.7184564190404054;0.7214325648940925;0.7207568025943571;0.7186705065936868;0.7207834088188639;0.7196211933328497;0.7173655557114041;0.7183489013385354;0.7226683640071442;0.7258373437551338
External Fragmentation (Horizontal);4;all; ;0.6426229943374527;0.6403205488750002;0.6380829657670496;0.6404631209982784;0.6439849640355267;0.6408138315712214;0.6430702155892059;0.641559626533301;0.6395558337769391;0.6437049220411238
External Fragmentation (Horizontal);5;all; ;0.5901676343967106;0.5655371744656418;0.5880069090558157;0.5833268679235112;0.5734288028124486;0.5814581791657377;0.5862948658809013;0.5862561453311245;0.5858263725138211;0.588503142080607
External Fragmentation (Horizontal);6;all; ;0.533190884249108;0.5308594495070236;0.5483786145966846;0.5188531548235165;0.5450224882728575;0.5290013411047465;0.5356215259403565;0.5230391660634992;0.5337806976850954;0.5381223836716365

External Fragmentation Per Link;1;<5-4>; ;0.6467307322137813;0.6497156226462765;0.6515322342142766;0.6483878016272365;0.646979734707601;0.6465691984808757;0.6473112250483338;0.6487653675271456;0.6542737118007713;0.6487885522231814
External Fragmentation Per Link;1;<2-5>; ;0.6485902766176368;0.656457059094446;0.64838195704587;0.6511374161489749;0.6547153298744943;0.6506098643689452;0.6544055416270046;0.6458430908706456;0.6534326382475728;0.6512253359262742
External Fragmentation Per Link;1;<5-6>; ;0.6478420391188718;0.6477027181535487;0.6475092980978414;0.6500358876900248;0.6516987587955836;0.6506971705452989;0.6521277533841344;0.647088068568576;0.6553519394657331;0.6457544947823797
External Fragmentation Per Link;1;<6-1>; ;0.6581771859794128;0.658942314074735;0.6627498337800091;0.65960926162451;0.6553690723161981;0.6581078504864578;0.6594513435073235;0.6574570354948156;0.6637807420020188;0.6574292242145213
External Fragmentation Per Link;1;<1-6>; ;0.6527549388182372;0.6589519109245371;0.659624966437348;0.66299859384117;0.661897127002518;0.6566175573452543;0.6583964317097355;0.656910101715719;0.6640505007127744;0.6585402340053248
External Fragmentation Per Link;1;<2-3>; ;0.6433528602725328;0.6526264289896382;0.6560616523227796;0.6513798688649594;0.6542251227737894;0.6495165279902836;0.6501713649285326;0.6482750079000508;0.6518137944043213;0.6478964613808535
External Fragmentation Per Link;1;<5-2>; ;0.652587787393412;0.6498949753017856;0.6539584704961887;0.6544251842874578;0.6553694292823325;0.6513397713119058;0.6497954280708912;0.6485093302986669;0.6531895831952781;0.6478955159777824
External Fragmentation Per Link;1;<6-5>; ;0.6463856106502925;0.6518164913795261;0.6521521016761314;0.649320980278234;0.6464878216803522;0.6454049376115668;0.6504053855865479;0.6482368318643995;0.652669599557367;0.6489692430926337
External Fragmentation Per Link;1;<4-3>; ;0.655217742713666;0.6555197735191454;0.6619258777021765;0.6592184889577796;0.6606672201635679;0.6543364863011468;0.6594759803363148;0.6604665060329662;0.660561589187118;0.6563904249671001
External Fragmentation Per Link;1;<4-5>; ;0.6504589480565035;0.6452974662360185;0.6498914653006527;0.6478662231243043;0.6540095715643428;0.6490969846456105;0.6521032928169359;0.6463602645545201;0.6561598941664749;0.6420548524312863
External Fragmentation Per Link;1;<2-1>; ;0.6486253242372463;0.6488001636674922;0.6524619080577605;0.655316134654161;0.6558433765632272;0.6500117269868129;0.6515077895196484;0.6529690834054852;0.656524942289322;0.6481759740849723
External Fragmentation Per Link;1;<3-4>; ;0.6569996452624173;0.6544404201740504;0.6617475735396071;0.6587367960183794;0.6599388366497188;0.6586349465744659;0.6591828195868665;0.6526107376519457;0.6637898728523819;0.6571202651264161
External Fragmentation Per Link;1;<1-2>; ;0.6420448952211313;0.6518479186579224;0.6566023590803641;0.6529287616773183;0.6551805836174596;0.6484290257357069;0.6509885986938914;0.6485676358021355;0.6526389720266846;0.6497569893320799
External Fragmentation Per Link;1;<3-2>; ;0.6467258654173209;0.6491208761652574;0.6517522378329978;0.6548751648862158;0.6556482361191421;0.6484647023712328;0.6525319957955354;0.6542697600316804;0.6551505401952719;0.6492429132117181
External Fragmentation Per Link;2;<5-4>; ;0.7197521211138939;0.7005864791611767;0.697005623449172;0.6989261127993339;0.7240500712133165;0.7079259928221543;0.7104707269604809;0.6986805205947588;0.6979986024684908;0.6997687617208492
External Fragmentation Per Link;2;<2-5>; ;0.7204411221338817;0.7127499706482041;0.7116916543060692;0.7213262342907379;0.7185194562610346;0.7258641252926794;0.7250973537975358;0.702411894458184;0.7189035325702234;0.7069459056302287
External Fragmentation Per Link;2;<5-6>; ;0.6963923244412787;0.7171116592800795;0.7049281657153242;0.6999373806657785;0.7039672842327931;0.7034713214183197;0.7079400354176916;0.6926868937810455;0.7125019189164227;0.6996851741237303
External Fragmentation Per Link;2;<6-1>; ;0.7339588824957571;0.7344996239528473;0.7258137767381653;0.7401880510589272;0.7343461028839269;0.7288400627964714;0.7374002222667381;0.7319471693814539;0.7324926492537068;0.7405451573755638
External Fragmentation Per Link;2;<1-6>; ;0.7438682195437143;0.7350764942724675;0.7327427163224096;0.7335272953078519;0.7326772377665745;0.7442468741587748;0.7449942676983393;0.7316363941885635;0.7374255164465742;0.7289071597728144
External Fragmentation Per Link;2;<2-3>; ;0.7134729815481995;0.707950692924717;0.691564453540033;0.7099471024189813;0.7187790253798543;0.706557911635839;0.7068842832753057;0.7092075602598823;0.6934383555133228;0.7094862554141582
External Fragmentation Per Link;2;<5-2>; ;0.7188619054226005;0.7183691901922671;0.7010752809214198;0.7193026014471833;0.7202092232226385;0.731793812990271;0.719294303395917;0.7129550859348041;0.7102130308816266;0.7233151047710443
External Fragmentation Per Link;2;<6-5>; ;0.7189605794829744;0.700486697568255;0.6983016150045767;0.7031187217687143;0.7160628335770682;0.7040594944020114;0.7098287681674789;0.7000472873442241;0.6969204418688394;0.702771630544507
External Fragmentation Per Link;2;<4-3>; ;0.7274241058544044;0.737909807665402;0.7318673907639952;0.7346719340424377;0.734292069050403;0.7398221926895581;0.7287693637132076;0.7342898890646218;0.742344746332766;0.7214178107243523
External Fragmentation Per Link;2;<4-5>; ;0.6913890276875773;0.7155336468117406;0.7005327221792054;0.6994450001832149;0.7021324050928646;0.7138607780219502;0.703862501434;0.6988521718174104;0.7075811361319083;0.7020784566323868
External Fragmentation Per Link;2;<2-1>; ;0.6967344049593632;0.7193216404500207;0.7075083047446;0.7052244393646807;0.7141591240497898;0.7120845302010553;0.7083011374371978;0.7066113050429975;0.7053048333848146;0.6991727876228839
External Fragmentation Per Link;2;<3-4>; ;0.7380876769431408;0.7348354463442118;0.7247832567319442;0.7301406264673367;0.7342414144848824;0.7262803800896432;0.7398343991556178;0.7342312032366194;0.7334727318166394;0.7405872979577431
External Fragmentation Per Link;2;<1-2>; ;0.712627533525477;0.7080837576397901;0.6932909144761706;0.7078030778483828;0.7169417970424572;0.7012749444920091;0.7033661306575124;0.7065817386228959;0.6920655893528512;0.7016566888068215
External Fragmentation Per Link;2;<3-2>; ;0.6966668791571945;0.714931848363375;0.7077084754662124;0.7022113235306079;0.711763631934446;0.7091931939613667;0.7127965699801792;0.6980319013665722;0.7070979536042942;0.698188481074772
External Fragmentation Per Link;3;<5-4>; ;0.7928646849298036;0.7771572196124682;0.7866872134821554;0.7880208890114262;0.7845392538744459;0.7872367950119686;0.7934257793417087;0.7885403289160103;0.7907188506834396;0.8011603421212281
External Fragmentation Per Link;3;<2-5>; ;0.795579278281445;0.7949362835271969;0.7942157198774814;0.8033486348411611;0.7872343221198863;0.7968863566801793;0.7885145231910999;0.8028682599618553;0.7977465352230079;0.8085325018143475
External Fragmentation Per Link;3;<5-6>; ;0.782550503574125;0.7800496738364718;0.7825332257145031;0.7709561080437831;0.7787687630712391;0.7827006385327255;0.7924537644946548;0.7815226138506655;0.7860592864300014;0.7834438275837177
External Fragmentation Per Link;3;<6-1>; ;0.8199711672060297;0.8128587542437342;0.8196136631789639;0.8087611776321423;0.8152935792305827;0.8212943265336818;0.8160278097688474;0.8192922032431185;0.8085332916045356;0.8138912008600033
External Fragmentation Per Link;3;<1-6>; ;0.8158033974401026;0.8168354726766153;0.8112830719203309;0.8138639748076226;0.8079356653564682;0.8099707913224915;0.8075782597185719;0.8150056966337894;0.8034811117397752;0.8225017674488603
External Fragmentation Per Link;3;<2-3>; ;0.7840976811657248;0.7879402689214212;0.7901081622045674;0.7959372180009981;0.7903385056644452;0.7818337048661368;0.7799223637890774;0.790605925826484;0.7821414212698391;0.7955722045590746
External Fragmentation Per Link;3;<5-2>; ;0.7962854693313371;0.8095446805422145;0.8078119380319035;0.802147960448992;0.799949691075915;0.7903013489623133;0.8051044166991781;0.8004150578522491;0.7843256751063978;0.8123464751857111
External Fragmentation Per Link;3;<6-5>; ;0.7757868928410212;0.7836482756801554;0.7997543564387363;0.7858280941677622;0.7852961855704664;0.7863061185369662;0.7904788194578201;0.7856309389594963;0.7748104383609496;0.7962463151650628
External Fragmentation Per Link;3;<4-3>; ;0.812616020002966;0.808453690659445;0.8172356986736192;0.8186718921479468;0.8181781165857431;0.7993387198343688;0.8115933089664708;0.819983451135565;0.8078981699533699;0.819993665096241
External Fragmentation Per Link;3;<4-5>; ;0.7857071645351845;0.7795419299994238;0.7906802253160855;0.7780789078496467;0.7893451619435258;0.781092303023428;0.7916666388758161;0.7829899002562808;0.7762277004615554;0.7814617004221516
External Fragmentation Per Link;3;<2-1>; ;0.7813628860710974;0.7884241657817985;0.7753510895739432;0.7827013047338449;0.7845841865024561;0.7825641871875276;0.7841724328481646;0.7848926396348365;0.7886140205630797;0.7853266763407576
External Fragmentation Per Link;3;<3-4>; ;0.8195563679385623;0.8165547869990347;0.8196736819596727;0.8169105237775973;0.8176918197636193;0.8214341011054054;0.8114008252424568;0.8211316542635718;0.8215120608096846;0.8182385671739294
External Fragmentation Per Link;3;<1-2>; ;0.794763689016787;0.7850774657909095;0.7958012834502166;0.7862675306802096;0.7865681110694056;0.7865344964632409;0.7831757644341616;0.7874518630820666;0.7764375901388237;0.7938676943721816
External Fragmentation Per Link;3;<3-2>; ;0.7887134538759499;0.7827997958656737;0.7770048304999054;0.7863528006957502;0.7831300053572019;0.7768393128579529;0.7844530818758538;0.7839273023953466;0.7876370467861569;0.7897926937853116
External Fragmentation Per Link;4;<5-4>; ;0.7882341847125063;0.7875903697426004;0.7957631002874815;0.7942897022627989;0.7905514869754678;0.7773595640891307;0.7930067146091878;0.7915925827260495;0.7960822082368352;0.7795570094854684
External Fragmentation Per Link;4;<2-5>; ;0.8255210087728614;0.8371144622415359;0.8320196122397656;0.8272830938072397;0.8288559476769894;0.8316450327941133;0.8345612058930051;0.8312945726513671;0.8292887618776724;0.8288024927114856
External Fragmentation Per Link;4;<5-6>; ;0.7983034446510147;0.7870976836238085;0.7889707974937501;0.7956391843196244;0.7852608694650208;0.7850413026535226;0.7923864172024838;0.7830004913476849;0.7946812155880408;0.8025691791987816
External Fragmentation Per Link;4;<6-1>; ;0.8339508009718993;0.8345121071825315;0.8360969693261433;0.8384569740375923;0.8287554140323645;0.8320119854952117;0.8310933036190042;0.839550454389571;0.8250032616097662;0.8323751475131154
External Fragmentation Per Link;4;<1-6>; ;0.8288949009260123;0.8407410711784173;0.8283116481979678;0.8357092172228976;0.8287022719839984;0.833894930576692;0.8275280802069431;0.8286040224858978;0.8356201341166525;0.8200550434959331
External Fragmentation Per Link;4;<2-3>; ;0.7786294260067327;0.7862343056210709;0.7729945696770527;0.7751984559707271;0.7830956360761562;0.773402031425199;0.7934136854937337;0.7800394050840109;0.7802019253087996;0.7848959213418619
External Fragmentation Per Link;4;<5-2>; ;0.8152976324352482;0.8231013193425533;0.8300973780558428;0.8316103473628712;0.8300562489456476;0.8282585172259321;0.8325800340603686;0.8315822759080846;0.8324108795278271;0.823479943952821
External Fragmentation Per Link;4;<6-5>; ;0.7946984598536905;0.7852499264873206;0.7916711319563497;0.7887399567311422;0.7926386682269778;0.7929113157755848;0.7897270265958044;0.7914746617962818;0.795595547266998;0.8005134741331886
External Fragmentation Per Link;4;<4-3>; ;0.8295627224600454;0.8323091853803126;0.8260409662639787;0.8306568754192186;0.83651370930246;0.8269411642482197;0.8305721978918161;0.8319697974700213;0.8294139937008065;0.8311643656898194
External Fragmentation Per Link;4;<4-5>; ;0.7907001453601845;0.7854999678300046;0.790699953427332;0.7921954287296964;0.7811401739026843;0.7894616501641807;0.7966030381872609;0.7920035857255991;0.7744093849417218;0.7792014103532745
External Fragmentation Per Link;4;<2-1>; ;0.7866799977013738;0.7869672021819366;0.7918822775331519;0.7901646328318619;0.7850561925228692;0.7799502430996031;0.7926136859049335;0.7694053815258622;0.7903367294599164;0.7868157939977088
External Fragmentation Per Link;4;<3-4>; ;0.8266674282584596;0.8304303131238291;0.8272058065222245;0.8363693354001258;0.8367751423015971;0.8317243311972875;0.8444279539581571;0.8302992461048567;0.8317561099782673;0.829038848446354
External Fragmentation Per Link;4;<1-2>; ;0.7774951554717229;0.7869729372912151;0.7762852698506678;0.7788242087386513;0.7889000981859166;0.791065363516461;0.7830276352493737;0.7900684950483096;0.7822162360889017;0.788645978148812
External Fragmentation Per Link;4;<3-2>; ;0.7825112145651488;0.7646630810203288;0.7843051305998999;0.7849662096718331;0.7836182453628857;0.7803359053939812;0.772294499665689;0.7878333314421733;0.7754307568387422;0.7776409214210848
External Fragmentation Per Link;5;<5-4>; ;0.7819630117783223;0.776124283067515;0.7828568472277857;0.7778818429535583;0.7870486861624799;0.7732731890213543;0.7768458240140514;0.7747710557491853;0.7720385086451466;0.7774082632292604
External Fragmentation Per Link;5;<2-5>; ;0.8222390881618382;0.8212410229797815;0.8122922851820067;0.8198683518784564;0.8202470257331289;0.8165033829455651;0.8187128232074247;0.816548166723657;0.8244983387272339;0.8186422222979276
External Fragmentation Per Link;5;<5-6>; ;0.7803148521875647;0.7699747210182567;0.772593515079032;0.773870434434401;0.769741884913233;0.7783256500739837;0.7765810915426717;0.7732139290039763;0.7827889143878994;0.7760478184072189
External Fragmentation Per Link;5;<6-1>; ;0.8357970450933043;0.8217977540161159;0.8328060144935087;0.8274547058901818;0.8268271032316288;0.8293645960748423;0.817437718890698;0.8344309698745198;0.821962135806029;0.8289505294569746
External Fragmentation Per Link;5;<1-6>; ;0.8206473220177333;0.824430896420788;0.8348117104962937;0.8256596469221591;0.8263378946943702;0.8196992637037922;0.8273683802467034;0.8299882115217644;0.8106245232963624;0.8265330542819623
External Fragmentation Per Link;5;<2-3>; ;0.7650784976373955;0.7586936046952614;0.7534128806811533;0.7611284201542104;0.7523384913111271;0.7637981969891926;0.759896322580495;0.7629724332405521;0.7591677611554121;0.7697452075698261
External Fragmentation Per Link;5;<5-2>; ;0.8240348216455137;0.8171986631684327;0.8173779231228676;0.8196533205950135;0.8206191933219372;0.8244199873978045;0.8182839108402824;0.8102536509972486;0.8061468897940931;0.8230489119761923
External Fragmentation Per Link;5;<6-5>; ;0.7749836473440296;0.7629239716791517;0.77773913951596;0.7687064184100377;0.7762777072733791;0.7717019168866242;0.7800542807471048;0.7616462175509418;0.7723841133941077;0.7785916320054064
External Fragmentation Per Link;5;<4-3>; ;0.8143496372287027;0.8317947905431234;0.8232342907297836;0.8255062213942397;0.8207320215279151;0.8267295501053528;0.8225700643227454;0.8266289300995725;0.8340287031829503;0.8312825205478164
External Fragmentation Per Link;5;<4-5>; ;0.7755879608897809;0.7648153344973297;0.7733463644319711;0.7603780635929172;0.7666196936908892;0.765732302373236;0.7749406139566886;0.7773405050423372;0.7797550771943472;0.7754012101877064
External Fragmentation Per Link;5;<2-1>; ;0.7606509510022296;0.7631552369539953;0.7604751874976348;0.7522081346929074;0.7459943093720783;0.7637215581139652;0.7652878938170907;0.7572333202359782;0.7621299327429372;0.7705927327937696
External Fragmentation Per Link;5;<3-4>; ;0.8172391800343428;0.8244857734387901;0.8265614195308801;0.8307507443713876;0.8220970581291853;0.8202482045418213;0.8236787751422072;0.8215405514214227;0.8219265197946086;0.8218750415419853
External Fragmentation Per Link;5;<1-2>; ;0.743381866102056;0.7540056904471671;0.7692901630741709;0.7614899418291814;0.7622227799909972;0.744994099931316;0.7599528558210287;0.7672209600493161;0.7725803204287783;0.7628318981178864
External Fragmentation Per Link;5;<3-2>; ;0.7584447940552882;0.7520170841629092;0.7503770818257116;0.7640485542411072;0.763552404349696;0.7526056161024235;0.7717747098991149;0.7640918549493474;0.7575218870658686;0.7630315543244063
External Fragmentation Per Link;6;<5-4>; ;0.753400751756142;0.7586263067964314;0.7678537781471192;0.752679074209504;0.7503699834391815;0.7468183981040943;0.744993165014846;0.7470444734159726;0.747530490549915;0.753778902525912
External Fragmentation Per Link;6;<2-5>; ;0.7966194913393169;0.7944542727935233;0.8090868701554245;0.7908632831825148;0.7962499150029643;0.8048787072323971;0.8087734584564726;0.7952652118524889;0.7964874561682084;0.8086599951651507
