Metrics;LoadPoint;link;spectrum size (c); ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Relative Fragmentation per spectrum size (c);1;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);1;all;2; ;0.026915219710154367;0.027039972404593635;0.027035476837117926;0.02715630423432391;0.026896180410864244;0.027179570935884058;0.027168570920562306;0.02701878414128193;0.027186059420519586;0.02708847691965317
Relative Fragmentation per spectrum size (c);1;all;3; ;0.048251801426849254;0.04913142041869573;0.04876178308485358;0.04917959251674389;0.04886356215347019;0.04882354209137813;0.04932440395049381;0.04872130298949732;0.04913347356421368;0.04916569233208949
Relative Fragmentation per spectrum size (c);1;all;5; ;0.07266933819972957;0.07322384079189286;0.07275636215994956;0.07370597118456262;0.07292831821932623;0.073231029843199;0.07372878424056352;0.07280084696266272;0.07295861371026724;0.07391182049762786
Relative Fragmentation per spectrum size (c);2;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);2;all;2; ;0.06547419057760114;0.06367043859390385;0.06433684011830026;0.06360424482217393;0.06426746304799627;0.06489845033636711;0.0650825910605732;0.06423963038609098;0.06441439223311649;0.06620145890012881
Relative Fragmentation per spectrum size (c);2;all;3; ;0.11693934077352293;0.11479553756994298;0.11342713316932988;0.11392601143034754;0.11409677626441794;0.11567088569794048;0.11756729301520198;0.11380023518514872;0.11446766889204497;0.11576087246255248
Relative Fragmentation per spectrum size (c);2;all;5; ;0.1717958260376759;0.16712816194230834;0.16763089872331097;0.16633040690440543;0.16757669904927086;0.16913135430063075;0.17022174761909517;0.16871545060471863;0.16798768558266125;0.17070648069853944
Relative Fragmentation per spectrum size (c);3;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);3;all;2; ;0.17342466025997333;0.16692155919789775;0.17217721234858352;0.17114504317143558;0.17104288597224487;0.16801879447127704;0.17485351402767446;0.17715014105595925;0.16767265950875562;0.17195054728431694
Relative Fragmentation per spectrum size (c);3;all;3; ;0.3035084476183642;0.2977286628492836;0.3038631025960348;0.2997391414009805;0.30507368352209885;0.2974549780178073;0.30917711103367623;0.30990885693209685;0.29100518445784324;0.2982679128815799
Relative Fragmentation per spectrum size (c);3;all;5; ;0.43455600656208954;0.4231845145515328;0.4340228920953593;0.4273097890417232;0.4327623733176015;0.4205844959306482;0.43446713108447477;0.443489209678531;0.42003612057248846;0.43286717846272427
Relative Fragmentation per spectrum size (c);4;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);4;all;2; ;0.28380148301046915;0.2911614472753598;0.2904036859881204;0.28349542090891433;0.2863776027999731;0.29372541361204585;0.2889873866058992;0.2917689224658725;0.2925401824825399;0.2901210565375399
Relative Fragmentation per spectrum size (c);4;all;3; ;0.4500252172783817;0.4663566785767098;0.4610315013190418;0.4558918153013219;0.4560240431319392;0.458304703968255;0.46453349361731333;0.47081071001723446;0.4564865272862407;0.46007680653553773
Relative Fragmentation per spectrum size (c);4;all;5; ;0.6246598823149156;0.6336643509973798;0.6342154565935606;0.6354597911892177;0.6335125759123266;0.6410677412755845;0.632595205990743;0.6418040365059342;0.6413408757194861;0.6352560054318467
Relative Fragmentation per spectrum size (c);5;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);5;all;2; ;0.35413375252089163;0.35852624139444866;0.3530929411160104;0.3558557228841546;0.3609515677060196;0.35098090949516225;0.3583813937301048;0.3551167188616897;0.3517231642088477;0.34938537495483146
Relative Fragmentation per spectrum size (c);5;all;3; ;0.5370170673189398;0.5420089867132797;0.5413971884939144;0.5427893098968338;0.5398525956171453;0.5371945563467939;0.5476861672190637;0.5441724136141445;0.5454904244001488;0.5422356901804783
Relative Fragmentation per spectrum size (c);5;all;5; ;0.7135413117226962;0.7078092101940059;0.7166782783718149;0.7103655825380296;0.7092096793508438;0.713381058254054;0.719052891396957;0.7186863880062;0.7160367864519454;0.7142067552811526
Relative Fragmentation per spectrum size (c);6;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);6;all;2; ;0.40270769410328866;0.40370756827406507;0.4011860135891957;0.4062553048709433;0.40647957813645985;0.40167016467601907;0.4012905393063832;0.4064404986810218;0.4063714562870896;0.4034973742407682
Relative Fragmentation per spectrum size (c);6;all;3; ;0.5973359002889879;0.6071412952395269;0.5972070042748445;0.5953889106759885;0.5955326596282914;0.5990536867921368;0.6043106415782856;0.6031740776329718;0.6061960737393207;0.6008927776431937
Relative Fragmentation per spectrum size (c);6;all;5; ;0.7628844889780175;0.7519987611144836;0.7674213910277488;0.7495261729642347;0.7638420591341948;0.7492347137054987;0.7544749947199552;0.7557780355582518;0.7602711284284789;0.7583551793889162

