Metrics;LoadPoint;Bandwidth;src;dest; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
blocking probability;1;all;all;all; ;0.006359650219237942;0.007504587247701377;0.007814570198639076;0.007884566348850814;0.007789571573563454;0.007149606771627561;0.007734574598397088;0.008254545999970001;0.008054556999365034;0.008539530325832078
blocking probability;2;all;all;all; ;0.04388258645774482;0.04550749708766018;0.04448755318457485;0.044757538335391554;0.04258765767882766;0.04423256720880352;0.04482753448560329;0.04356260405677688;0.04505252211128388;0.04355260460674663
blocking probability;3;all;all;all; ;0.08975006374649394;0.0889751063691497;0.0917499537525436;0.0921199334036628;0.09068501232432216;0.09282489463079531;0.08934008629525376;0.08959007254600997;0.09021003844788536;0.09041002744849033
blocking probability;4;all;all;all; ;0.13586752728599927;0.13414262215578143;0.1324977126258056;0.1303928283944383;0.13187774672393018;0.13285769282689452;0.13075280859552724;0.13474758888261146;0.13516256605886676;0.13400762958037307


blocking probabilities per pair;1;all;2;1; ;0.006233875744099903;0.007511082333017881;0.008193933087882183;0.008107973006748313;0.008032408329020186;0.006978164452409319;0.007276289092562793;0.008657143142762887;0.008795926517571885;0.008148813085976462
blocking probabilities per pair;1;all;1;2; ;0.006484451262027611;0.007498042679621786;0.007435612988336881;0.007661072550157022;0.0075444782656741306;0.007320629594119527;0.00819327731092437;0.007851727380023606;0.007310893230914062;0.008932241280789165
blocking probabilities per pair;2;all;2;1; ;0.04522055516128065;0.045486291255936465;0.04267490992302057;0.045733196439429434;0.042503447035549424;0.04388520175781054;0.04495805444443336;0.04412410215482841;0.04698268532503776;0.045791326372892176
blocking probabilities per pair;2;all;1;2; ;0.04254361395646607;0.0455287974905545;0.04628688704246119;0.04377570468452202;0.04267200400300225;0.04457917973510198;0.04469637737816002;0.042998466488258114;0.04312361302704972;0.0413015140880377
blocking probabilities per pair;3;all;2;1; ;0.08952369509276782;0.08787080357053408;0.09155981513599133;0.0922773106729302;0.08851897479042097;0.09204146714518499;0.08900826776370971;0.09057971014492754;0.09081445744542424;0.09098728758464109
blocking probabilities per pair;3;all;1;2; ;0.08997583334997704;0.09007525400722598;0.09193911950689194;0.09196174359385652;0.09284402204296781;0.09360872174434887;0.08967285180697555;0.08859681636496598;0.08960680891872452;0.08983305008497451
blocking probabilities per pair;4;all;2;1; ;0.13788698377213118;0.1318563283006746;0.13388611388611388;0.12745734931089278;0.13350808912545398;0.1319989180416554;0.13311148086522462;0.1365819491695017;0.13641502826554605;0.1327220561385205
blocking probabilities per pair;4;all;1;2; ;0.13384028132607978;0.1364111758553713;0.13110668494960515;0.13333133241290993;0.13024924546780997;0.13371327052060045;0.12837702219902855;0.13291562990276903;0.13391161833190093;0.13528491263742287


blocking probabilities per bandwidth;1;320.0Gbps;all;all; ;0.03781802889669881;0.04461492178098676;0.04684711931044912;0.046561412898046564;0.04645851489016438;0.041840251760827216;0.04594001022894792;0.04882426853347693;0.04768612876153938;0.05036292241789624
blocking probabilities per bandwidth;1;160.0Gbps;all;all; ;3.9061326282263155E-4;5.121098927581637E-4;3.569410154971891E-4;3.301518698601357E-4;3.3100625902744344E-4;8.180330848936557E-4;5.410767427180089E-4;5.39487486887457E-4;5.672827157913594E-4;4.5124996239583645E-4
blocking probabilities per bandwidth;1;40.0Gbps;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per bandwidth;1;80.0Gbps;all;all; ;0.0;3.0050785828049403E-5;2.9798265740933878E-5;0.0;2.9952674773857304E-5;2.0912377139784303E-4;6.0114217012323416E-5;2.995357196345664E-5;2.993295019157088E-5;0.0
blocking probabilities per bandwidth;1;20.0Gbps;all;all; ;0.0;0.0;3.011866755014758E-5;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per bandwidth;1;10.0Gbps;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
