Metrics;load point;link;number of slots;slot; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Requisitons per number of slots;1;all;0;-; ;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Requisitons per number of slots;2;all;0;-; ;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Requisitons per number of slots;3;all;0;-; ;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0


Requisitons per number of slots per link;1;<1-2>;0;-; ;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Requisitons per number of slots per link;1;<2-1>;0;-; ;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Requisitons per number of slots per link;2;<1-2>;0;-; ;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Requisitons per number of slots per link;2;<2-1>;0;-; ;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Requisitons per number of slots per link;3;<1-2>;0;-; ;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Requisitons per number of slots per link;3;<2-1>;0;-; ;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0


