Metrics;load point;node; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Tx Utilization ;1;all; ;300.7216034075911;301.53765548134226;301.45294564652244;299.6764988201416;302.3966823981122;300.8175918889733;299.44759628844537;301.38409390873096;302.7585289765228;300.5145082590089
Tx Utilization ;2;all; ;360.17849858017036;360.44208694956603;360.8940427148742;362.2127444706635;360.0543134823821;362.6080970283566;363.0099788025437;361.46830380354356;361.12713474383077;361.0364356277247
Tx Utilization ;3;all; ;421.4170499540055;419.697086349638;418.4375574931008;420.24892012958446;420.0112086549614;422.0259868815742;421.401251849778;419.1996360436748;421.0786505619326;424.3332900051994


Rx Utilization ;1;all; ;300.7216034075911;301.53765548134226;301.45294564652244;299.6764988201416;302.3966823981122;300.8175918889733;299.44759628844537;301.38409390873096;302.7585289765228;300.5145082590089
Rx Utilization ;2;all; ;360.17849858017036;360.44208694956603;360.8940427148742;362.2127444706635;360.0543134823821;362.6080970283566;363.0099788025437;361.46830380354356;361.12713474383077;361.0364356277247
Rx Utilization ;3;all; ;421.4170499540055;419.697086349638;418.4375574931008;420.24892012958446;420.0112086549614;422.0259868815742;421.401251849778;419.1996360436748;421.0786505619326;424.3332900051994


Tx Utilization Per Node;1;1; ;150.2024657041155;152.79391473023236;151.81003279606446;148.91124065112186;150.6108267007959;151.13784345878494;149.4626744790625;150.62864456265248;151.8119525656921;149.60945686517618
Tx Utilization Per Node;1;2; ;150.5191377034756;148.74374075110987;149.64291285045795;150.76525816901972;151.78585569731632;149.67974843018837;149.98492180938288;150.75544934607848;150.9465764108307;150.90505139383274
Tx Utilization Per Node;2;1; ;179.98991121065472;179.33764948206215;179.57772067351917;180.87408510978682;179.19510658720952;182.14708235011798;180.2650481942167;181.84894812622485;180.14014318281806;179.54775426948765
Tx Utilization Per Node;2;2; ;180.18858736951566;181.1044374675039;181.31632204135505;181.3386593608767;180.85920689517258;180.4610146782386;182.744930608327;179.6193556773187;180.98699156101267;181.48868135823702
Tx Utilization Per Node;3;1; ;211.43034835819702;209.9108906931168;207.78964524257088;209.4919309682838;210.81506219253689;209.4598748150222;211.57069151701796;209.32309122905252;211.188057433108;212.70593528776547
Tx Utilization Per Node;3;2; ;209.9867015958085;209.78619565652122;210.64791225052994;210.75698916130065;209.1961464624245;212.56611206655202;209.83056033276006;209.87654481462224;209.89059312882455;211.62735471743392


Rx Utilization Per Node;1;1; ;150.2024657041155;152.79391473023236;151.81003279606446;148.91124065112186;150.6108267007959;151.13784345878494;149.4626744790625;150.62864456265248;151.8119525656921;149.60945686517618
Rx Utilization Per Node;1;2; ;150.5191377034756;148.74374075110987;149.64291285045795;150.76525816901972;151.78585569731632;149.67974843018837;149.98492180938288;150.75544934607848;150.9465764108307;150.90505139383274
Rx Utilization Per Node;2;1; ;179.98991121065472;179.33764948206215;179.57772067351917;180.87408510978682;179.19510658720952;182.14708235011798;180.2650481942167;181.84894812622485;180.14014318281806;179.54775426948765
Rx Utilization Per Node;2;2; ;180.18858736951566;181.1044374675039;181.31632204135505;181.3386593608767;180.85920689517258;180.4610146782386;182.744930608327;179.6193556773187;180.98699156101267;181.48868135823702
Rx Utilization Per Node;3;1; ;211.43034835819702;209.9108906931168;207.78964524257088;209.4919309682838;210.81506219253689;209.4598748150222;211.57069151701796;209.32309122905252;211.188057433108;212.70593528776547
Rx Utilization Per Node;3;2; ;209.9867015958085;209.78619565652122;210.64791225052994;210.75698916130065;209.1961464624245;212.56611206655202;209.83056033276006;209.87654481462224;209.89059312882455;211.62735471743392


Max Tx Utilization Per Node;1;1; ;190;195;199;192;196;198;193;191;200;195
Max Tx Utilization Per Node;1;2; ;191;198;193;193;207;195;194;191;188;192
Max Tx Utilization Per Node;2;1; ;225;223;234;224;219;231;229;232;228;228
Max Tx Utilization Per Node;2;2; ;242;228;239;227;239;227;226;224;230;224
Max Tx Utilization Per Node;3;1; ;261;274;258;256;274;267;265;262;262;269
Max Tx Utilization Per Node;3;2; ;257;258;267;250;260;281;260;263;263;271


Max Rx Utilization Per Node;1;1; ;191;198;193;193;207;195;194;191;188;192
Max Rx Utilization Per Node;1;2; ;190;195;199;192;196;198;193;191;200;195
Max Rx Utilization Per Node;2;1; ;242;228;239;227;239;227;226;224;230;224
Max Rx Utilization Per Node;2;2; ;225;223;234;224;219;231;229;232;228;228
Max Rx Utilization Per Node;3;1; ;257;258;267;250;260;281;260;263;263;271
Max Rx Utilization Per Node;3;2; ;261;274;258;256;274;267;265;262;262;269
