Metrics;LoadPoint;Bandwidth;src;dest; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
bandwidth blocking probability;1;all;all;all; ;0.013619015870255052;0.01276499230079894;0.013450690013924552;0.013159245033143798;0.013660950449152595;0.013386935450728539;0.013273239230637944;0.013995699346190424;0.013107848126395302;0.012580332897309053
bandwidth blocking probability;2;all;all;all; ;0.02206725896677323;0.022243020413055932;0.021065801600136266;0.023199836134584022;0.022063658838681565;0.02106218910952724;0.02226488593859439;0.022400087112291914;0.021314379079572076;0.021496267766041022
bandwidth blocking probability;3;all;all;all; ;0.03347591325500969;0.03088907150145118;0.033217591551183596;0.03206155115347213;0.032704752500579665;0.03393038726969903;0.03262440713092016;0.03377014317951895;0.03344056928935974;0.032817151631003544
bandwidth blocking probability;4;all;all;all; ;0.0468942056834485;0.04617704265011106;0.04598964289370677;0.04423282635690409;0.046898122855166036;0.04728570426225444;0.04489873847307663;0.04452967550697427;0.04492940089982627;0.044898603527272804
bandwidth blocking probability;5;all;all;all; ;0.060294971364064344;0.060393268423045376;0.059553506595578;0.06217933093349163;0.06271789386010825;0.059317565125229225;0.05898618018299568;0.058007682337169186;0.06167771681392501;0.059383737486623574
bandwidth blocking probability;6;all;all;all; ;0.07275901178382917;0.07857894705932604;0.07502004188193431;0.07569781704158242;0.07505397663440652;0.07705771950191025;0.07780656104110587;0.07390404873897968;0.07870004642999866;0.07596475316942145
bandwidth blocking probability;7;all;all;all; ;0.09430058104719759;0.09344193918962147;0.09234312622186332;0.09468988628732478;0.09303991186340274;0.09030128214070139;0.09594426301775275;0.09282596398425677;0.09167709347871708;0.09326106944096782
bandwidth blocking probability;8;all;all;all; ;0.10978429499631386;0.11051587583937893;0.11415703387334193;0.10812139267011406;0.10973752043594462;0.11082542399350268;0.11021121298606193;0.11017937247186115;0.11004810663673811;0.10889843187189947
bandwidth blocking probability;9;all;all;all; ;0.12395284656899405;0.12849337684782364;0.12944406319527035;0.12581206102566408;0.12740708595265432;0.12677126257286978;0.12484356574467585;0.12465374844761622;0.12832840140324114;0.1271671929419505
bandwidth blocking probability;10;all;all;all; ;0.14478333777584568;0.1434477631380826;0.14378359633622073;0.14345030001167094;0.14246079375942747;0.14407689729104312;0.1431464576686988;0.14440830008970945;0.14232672262177365;0.14065484838806874


bandwidth blocking probabilities per pair;1;all;5;3; ;0.0433954523559217;0.0358650863221707;0.041752942693281093;0.03177740442284833;0.03893424795288033;0.05036763691044945;0.03249785430457088;0.04346668541293228;0.05413603955710806;0.03394449702421717
bandwidth blocking probabilities per pair;1;all;9;11; ;0.05240560161431994;0.06692252592016673;0.03650282934017961;0.06732641721055738;0.02930615290724382;0.06040869354378297;0.05561217737667848;0.04420877239382643;0.039679311930388435;0.06102002035383581
bandwidth blocking probabilities per pair;1;all;2;11; ;0.011087776595395542;0.01915245112029647;0.014416487435145339;0.005693441671357155;0.0034967815428091943;0.016230743318377188;0.003422815773777794;0.006109179309232593;3.9796601369084124E-4;7.84038088297936E-4
