Metrics;LoadPoint;link; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
External Fragmentation (Vertical);1;all; ;0.5266492353052393;0.5240967093192133;0.524696103995458;0.5216280620952682;0.5237790010011113;0.5266967450920845;0.5258989126544225;0.5256373368873843;0.5266935274180223;0.5236760153501244
External Fragmentation (Vertical);2;all; ;0.5398327725211183;0.5434665758766954;0.5402619546023417;0.543010200938149;0.5415790022627957;0.5411407041103466;0.5401967281722114;0.5386337911136614;0.5393096358412429;0.5419000054452663
External Fragmentation (Vertical);3;all; ;0.5526516369477005;0.5518611426158364;0.5530507414788717;0.553667653276958;0.5560293862151985;0.5550213539177326;0.5518949934691482;0.5533739648509408;0.5534174199767865;0.5557957823840028
External Fragmentation (Vertical);4;all; ;0.5638315124185123;0.5642504706733854;0.5650148150433253;0.5666081920325083;0.5619440789340426;0.5644313057353296;0.5650051313423271;0.5634103968631742;0.5642609881477179;0.5649726058511095
External Fragmentation (Vertical);5;all; ;0.5744407678234267;0.5750910643571464;0.5745312671889709;0.5756866160366252;0.5759671297901985;0.5748686019575778;0.5739402344513667;0.5759655650740503;0.5762194804879476;0.5740602178234538
External Fragmentation (Vertical);6;all; ;0.5828980264140252;0.582559235519475;0.5826803742220419;0.5812169193568283;0.5840969417320767;0.5830097210333198;0.5849906763527425;0.583585104797291;0.5850201350813673;0.5817497892157845
External Fragmentation (Vertical);7;all; ;0.5907946174392611;0.5902819245848603;0.5902385388729962;0.5912146283186998;0.5876917703261565;0.5895483463911265;0.5928421957777691;0.5921263767937286;0.5914457392812705;0.5891789510265834
External Fragmentation (Vertical);8;all; ;0.5955029517227064;0.5978536664010257;0.5963021236856632;0.5961269839804149;0.5956293930869951;0.5984105362544762;0.5977266591853468;0.5972077314353885;0.5957537412118163;0.5968582931320059
External Fragmentation (Vertical);9;all; ;0.5994245620764675;0.601379475690124;0.6010193244701848;0.6017307273166256;0.6007149914391317;0.6000898238601392;0.5983350155903422;0.5989980010455564;0.6002681343893174;0.6003730929447485
External Fragmentation (Vertical);10;all; ;0.6053073823249182;0.6044432879857694;0.6041462937113746;0.6042189637457589;0.6036011819837304;0.6032878912284072;0.6035717036479781;0.6042185606864143;0.6042804760107814;0.6035067034516557

External Fragmentation (Horizontal);1;all; ;0.5279526892487938;0.5271448197918088;0.5252144436718343;0.5211432205059722;0.5244289501564482;0.5302302499450396;0.5272042093702106;0.5259046976431884;0.5277675467615998;0.5231744956047167
External Fragmentation (Horizontal);2;all; ;0.5354187867668794;0.537648872794042;0.5358423722184561;0.5377063658515935;0.5379735667539745;0.5372182614294309;0.5368546682702311;0.5342588726652707;0.5366283116700705;0.5378859563110249
External Fragmentation (Horizontal);3;all; ;0.5413759030779444;0.5418110919351694;0.5426233621358377;0.5425936204189689;0.5470509059466224;0.5452033109841187;0.5414149174565044;0.5430483818877241;0.5421015703065425;0.5448484551521283
External Fragmentation (Horizontal);4;all; ;0.5470771531786366;0.5469491990537676;0.5471590204077117;0.5494027680363227;0.5444530636754832;0.5483286444086418;0.5477093821895301;0.5459631233958275;0.5480259777205945;0.5469553869912064
External Fragmentation (Horizontal);5;all; ;0.5504481914367343;0.5505775922751559;0.5503376432172659;0.5502971474301115;0.5517014227105492;0.551197845967347;0.5488619574999098;0.550587854506808;0.5510819348007663;0.5498166086096775
External Fragmentation (Horizontal);6;all; ;0.5505729245282937;0.5500964215662318;0.5516296160145804;0.5492429699501857;0.5506708701292047;0.5511962591852428;0.5531852980379683;0.5496470769508742;0.5527847894957854;0.5495439982796637
External Fragmentation (Horizontal);7;all; ;0.5480776762181019;0.5503855273467204;0.549242136709815;0.550542795679854;0.5472072762281897;0.5482751124342562;0.5501317367273706;0.5515101796941659;0.5519822798732776;0.5483173524191906
External Fragmentation (Horizontal);8;all; ;0.5456102763309862;0.5485980581170214;0.5457631721957295;0.5487717708101717;0.5473312654627839;0.5491228876368346;0.5475674428259198;0.5455816789426503;0.5465845707082098;0.5465741143690155
External Fragmentation (Horizontal);9;all; ;0.5389669654968394;0.5424798780215254;0.5415218695510075;0.541711489609889;0.5414497972875167;0.540353092287564;0.5387723548622748;0.5402043266408428;0.5407150523473055;0.5413457931799079
External Fragmentation (Horizontal);10;all; ;0.5374909739758141;0.5346779936379472;0.534623354820005;0.5358020061524461;0.5347993460723588;0.5367022883769113;0.5348114747510616;0.5348943040885339;0.5359510218791655;0.5350786108311086

External Fragmentation Per Link;1;<14-4>; ;0.5405051119543554;0.5446203051379339;0.5471951146700016;0.5301291821101873;0.5331097917342165;0.537947591688592;0.5453949400172691;0.5413474093402243;0.5412822629290055;0.5320080047202999
External Fragmentation Per Link;1;<3-1>; ;0.47724230830274605;0.4870022898040996;0.48708485856556577;0.4908183340948282;0.489781790370605;0.4868282194803926;0.49365797041545706;0.48985490109111296;0.4862796880559865;0.4885424304692404
External Fragmentation Per Link;1;<5-4>; ;0.5468295687230003;0.5535308234963473;0.5561606761555214;0.5523081779408436;0.5473096057253863;0.5516360523625115;0.5550768447058462;0.559651471303985;0.561367228911382;0.5567567704501664
External Fragmentation Per Link;1;<4-14>; ;0.5477759978519728;0.5554051089821609;0.545933177812957;0.5444016521657149;0.5409854371585908;0.5580247507194551;0.5546113130342041;0.5501610575848869;0.5557668607991215;0.5535213834572967
External Fragmentation Per Link;1;<2-4>; ;0.5191297791577726;0.5212783338943878;0.5212135766102669;0.513359794510027;0.5265740733812889;0.5303864293948912;0.5212026668749031;0.5193663011021501;0.5278590294658522;0.5253413219985062
External Fragmentation Per Link;1;<2-3>; ;0.5068299835704996;0.504054103740328;0.505497474717752;0.500805549756104;0.48749123487790363;0.5010418934588833;0.4991999112981431;0.49954971684359334;0.5075798770825538;0.49941996211181483
External Fragmentation Per Link;1;<7-8>; ;0.5454174015806396;0.5355909984102304;0.5338616175220096;0.5440468951938805;0.5401074772574191;0.5415026431874446;0.5447713983887149;0.5372052989887913;0.5420978846463604;0.5346331322357241
External Fragmentation Per Link;1;<7-6>; ;0.5022486169263073;0.500132613416829;0.4955313143156031;0.49635363998806165;0.5022837930406772;0.4949767325808017;0.504598432069649;0.48869459250324915;0.5001445498995846;0.5056742770204555
External Fragmentation Per Link;1;<5-10>; ;0.5259334043032814;0.5227366817602563;0.5168668495271935;0.5161382065264146;0.5231530210137091;0.5209449708242162;0.5277002992638016;0.5223887892486215;0.5242220343303151;0.5322858304108158
External Fragmentation Per Link;1;<3-9>; ;0.5701075757126747;0.570455974722359;0.566813529923673;0.5695934846916265;0.5544962980813726;0.5632234672071742;0.5709267487314181;0.5614193185457759;0.5610939712342041;0.5634606306962878
External Fragmentation Per Link;1;<4-2>; ;0.5509975366311024;0.5625913187007623;0.5607402394709108;0.5466066461030219;0.562122715897167;0.5526313336379691;0.5524260343513627;0.5599369432173232;0.560892297249248;0.5524392683904062
External Fragmentation Per Link;1;<6-7>; ;0.5424559442274537;0.5339723558021623;0.5417930756009739;0.5452955937666748;0.5446857355374546;0.5378109690437;0.5368459766793554;0.5465265719943153;0.542681360908398;0.5360770380837037
External Fragmentation Per Link;1;<4-5>; ;0.5359043975320864;0.5232866997159535;0.5266140225663387;0.5257668939701146;0.5281691938857132;0.5245361001218141;0.5237633036903397;0.532979472810387;0.5359739091402054;0.5300821625854204
External Fragmentation Per Link;1;<2-1>; ;0.46689241225668765;0.45078337586286105;0.46760865833250176;0.4568264531541242;0.4656823984455343;0.4746615565713053;0.4715011184268244;0.4692316967285363;0.4709864864501243;0.46861013167397564
External Fragmentation Per Link;1;<4-7>; ;0.5383239679944686;0.5206128135145182;0.5292399073229872;0.5256401265962416;0.5169066574810409;0.5279673093523725;0.5257876293070048;0.5185461523346825;0.5271644755816526;0.5178349881316586
External Fragmentation Per Link;1;<3-2>; ;0.42273170239288127;0.4164825371412192;0.42732561964367183;0.4396426195928135;0.434363641746859;0.43403777048930836;0.4366169775488648;0.43508751318219313;0.42788940794974045;0.43255158705313806
External Fragmentation Per Link;1;<13-11>; ;0.5210672758905124;0.507848966713016;0.5196039673325699;0.5082741630551221;0.5226799877169723;0.5155003505127855;0.511831970669829;0.5212010490534769;0.5127500769599812;0.5123821443952365
External Fragmentation Per Link;1;<13-10>; ;0.5670256424894355;0.5815497257530856;0.5792853556159439;0.5689486902988533;0.5642515569404921;0.572690204881809;0.5771550277590931;0.5712216507327412;0.5705034730661265;0.5586561634784842
External Fragmentation Per Link;1;<11-6>; ;0.5443221526604878;0.5342153249128262;0.5451052557210538;0.533779738135386;0.5438975094316923;0.540230348640698;0.5348474825595709;0.5483892401326961;0.5433432857176008;0.5277526830360586
External Fragmentation Per Link;1;<6-11>; ;0.5321746828510654;0.524846142102267;0.5256208673630107;0.5221264254781807;0.5269433797164268;0.5280887336049129;0.5377767023369272;0.5271787098967734;0.5376625333762386;0.5274433754293187
External Fragmentation Per Link;1;<9-3>; ;0.5519175070622582;0.5539100307821659;0.5546920472257076;0.5605812853856826;0.5506654414059013;0.5607981758510057;0.5630682286151674;0.554526510706564;0.554329134133631;0.5506057412239057
External Fragmentation Per Link;1;<14-12>; ;0.5400477539272024;0.5288266652555368;0.5302375462603841;0.5256580700416608;0.5411685788390261;0.5419563094031837;0.5298156864346898;0.5372268110188353;0.5373754155504279;0.5416301273538882
External Fragmentation Per Link;1;<11-12>; ;0.43426890976706517;0.42165918846898903;0.4365783743570194;0.42148394846486525;0.4275756561689313;0.4291252209879683;0.428553335213229;0.4313931178135926;0.43510720416891197;0.42249502518667315
External Fragmentation Per Link;1;<11-13>; ;0.514209425779937;0.5155863884252794;0.517771866378996;0.5139152310347573;0.5098448386470568;0.5260295178770166;0.5209899442193698;0.5092393948989387;0.5196685039430304;0.5029901878814366
External Fragmentation Per Link;1;<10-5>; ;0.5423655011807332;0.5476166650828768;0.5478862632711441;0.5514424987666661;0.5422869654471221;0.5477407427212335;0.5431184340372215;0.5500741149921979;0.5518386986635437;0.5446864286429015
External Fragmentation Per Link;1;<9-8>; ;0.5543820487888579;0.5623605356706584;0.5550443189328498;0.5405019175724665;0.556861601388771;0.5544651723334263;0.554263046085549;0.5538995468627711;0.5452040388113041;0.5559384392407533
External Fragmentation Per Link;1;<10-12>; ;0.527153752728023;0.5175477112713665;0.522261210870733;0.5158678870215605;0.5217224971514091;0.5204134753771109;0.5246449301840382;0.5292828623719813;0.5187222736723016;0.5250878646195986
External Fragmentation Per Link;1;<12-14>; ;0.5201191966741758;0.5235936239416817;0.5127412663845372;0.5066974577977107;0.5122692656050463;0.51641322632019;0.51333177164593;0.5113295118605445;0.5154579228341001;0.5127357556525606
External Fragmentation Per Link;1;<12-11>; ;0.4523484720618159;0.45827304695250354;0.46410232845005517;0.4555402228527633;0.46639766045068304;0.4757430947129264;0.4641607900318091;0.4632991431773345;0.463272610923727;0.46082196704832223
External Fragmentation Per Link;1;<12-10>; ;0.5374238349006949;0.5182762198321501;0.5333707747654514;0.5337550528266405;0.5320121370870305;0.5347475526253213;0.5292536493127838;0.5252620118955093;0.5310688066566159;0.5252893218046835
External Fragmentation Per Link;1;<10-9>; ;0.5826532200947652;0.5880993481865218;0.5759660891436102;0.5744321540102801;0.581318501499368;0.5909531177001118;0.5872649973872723;0.5838604950963928;0.5781035193069237;0.5817760466906795
External Fragmentation Per Link;1;<9-10>; ;0.5973997667186843;0.590274434818536;0.5898136866686736;0.589186924493398;0.5885394142032621;0.5920206531088996;0.5959589903892982;0.5852705140363929;0.5915978817533787;0.5853042778066626
External Fragmentation Per Link;1;<6-1>; ;0.5077593856355347;0.5057711738253713;0.49617157458820965;0.5034666854191824;0.5150856048889685;0.5029392035822218;0.5073378911207574;0.5064961260457566;0.5075262456103112;0.5056918014466605
External Fragmentation Per Link;1;<1-6>; ;0.5124831114847662;0.5154495459546768;0.5170865386238432;0.5103179993789221;0.5071794644688481;0.5135263316172766;0.5110742562110582;0.515321413653337;0.5189045169996971;0.5158969011003193
External Fragmentation Per Link;1;<10-13>; ;0.5826685687195575;0.5667539329142028;0.5692222406597065;0.570701392001283;0.5703052325180229;0.581875426727037;0.5717698704608413;0.5780179990903433;0.5751505523836027;0.5830486008825349
External Fragmentation Per Link;1;<8-9>; ;0.5639001656887951;0.5568380889161698;0.549267235506186;0.5550374983581389;0.5536479127016765;0.5613820051097312;0.5553552268948723;0.5546309732855734;0.5519620933590731;0.5601042600367986
External Fragmentation Per Link;1;<7-4>; ;0.5542318046716745;0.5584067059049421;0.5498688021183225;0.5511992578033352;0.5496241947409967;0.559802456312552;0.5512894561939355;0.5579017806701324;0.5607530195861875;0.5531531684041358
External Fragmentation Per Link;1;<8-7>; ;0.5425445725648549;0.5441637322237662;0.5382369341747975;0.5353936766829956;0.5467766025434426;0.5449926808498927;0.5407682080771441;0.5393825484532638;0.5397801244688819;0.539828781765945
External Fragmentation Per Link;1;<1-3>; ;0.4726320462233374;0.47241367246480537;0.4698379133807431;0.4621258777486967;0.4617037122123983;0.46050804744841733;0.4613117832070128;0.46996639355741193;0.468680947914309;0.4609926712878074
External Fragmentation Per Link;1;<1-2>; ;0.47154490452734876;0.4670511682929918;0.4585919892670696;0.456955179021185;0.4611794586358072;0.4577699652569839;0.4569332623262429;0.469174349372868;0.46569689222737165;0.463489960100515
External Fragmentation Per Link;2;<14-4>; ;0.5516317640861149;0.5622385962194332;0.5556864137464831;0.5614195228862936;0.5631413502045839;0.5552416519539356;0.5469171026779018;0.5515647332445817;0.5556516038245718;0.5645920519549417
External Fragmentation Per Link;2;<3-1>; ;0.5079214922862528;0.5078912512099365;0.5107988367862051;0.5145099784563779;0.5087973839481877;0.5098824143184102;0.5078353932175973;0.5042346351931128;0.5092096390696267;0.5151084056286798
External Fragmentation Per Link;2;<5-4>; ;0.5703938748833017;0.5653407154989727;0.5659856794803891;0.5674451552808937;0.5740389735187106;0.575053197480975;0.5666780434731564;0.577583040207755;0.5663747079949264;0.5645969601145313
External Fragmentation Per Link;2;<4-14>; ;0.5720707687811553;0.572455046649861;0.5732145529275996;0.5664196591192633;0.5656188553338047;0.5681974893982185;0.5680365999373255;0.5653304396123274;0.5720118173404574;0.5695404001145056
External Fragmentation Per Link;2;<2-4>; ;0.5366596579927316;0.5465235656337641;0.5391973101921593;0.5365062472306358;0.5376006004628899;0.5352551286586531;0.541146393248546;0.5294558748606446;0.539923736333191;0.5282817246743943
External Fragmentation Per Link;2;<2-3>; ;0.5301665082732695;0.5243997309793031;0.5164691951431909;0.5201358781630453;0.513499543139782;0.5187366598730346;0.5076253437422635;0.528697694236906;0.5155043698631774;0.518601782096818
External Fragmentation Per Link;2;<7-8>; ;0.5467203322456815;0.5680843076599444;0.5477226589136399;0.5543599514801388;0.557342851301347;0.558085888432438;0.5574999082609682;0.5485227781861748;0.5427584510766881;0.5675681423240967
External Fragmentation Per Link;2;<7-6>; ;0.5079711511668288;0.5073088459021784;0.516861466674675;0.5175962659251101;0.518143496109571;0.5102268336552497;0.5143398270667634;0.5122203795817262;0.5065840924280652;0.5215230724915711
External Fragmentation Per Link;2;<5-10>; ;0.5424152536847162;0.5432439085962891;0.5466185767023224;0.5484797313837876;0.5282153911107618;0.5346992979853903;0.5349356398960138;0.5274638089138198;0.5297375719053764;0.528234383899333
External Fragmentation Per Link;2;<3-9>; ;0.5784863405225592;0.5840090810778672;0.5822788240529901;0.5736814065541607;0.5720303800149177;0.5866123535646384;0.5724476930654415;0.5835448404081797;0.5776917259710069;0.5738735556768717
External Fragmentation Per Link;2;<4-2>; ;0.571660297475844;0.569464003644182;0.5685118153875393;0.5818772477530866;0.5740533349095712;0.5728359166612362;0.5667887662512342;0.5722166114453975;0.5724347945781679;0.5828549145529512
External Fragmentation Per Link;2;<6-7>; ;0.5467916485140577;0.5652555125314273;0.5440856283821361;0.5600606339518022;0.5578068911594308;0.5637695311950528;0.5632047566504763;0.5450444057280113;0.5503225795772195;0.5570732557360251
External Fragmentation Per Link;2;<4-5>; ;0.5507629267707129;0.5531108267683839;0.5418677479524724;0.5571994448705019;0.5476161659405755;0.5408661761287876;0.5475647718373182;0.5342496010906783;0.5449223164713063;0.5428548046052077
External Fragmentation Per Link;2;<2-1>; ;0.4827517733748723;0.49487702469034733;0.488876365303717;0.48971036969226656;0.4908504545442903;0.4809574904001462;0.4865485631682561;0.47481655724727995;0.46518101706870113;0.486017819962682
External Fragmentation Per Link;2;<4-7>; ;0.529382117475098;0.5458297338163541;0.5467046474493391;0.5373174432589769;0.5440240667498766;0.5412526448839955;0.5431139663435834;0.5384063375641798;0.52630594028427;0.5434851136154917
External Fragmentation Per Link;2;<3-2>; ;0.4586647169804196;0.45656061262609876;0.44988355443447425;0.44460106700781044;0.44004544214458063;0.44310761310108465;0.45260238673571507;0.4474596757078534;0.4619563313702914;0.4478933669837597
