Metrics;LoadPoint;Bandwidth;src;dest; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
bandwidth blocking probability;1;all;all;all; ;0.010508739838327811;0.010390404926758358;0.00956806634100791;0.008968678999410883;0.009687291487057497;0.010444949464563846;0.010174477074357136;0.00973018153061167;0.010189040910981592;0.010266977012576329
bandwidth blocking probability;2;all;all;all; ;0.21114578086552624;0.20910076948183523;0.21115776970462408;0.20732917038429105;0.21457331936941174;0.21270233242029565;0.2112241356419985;0.2060960317647244;0.20978712425653234;0.2078645595753355
bandwidth blocking probability;3;all;all;all; ;0.39933281489149625;0.39605952440696335;0.3959998657380016;0.39366996020080036;0.3998809514600999;0.4013048169749432;0.3958707623594377;0.39840221268558074;0.39235494769593193;0.3972401526171138
bandwidth blocking probability;4;all;all;all; ;0.5192367317928315;0.5169109997430233;0.517541162165671;0.5200861564273073;0.5139263596626676;0.5208281674428488;0.5194767856345016;0.5174619001218208;0.5183880511398464;0.5195604263836905


bandwidth blocking probabilities per pair;1;all;4;7; ;0.0016698263737199243;0.001144858688240906;0.0;0.00455228441889166;0.0;8.349412499768878E-4;3.413356820590319E-4;3.5257882666446175E-4;3.154308700937804E-4;0.0
bandwidth blocking probabilities per pair;1;all;3;1; ;0.004424608549479353;0.0010074002356512091;0.002870665332259701;0.0029172872170776685;0.002495277872932537;0.0020239617707329027;0.0034034340289512788;8.728137195302644E-4;0.0037850716474179215;0.010181898375604364
bandwidth blocking probabilities per pair;1;all;2;3; ;0.0;0.0;0.0;0.0;1.1344934609159613E-4;5.841214085716666E-4;2.6139841348874306E-4;0.0;2.454287347392467E-4;4.8590056691165005E-4
bandwidth blocking probabilities per pair;1;all;6;4; ;0.0;0.0;0.0;4.4326119761845277E-4;0.0;3.75174376802034E-5;0.0;0.0;0.0;0.0014899841934390037
bandwidth blocking probabilities per pair;1;all;6;1; ;0.0;0.0014688295314591764;0.0;0.0;0.0;3.363576921084643E-4;0.0;0.0;0.0;1.363054009695512E-4
bandwidth blocking probabilities per pair;1;all;8;3; ;0.006872311069780202;0.003920370873822354;0.007844625487769463;0.00791304056786714;0.008124011822962426;0.011731174468184141;0.011675322310757491;0.006460713309985854;0.01339063571498649;0.010420755591585578
bandwidth blocking probabilities per pair;1;all;3;5; ;0.001100923543805902;6.372207681582564E-4;0.0;0.0012948985621146084;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;1;4; ;0.003441123855455867;0.010303100967173866;0.007016747327255008;0.009891681545232523;0.008140617566739013;0.004565240995453351;0.006348536037652346;0.002885893176916839;0.0039240055851324715;0.010478116675097748
bandwidth blocking probabilities per pair;1;all;6;2; ;0.0869155942930237;0.07495012267531814;0.0750792562363965;0.07252536801411609;0.07038000718565794;0.08233871846988614;0.07077761859076422;0.08029790115434507;0.08841192524697536;0.078282523029961
bandwidth blocking probabilities per pair;1;all;7;2; ;0.001352970347650467;0.0010764701017327621;8.547050175369519E-4;0.006995465821497853;0.006451163412116493;0.0014578738891546526;0.0013144015860164792;0.0;0.0;2.2048471243753625E-4
bandwidth blocking probabilities per pair;1;all;1;7; ;1.3505559530245192E-4;7.71515530987623E-4;0.0;0.0;0.0013131242727270056;8.077559829265857E-4;0.0;0.0;0.0013547546479233889;0.002590350340224367
bandwidth blocking probabilities per pair;1;all;4;2; ;0.0012900691562694562;0.006520463139778351;0.002007669077634166;0.0032987577900037302;0.002961400321301895;1.2011516350668575E-4;0.0010083558635273022;0.003484538628415404;0.003074649380126182;4.5426222094607045E-4
bandwidth blocking probabilities per pair;1;all;2;6; ;0.07176783361336445;0.0752005378407328;0.08593068317994781;0.06412212756825243;0.07974433915141414;0.07811997930491417;0.0836452757883068;0.08837075317523675;0.0811456460905755;0.09076259863627462
bandwidth blocking probabilities per pair;1;all;7;3; ;0.09365271026947364;0.08604940470292305;0.0720844080311732;0.0692908061142243;0.07639795044252297;0.09486233115354076;0.08431762374304709;0.09714671369437033;0.10319726504318008;0.0896950837000826
bandwidth blocking probabilities per pair;1;all;4;8; ;0.05676693411087261;0.03719423230256706;0.042998896010005616;0.049462183707983456;0.05066330535069589;0.06063917237085067;0.040341349186355686;0.05021965989455129;0.0438664292971702;0.032076556051883406
bandwidth blocking probabilities per pair;1;all;5;4; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;3;2; ;1.4765573555432525E-4;8.777461500521532E-4;0.0;3.224731190973377E-4;0.00415276537404568;8.658159274484598E-4;0.0;6.250026067532563E-4;9.362321612814211E-4;0.0
bandwidth blocking probabilities per pair;1;all;4;6; ;0.001593737434590848;7.133507904081029E-4;8.524818735280918E-4;8.575254031901395E-4;0.0;0.004865334464371403;0.0;0.0;0.0;0.0018846807104934307
bandwidth blocking probabilities per pair;1;all;5;8; ;0.009967645347986174;9.80911478360975E-4;0.0016611345715708868;0.0014937807251730073;0.001774693600476263;0.0015318693244676831;0.00267108334531087;7.799459537934269E-4;0.004650663965077342;2.673373672605133E-4
bandwidth blocking probabilities per pair;1;all;8;2; ;0.0;9.001366607464458E-4;0.0019114459922211333;0.0010043702490078962;0.001208124394451365;4.472403707934103E-6;0.0;7.909309968420901E-4;0.0;0.0
bandwidth blocking probabilities per pair;1;all;1;6; ;0.0031795991643845324;1.063704042993136E-4;0.001749684050832398;0.01125871601716236;2.377101988387035E-4;0.0025821111281764905;0.0014004754207752948;0.0;8.636391652022569E-4;0.0034195969581432774
bandwidth blocking probabilities per pair;1;all;7;1; ;0.0;0.0;0.0023744336799816283;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;1;2; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;2;5; ;0.0059223348859647725;0.0056370094709034795;4.745726985712406E-5;0.0014151047013735271;0.0031296683259610845;0.001101472271712313;0.001739412806954958;0.0011104534994578765;0.004810532720945427;0.0040070508631866045
bandwidth blocking probabilities per pair;1;all;5;1; ;0.02575874327085355;0.03371622057486599;0.044142040259287904;0.03028642570156261;0.03263314403766737;0.034752171715779726;0.0383852609741173;0.024004685278091;0.028288096088096546;0.02902963804656154
bandwidth blocking probabilities per pair;1;all;5;3; ;2.1194863974282097E-4;0.001205666605929553;0.0020474685416491463;9.438086271561519E-4;0.0;0.0;0.0;0.003664672656598418;0.001928831599714288;5.922462139098573E-4
bandwidth blocking probabilities per pair;1;all;3;8; ;0.004628857145904898;0.0031867679072866174;5.8120934768124E-4;0.00532229563691333;0.005199474033167013;0.004183153289855227;0.003785512554140831;0.0019147673245507309;0.004900443134497861;0.00558317805351407
bandwidth blocking probabilities per pair;1;all;7;6; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;2;4; ;0.005342799833372196;0.005441534622075191;0.0030225543697453136;1.950414779076247E-4;0.001560744772176478;0.001826408386369993;9.260087829622379E-4;0.004348315043999593;0.007408960087104977;0.0013479335481867657
bandwidth blocking probabilities per pair;1;all;5;7; ;0.0;5.405732975800713E-4;0.0;0.0;0.0;0.0;0.0;0.0012270843011721719;0.0;5.710041797326098E-4
bandwidth blocking probabilities per pair;1;all;4;3; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0031564703592292993
bandwidth blocking probabilities per pair;1;all;2;7; ;6.877885568089244E-4;0.003780030106375786;0.0;0.002854284378393938;3.9992710825173115E-4;0.0;0.002271855083990919;3.3846193308023593E-4;0.0021348633728567744;6.60141889262558E-4
bandwidth blocking probabilities per pair;1;all;8;6; ;0.0;0.0;0.00113168500160562;0.0;0.0;0.0;0.0017718035904320936;0.0;0.0015914111252669208;0.0
bandwidth blocking probabilities per pair;1;all;8;4; ;0.025291363490029164;0.05941365134372235;0.044219804806654606;0.03066704451684943;0.02432487136686738;0.03503070017497939;0.045110962654582705;0.03025619725186587;0.03173487162461942;0.037097760145401136
bandwidth blocking probabilities per pair;1;all;8;7; ;0.0;3.7378464451102685E-4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;5;2; ;0.01840344358313411;0.019796736960068673;0.013916068741119895;0.0029996528461852293;0.013778405614988337;0.008179970483537552;0.012226915163554163;0.005672164440574125;0.004149888764090937;0.010657454118800992
bandwidth blocking probabilities per pair;1;all;2;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;7;4; ;0.0014365620118606973;2.318120197409107E-5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;4;5; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;7;5; ;0.0;0.0;0.0;0.0;0.0010718260513000843;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;4;1; ;0.0105773289298136;0.006794255042225574;0.001050967364056681;2.4147958598657847E-5;0.0022586279288649225;0.008647604193094573;0.0031995922687449714;0.007519809841543568;0.0038388369253003858;6.979581139168315E-5
bandwidth blocking probabilities per pair;1;all;8;5; ;0.001958151109242371;0.0021823087845402236;0.0058375670563324015;0.002875219955479903;0.004074188993699197;5.36358250230086E-4;0.0018964962968516402;0.0016028439844846091;0.003985197806821517;9.575884907678329E-4
bandwidth blocking probabilities per pair;1;all;8;1; ;0.0;1.0592391128387189E-4;4.902077972330621E-5;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;5;6; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;3;6; ;0.0;0.001734242394562227;3.467782450170035E-4;5.333292822427136E-4;0.0;0.0;0.0;0.0;2.246349483649005E-5;0.0023468040287874317
bandwidth blocking probabilities per pair;1;all;3;4; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;6;7; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;1;8; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;6;5; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;3;7; ;0.08908317582272256;0.10471308650762526;0.07291066837494448;0.06876014601388628;0.09570044409553013;0.0810497895921222;0.08279612838767976;0.09240568640899811;0.08533456075707518;0.09623788926327578
bandwidth blocking probabilities per pair;1;all;7;8; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;1;5; ;0.04999106851571781;0.03382505326912353;0.04031340830868158;0.0483341026751203;0.039756577722532625;0.053220994374251554;0.0597625652930964;0.03520102820482967;0.03547089701566303;0.048497148594486596
bandwidth blocking probabilities per pair;1;all;2;8; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.709064113848814E-4
bandwidth blocking probabilities per pair;1;all;6;8; ;0.0;0.0;7.181112550016813E-4;0.0;7.53313247525511E-4;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;1;3; ;0.005814187779928477;6.584045206359247E-4;0.002626575852826431;0.0024725831681324546;0.007370799286435034;0.004949458215948796;0.0037825065112331406;0.0;0.002152353691463293;0.002685662841764436
bandwidth blocking probabilities per pair;1;all;6;3; ;0.0024294827095753717;4.647484181210459E-4;0.0;0.0017864827679225075;0.00231621094366244;0.00366268643964468;0.0;0.0019604952513166568;0.0016775737341512096;0.0018071710644850132
bandwidth blocking probabilities per pair;2;all;4;7; ;0.2228619136125978;0.2304331799513636;0.24747011307691727;0.2516250822942569;0.22360083055548488;0.24352598689485105;0.24591165326149744;0.244612229296799;0.2329195318683232;0.22898053853277742
bandwidth blocking probabilities per pair;2;all;3;1; ;0.15032742170497493;0.15118252214800978;0.12595926982950198;0.15141822043073735;0.13732200244273765;0.1694682014847078;0.13123983640523837;0.11727343001017826;0.12976464706142332;0.13926429828181902
bandwidth blocking probabilities per pair;2;all;2;3; ;0.033755402324229584;0.026839149930513007;0.032628628365558285;0.02177497035124118;0.026428758501735972;0.03167115440745287;0.02666503854719996;0.023440513599206295;0.017707633174094878;0.026024228146167897
bandwidth blocking probabilities per pair;2;all;6;4; ;0.11747216015300611;0.08048960895805833;0.0964801848218407;0.085655506570609;0.09950575280994378;0.08338731254624313;0.09573225120255653;0.08289198759208108;0.08610083866741298;0.09899959010106903
bandwidth blocking probabilities per pair;2;all;6;1; ;0.17923260927882914;0.15787448499455858;0.23781619609871155;0.16945627157124746;0.18700578422326647;0.23224955554662127;0.19772797509422824;0.20569884655634663;0.16222982196026295;0.20032824503012145
bandwidth blocking probabilities per pair;2;all;8;3; ;0.3816656350701843;0.3440170094331297;0.35264020967050397;0.3785479830129333;0.31124152387156334;0.351627711675109;0.3313861366297978;0.2937298127592867;0.32504078861909036;0.31673138391288386
bandwidth blocking probabilities per pair;2;all;3;5; ;0.09426764385813893;0.07118578815532525;0.09093928192103748;0.0920603251314846;0.06993295656696054;0.05408026763499759;0.09184947162658923;0.0952685130074144;0.052259622784429575;0.06018075092651703
bandwidth blocking probabilities per pair;2;all;1;4; ;0.2658308543034533;0.3025701839994093;0.26762307202651575;0.23898545980622665;0.2613403865818934;0.305726030399717;0.29240708387122033;0.2720468300337379;0.2644281363155393;0.2941115676237188
bandwidth blocking probabilities per pair;2;all;6;2; ;0.732248847376045;0.7350809884708384;0.7382031717945202;0.720950195375202;0.7362175575829294;0.7468557027463382;0.7594903857290916;0.721426645912106;0.7223540074026443;0.7283804362054878
bandwidth blocking probabilities per pair;2;all;7;2; ;0.2668858028132909;0.24857475571236312;0.24835832388498003;0.2599932836278086;0.2681743038614695;0.2658687031653216;0.2548710567294421;0.22986216799626388;0.2705192588914304;0.28400828904325065
bandwidth blocking probabilities per pair;2;all;1;7; ;0.1564637156550677;0.13686066155716023;0.11555710765425263;0.11084714028076983;0.15156309243227567;0.13825226721159062;0.13824919216278297;0.10068552985118051;0.13588437104453266;0.14232383991393552
bandwidth blocking probabilities per pair;2;all;4;2; ;0.13981004829028737;0.1370161591068665;0.1403166766690272;0.1192958505089463;0.133102316760857;0.13783331036621466;0.15567055530942192;0.13568901326013577;0.15968905920849027;0.14509203434623186
bandwidth blocking probabilities per pair;2;all;2;6; ;0.7173994874766455;0.7429263808711798;0.7135216265299624;0.7400860680003232;0.7472191002805683;0.715817686777247;0.7261928839196681;0.7453073141559552;0.7355409783829702;0.7315124980817269
bandwidth blocking probabilities per pair;2;all;7;3; ;0.7038526105864197;0.7448297541356819;0.7398036312832326;0.721385234404809;0.7413441890906814;0.7368689568018847;0.7242562175811109;0.73375571549304;0.7305864664320185;0.7021051940362462
bandwidth blocking probabilities per pair;2;all;4;8; ;0.6632186548700297;0.6863774230622117;0.7014517571385047;0.6764822218158195;0.695755390518364;0.6681045256295971;0.7035532751072232;0.6954313519539407;0.6899498853368915;0.666501746743404
bandwidth blocking probabilities per pair;2;all;5;4; ;0.006382113660939647;0.013939593905983838;0.01060297738692267;0.006610350183250142;0.009820473890097844;0.007631628538970783;0.009095717684076543;0.004575323810034901;0.004147507552377315;0.01182776875323729
bandwidth blocking probabilities per pair;2;all;3;2; ;0.031108336936716125;0.030982186642062853;0.026600884360399507;0.03195892174120602;0.017862028634371356;0.028958590864162564;0.02071436139326787;0.015428847028889638;0.0229991235491724;0.02644902715624131
bandwidth blocking probabilities per pair;2;all;4;6; ;0.16938332698564118;0.10588883783729096;0.12127359055260377;0.1093451034948493;0.157139499644788;0.11337878591032302;0.12519265569112917;0.1041912750780168;0.13779573348775778;0.1120647111107278
bandwidth blocking probabilities per pair;2;all;5;8; ;0.2508593655178173;0.22605014465404744;0.2729207723320357;0.26811764537860516;0.2568072999577335;0.25984189679987596;0.257797184063082;0.24300411314697956;0.24175529377889196;0.26206351638748915
bandwidth blocking probabilities per pair;2;all;8;2; ;0.11547215207026178;0.12810977770487472;0.08535616931863119;0.10655719025372977;0.08906119540627698;0.10480419827404773;0.096615569855599;0.1016815697334885;0.11359742528649357;0.09001788221781354
bandwidth blocking probabilities per pair;2;all;1;6; ;0.25552295150865334;0.24353823226431542;0.24505463773461061;0.24104311293237204;0.3001477133651893;0.20793480849180546;0.2660724930551775;0.24293662631345075;0.23036977202867148;0.2398133721920595
bandwidth blocking probabilities per pair;2;all;7;1; ;0.08308984810249642;0.11417194289599926;0.11636945477254941;0.1041070590712084;0.09748120737809719;0.08055055979348474;0.10136163288863362;0.07726850593136098;0.1003598806009043;0.11477964965862823
bandwidth blocking probabilities per pair;2;all;1;2; ;0.004325536059828243;0.00546560711743972;0.011587558201415478;0.004943621211272052;0.0024682479921266155;0.006389130646213333;0.005229330789005702;0.0029024771102420235;0.005644436049257786;0.004322128416793646
bandwidth blocking probabilities per pair;2;all;2;5; ;0.29337133412508615;0.2420912013583202;0.27046152295885306;0.26699059356168564;0.28443818747077454;0.28309503964550836;0.2656863203185919;0.2725283997972631;0.2940582452077422;0.28431918289870883
bandwidth blocking probabilities per pair;2;all;5;1; ;0.6596200799923085;0.678183655641274;0.6635293662840557;0.6765232488391598;0.7111358246179503;0.6868946060736392;0.6603089122020716;0.6976766102401524;0.7014491230007653;0.6447770486057877
bandwidth blocking probabilities per pair;2;all;5;3; ;0.12346658695435908;0.10988141709727269;0.11533068274185893;0.12012009976900909;0.11494764960672431;0.15177134173081705;0.12008247786233212;0.11156644069679356;0.12280237181022519;0.1505643506411728
bandwidth blocking probabilities per pair;2;all;3;8; ;0.2726727558423928;0.2672780379134413;0.2691532214576742;0.31093984372620026;0.2801262107193115;0.3165884621455609;0.3024730116875494;0.276437654150601;0.27755395225020146;0.24123498464428525
bandwidth blocking probabilities per pair;2;all;7;6; ;0.0032116160144956556;1.2120565744702167E-4;0.002706231874680487;0.004647061949200443;0.0;0.0;0.0033409595504682236;0.0010189224334023464;1.8588072132884697E-4;0.0014973358873743665
bandwidth blocking probabilities per pair;2;all;2;4; ;0.1572312413088154;0.16434858794664584;0.13596781598379043;0.12912202828736086;0.1163239917203384;0.1596823614415848;0.15218396053058572;0.13770554528443277;0.14507696444584317;0.1611648075639838
bandwidth blocking probabilities per pair;2;all;5;7; ;0.0908946409885702;0.06361788745262596;0.106385560380077;0.08310649944012406;0.06903579796248398;0.06841242005284517;0.08390431451305594;0.07937283609779348;0.08570511516967792;0.06740615549517923
bandwidth blocking probabilities per pair;2;all;4;3; ;0.007485551174856584;0.0064486519519914;0.006129522344435377;0.007895938998778803;0.013506036196542127;0.005894910921184095;0.0026581011473479498;0.0032151889984057165;0.002621204575356486;0.007079563361135687
