Metrics;LoadPoint;Bandwidth;src;dest; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
blocking probability;1;all;all;all; ;0.003603963361369706;0.0035340804153043653;0.003389322884169017;0.0033493897721316793;0.0037087877804677168;0.003583996805351037;0.0037087877804677168;0.003389322884169017;0.0038485536725983978;0.0037736790875283898
blocking probability;2;all;all;all; ;0.0867896273741483;0.08561160056904685;0.08585619088027553;0.0832455636808346;0.08695934310030698;0.08663987820400829;0.08579129957321487;0.08417900017470736;0.08666982803803629;0.0852372276436968
blocking probability;3;all;all;all; ;0.177502683005965;0.17522649561983678;0.1765942047071156;0.1744477999351087;0.1750867297277061;0.17767739037112837;0.17548606084807947;0.1758604337734295;0.17329473132503057;0.1746923902463374
blocking probability;4;all;all;all; ;0.24592307884293807;0.24523922429929867;0.24572341328275138;0.24637232635335812;0.2446252527017246;0.24591309556492874;0.24640227618738614;0.24339730950657648;0.24678164075174083;0.24577832131180272


blocking probability fragmentation;1;all;all;all; ;0.0035740135273417024;0.0035091222202810295;0.003369356328150348;0.0033194399381036763;0.003693812863453715;0.0035740135273417024;0.0036688546684303792;0.003354381411136347;0.003823595477575062;0.0037337459754910526
blocking probability fragmentation;2;all;all;all; ;0.08121396660593506;0.08028053011206229;0.08036039633613697;0.07851848154341479;0.08164823919934111;0.08136870741507975;0.08078468565153368;0.07911747822397484;0.08159832280929444;0.08024059700002496
blocking probability fragmentation;3;all;all;all; ;0.1542616118002346;0.15358274889559986;0.15383233084583323;0.15245963011954974;0.15288891107395114;0.15439638605336062;0.15318840941423117;0.15448623555544463;0.15155115182070034;0.15233483914443308
blocking probability fragmentation;4;all;all;all; ;0.20522125439888186;0.20353907205430904;0.20330446502108968;0.20561559388025058;0.20327451518706166;0.20339930616217836;0.2050964634237652;0.2017171238176055;0.2047470486934385;0.20378366236553772


blocking probabilities per pair;1;all;4;7; ;2.828054298642534E-4;2.8735632183908046E-4;0.0;0.0011065006915629322;0.0;5.698005698005698E-4;2.841716396703609E-4;2.782415136338342E-4;5.534034311012728E-4;0.0
blocking probabilities per pair;1;all;3;1; ;8.81575080811049E-4;5.558643690939411E-4;5.554012774229381E-4;8.915304606240713E-4;8.351893095768374E-4;0.0016524373450839988;0.0013812154696132596;5.564830272676684E-4;0.0011176306230790724;0.002238388360380526
