Metrics;LoadPoint;link;spectrum size (c); ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Relative Fragmentation per spectrum size (c);1;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);1;all;17; ;0.5015414292780768;0.5037064542378434;0.5018348463495562;0.5004473303634174;0.4997961210636706;0.5019095424676918;0.5027168657042628;0.5001714567531228;0.5064673967740689;0.5044483100068111
Relative Fragmentation per spectrum size (c);1;all;2; ;0.06956906606933798;0.06985544154022308;0.06927956020944599;0.0691545539393795;0.06927656989575352;0.06930128531538597;0.07004246571573919;0.06929939059687036;0.0697950090425594;0.06947485707323647
Relative Fragmentation per spectrum size (c);1;all;3; ;0.12260336925495924;0.12341603501171974;0.12267902480717477;0.12187411440721876;0.12176955054717624;0.12319890273995239;0.12390638439537861;0.12189953808234606;0.12384651375966518;0.12320987624327369
Relative Fragmentation per spectrum size (c);1;all;5; ;0.2180126596766564;0.21854875098644677;0.2175535646707222;0.2174450614196205;0.2153817960188562;0.2179252270344485;0.21899590709444727;0.21686717987966184;0.2192513030765903;0.21914498093322063
Relative Fragmentation per spectrum size (c);1;all;9; ;0.33622529396517215;0.3390763226462831;0.3368733663963395;0.33680995974689715;0.3348948293590301;0.3365806369825893;0.339764683426026;0.33504176408345565;0.34011104325923075;0.3395219957898427
Relative Fragmentation per spectrum size (c);2;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);2;all;17; ;0.8723518272003938;0.8710109877232609;0.8738950287848327;0.8693772376785903;0.8717066254881681;0.8728768819957875;0.8717268261798807;0.8718949554100062;0.868724708364393;0.8710146273940582
Relative Fragmentation per spectrum size (c);2;all;2; ;0.1601232489183436;0.1596115499802319;0.16067382118355167;0.15828099318841127;0.15934495443655883;0.16008348708090267;0.16002263534247418;0.15927018247294727;0.15870468077066546;0.16027979670566747
Relative Fragmentation per spectrum size (c);2;all;3; ;0.27632792651510646;0.2766085855227077;0.277818110601189;0.2757465565675754;0.27648816928570025;0.27633808879778493;0.2769852361761209;0.2760196713024173;0.27464435182160446;0.27560314964955085
Relative Fragmentation per spectrum size (c);2;all;5; ;0.4575015277741336;0.45391770171968865;0.45744444766113507;0.45292250157268305;0.45556611714552764;0.4593199708211731;0.457690357873087;0.45305605022717615;0.4546927371563573;0.4571349502212267
Relative Fragmentation per spectrum size (c);2;all;9; ;0.6585276707006349;0.6578577488403046;0.6609477214404151;0.6564814288124662;0.659129341213514;0.6608615608351577;0.6589924549059677;0.657763913121887;0.6570994202272746;0.6587115065665452
Relative Fragmentation per spectrum size (c);3;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);3;all;17; ;0.9579167761767313;0.9574055116672764;0.9561364408487281;0.95534172745713;0.9577071680277834;0.9578091131168835;0.9565269293386222;0.9579247343980118;0.9535806226125237;0.9543217298199493
Relative Fragmentation per spectrum size (c);3;all;2; ;0.2240578123679635;0.22417950464461606;0.2235025459155057;0.22200838189348168;0.22398494156105997;0.22189953476963692;0.22295275223567662;0.2248845869217382;0.22100748878249377;0.2231432782244707
Relative Fragmentation per spectrum size (c);3;all;3; ;0.37991499652893784;0.37843844191012815;0.378092657892769;0.37651968556587967;0.37668626197734295;0.38037239760617025;0.3793171617481046;0.38275882436998443;0.3772478242140801;0.3766724948957401
Relative Fragmentation per spectrum size (c);3;all;5; ;0.5913306032434721;0.5886802039741984;0.5877980847717837;0.5835242916279074;0.5885474649461914;0.5900579451734159;0.5900380081415264;0.5908610217172112;0.5842220787620208;0.5872417679045459
Relative Fragmentation per spectrum size (c);3;all;9; ;0.8072588258419279;0.8060384235904577;0.8038398500876611;0.8031438723229083;0.8069192856838279;0.8070676638948794;0.8064277516183719;0.8084493590164084;0.8007501172738852;0.8034238915406777
Relative Fragmentation per spectrum size (c);4;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);4;all;17; ;0.9826273182644174;0.9829268286774002;0.9828879690112865;0.9836203379537382;0.982291527505634;0.9835964705715973;0.9837810514749881;0.9828778870756307;0.983526611376196;0.9838909382344408
Relative Fragmentation per spectrum size (c);4;all;2; ;0.27242951972301876;0.27342219957353164;0.274386181641665;0.2762926178344493;0.2749355292927739;0.2749087997432896;0.27552107191162956;0.2728943710203962;0.2773695985657357;0.2739868587788804
Relative Fragmentation per spectrum size (c);4;all;3; ;0.45331390257846765;0.45445654435162847;0.45627121612925925;0.4580361820064331;0.453731063679351;0.4549164094837932;0.45641933075000785;0.45634763884269536;0.45749918420783914;0.456293181863496
Relative Fragmentation per spectrum size (c);4;all;5; ;0.6791770492934118;0.6777458876035223;0.6792174904244913;0.6828409630210456;0.6809752468543692;0.6795689346815068;0.6833690783641228;0.6778271076151032;0.6818432692514884;0.6784004514387142
Relative Fragmentation per spectrum size (c);4;all;9; ;0.8814667691809072;0.8814495316915629;0.8811917402360431;0.8817350270292234;0.8803196091991468;0.8817971628789781;0.8839560391315988;0.879538168837522;0.8839481969234454;0.8824284330113179

