Metrics;LoadPoint;Bandwidth;src;dest; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
bandwidth blocking probability;1;all;all;all; ;0.009368435883682922;0.009712219188385015;0.007654943443931813;0.010670262658232439;0.009931254605063418;0.010517371654363571;0.010246055290460318;0.009229818113748232;0.00913103306582473;0.01178942680378703
bandwidth blocking probability;2;all;all;all; ;0.20107596111258405;0.20469009061542692;0.20348771627001067;0.1979359537093456;0.19792291244074467;0.20318288859051528;0.19703668095663734;0.2014552793070285;0.2024504865319375;0.19835171205681468
bandwidth blocking probability;3;all;all;all; ;0.3939278596342744;0.38748041294001745;0.3844865037199032;0.3856980494330643;0.38937041168969067;0.38623769010067543;0.38623013794626876;0.38524358451789403;0.3843599976535861;0.38668141249197346
bandwidth blocking probability;4;all;all;all; ;0.5093776646441681;0.5081414263576556;0.515073637448541;0.5117610642110189;0.511167163607035;0.5080819189422321;0.5091879808177016;0.5111617691684445;0.5081725608854241;0.5092740492487614


bandwidth blocking probabilities per pair;1;all;4;7; ;2.851079952427032E-4;0.0036530955301565964;6.644224116884296E-4;0.0013891427821081128;0.002628530024688959;0.0;0.0;0.0013052217685947298;2.51266477509946E-4;3.9330708965979637E-4
bandwidth blocking probabilities per pair;1;all;3;1; ;0.001388686346042981;5.847614896401706E-4;0.002304279879456805;0.00646958144123971;0.001131548000005749;0.0029839685679763175;4.227032001790354E-4;5.658089545470902E-4;8.232198911986181E-4;8.071823135296904E-4
bandwidth blocking probabilities per pair;1;all;2;3; ;0.0;0.0;0.0;0.0;0.0;0.0013724147201520439;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;6;4; ;0.0;0.0;2.4980464079698964E-4;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;6;1; ;0.0;1.7857419826612926E-5;0.0;8.038530768202328E-4;0.0;1.9277372598121832E-4;0.0;6.547244819356396E-4;0.0;0.0023892422258845925
bandwidth blocking probabilities per pair;1;all;8;3; ;0.006830983162879458;0.013947535528484907;0.007310374618815086;0.007422325505105386;0.00833350395692819;0.010392040310502918;0.009667365075731734;0.004779128450904187;0.00827189999405457;0.020093119455655468
bandwidth blocking probabilities per pair;1;all;3;5; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;1;4; ;1.1710329541602219E-4;0.0021130897961269134;0.0037046103960550808;0.004019836840726697;0.001621526630594269;0.004459955842135385;0.0032050827180559738;0.007416255815558176;0.002091639827744543;0.002226408891247367
bandwidth blocking probabilities per pair;1;all;6;2; ;0.09038327822301798;0.07997677355484499;0.058973228425673006;0.1028830925781944;0.07753251462366585;0.08921365149915916;0.09092866479628842;0.08559270599620822;0.0754570775593924;0.09210117609724211
bandwidth blocking probabilities per pair;1;all;7;2; ;3.569653139848511E-4;5.237965592953846E-4;0.004152645261280965;0.0;0.0026149507577339936;0.001724477189682287;6.115536431550104E-4;0.0017518023215121685;9.797374930619273E-4;7.497923795514734E-4
bandwidth blocking probabilities per pair;1;all;1;7; ;2.46718361838512E-4;0.0;0.0;0.0012479978441642526;0.0;7.618335993687868E-5;0.0;0.0;2.467081917183778E-4;1.2945221391146713E-4
bandwidth blocking probabilities per pair;1;all;4;2; ;0.0015655777479404247;3.422278112994215E-4;9.737659429362439E-4;0.0028339651966526195;0.003917600618496825;0.0;0.002626400663733731;0.0;3.932447480916565E-4;5.191296756638097E-4
bandwidth blocking probabilities per pair;1;all;2;6; ;0.0749153945756607;0.0779710067958021;0.08239202563811672;0.0781115240876005;0.11661916921001629;0.09110885921784496;0.0996692485459026;0.06861677161070777;0.07986454277602792;0.10008782611920307
bandwidth blocking probabilities per pair;1;all;7;3; ;0.06495155420319554;0.0832114343009035;0.06068557810511206;0.07111102677623689;0.08318255576762941;0.10183549199402941;0.07822579888105184;0.08390613247238482;0.08355991493970312;0.11182950667289149
bandwidth blocking probabilities per pair;1;all;4;8; ;0.04756601079859606;0.0440635250523452;0.04033760191496708;0.06223355589337563;0.03731095415089281;0.051472051051260403;0.04151298109769742;0.04331512133363928;0.029476516498336096;0.038305119956207646
bandwidth blocking probabilities per pair;1;all;5;4; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;3;2; ;0.001856457685829099;0.0010055045986706336;0.0;0.0;9.220945842105858E-4;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;4;6; ;0.0;8.594660995114028E-5;0.0;0.0;0.0;2.0136591288562894E-4;9.038691380520252E-4;0.0;3.816710143202758E-4;0.0011881745523937735
bandwidth blocking probabilities per pair;1;all;5;8; ;0.0;0.0013217909487230315;2.4090003330077902E-4;0.003773395666184705;0.0019772333431697067;0.001981801332832299;5.44964359248642E-4;0.001053056790014363;0.0014474497652713963;0.0016275716639614674
