Metrics;LoadPoint;Bandwidth;src;dest; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
blocking probability;1;all;all;all; ;0.0031597074899543266;0.0035141138592856965;0.0028252676766416253;0.003828587116579729;0.0035340804153043653;0.003688821224449048;0.0037686874485237227;0.0031946489629869966;0.0033493897721316793;0.003998302842738413
blocking probability;2;all;all;all; ;0.08361993660618464;0.08462325604612274;0.08316569745675993;0.08248683455212519;0.08048518731125365;0.08348017071405396;0.0812988244690144;0.08319564729078793;0.0844485486809594;0.08167319739436443
blocking probability;3;all;all;all; ;0.17556093543314946;0.1730052162627599;0.17273566775650784;0.17394863603464197;0.1728804252876432;0.1721167045199291;0.17294531659470386;0.17183717273566776;0.1723163700801158;0.174083410287768
blocking probability;4;all;all;all; ;0.24102628097935958;0.24078169066813088;0.24504455037811665;0.24117103851049493;0.24495470087603263;0.24398632290912722;0.24249382284673174;0.24209948336536302;0.2429231038011331;0.2422991489255497


blocking probability fragmentation;1;all;all;all; ;0.003094816182893653;0.0034342476352110215;0.0027503930915716173;0.0037736790875283898;0.0034292559962063544;0.0036239299173883746;0.0036438964734070434;0.0031047994609029873;0.0032645319090523375;0.003918436618663738
blocking probability fragmentation;2;all;all;all; ;0.07242868195772081;0.07254848129383283;0.0716849277460254;0.07141537923977338;0.06909426710260314;0.07182469363815609;0.06968827214415853;0.07206928394938478;0.07240372376269748;0.07084633239324133
blocking probability fragmentation;3;all;all;all; ;0.13735493049142686;0.1361918786033394;0.1369056829810068;0.1368657498689695;0.1349789103252053;0.13640152744153544;0.13523847555344798;0.13566276486884468;0.13491901065714929;0.1364364689145681
blocking probability fragmentation;4;all;all;all; ;0.17862580178201512;0.17874560111812715;0.18113160456235805;0.17801682182344572;0.18157086879476877;0.1794693887738039;0.1771532682756383;0.17838620310979109;0.17783213118027305;0.1771382933586243


blocking probabilities per pair;1;all;4;7; ;2.8169014084507044E-4;0.0011392765593847907;2.8498147620404675E-4;2.736726874657909E-4;0.001101624896722666;0.0;0.0;2.7307482250136535E-4;2.7631942525559546E-4;2.8256569652444194E-4
blocking probabilities per pair;1;all;3;1; ;2.828854314002829E-4;5.52944429084877E-4;5.534034311012728E-4;0.0013579576317218902;2.844950213371266E-4;0.0011049723756906078;5.815644082582146E-4;5.614823133071309E-4;5.494505494505495E-4;5.46000546000546E-4
blocking probabilities per pair;1;all;2;3; ;0.0;0.0;0.0;0.0;0.0;2.770850651149903E-4;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;6;4; ;0.0;0.0;2.73972602739726E-4;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;6;1; ;0.0;2.81928390188892E-4;0.0;2.733734281027884E-4;0.0;2.8042624789680314E-4;0.0;2.832058906825262E-4;0.0;5.599104143337066E-4
blocking probabilities per pair;1;all;8;3; ;0.0014367816091954023;0.004709141274238227;0.0017331022530329288;0.004005722460658083;0.002480022044640397;0.003114382785956965;0.003045404208194906;0.002206896551724138;0.003538377789874796;0.006406685236768802
blocking probabilities per pair;1;all;3;5; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;1;4; ;5.511160099200882E-4;8.503401360544217E-4;8.396305625524769E-4;0.0016652789342214821;2.7631942525559546E-4;0.0017246335153779822;0.0019943019943019944;0.001115137998327293;0.0010778765831312314;0.0013808340237503453
blocking probabilities per pair;1;all;6;2; ;0.029112881076627302;0.026404494382022473;0.02592388306674021;0.038282745419742956;0.03171484703901207;0.030426514534093996;0.03364433135425502;0.02819332566168009;0.028160919540229885;0.0323943661971831
blocking probabilities per pair;1;all;7;2; ;2.759381898454746E-4;2.818489289740699E-4;0.0013904338153503894;0.0;0.0011013215859030838;0.0011065006915629322;5.678591709256105E-4;5.547850208044383E-4;8.165487207403375E-4;2.801905295601009E-4
blocking probabilities per pair;1;all;1;7; ;2.781641168289291E-4;0.0;0.0;2.7693159789531985E-4;0.0;2.832058906825262E-4;0.0;0.0;2.765486725663717E-4;2.7739251040221914E-4
blocking probabilities per pair;1;all;4;2; ;5.652911249293386E-4;2.777777777777778E-4;8.368200836820083E-4;0.0016891891891891893;0.0014208581983518045;0.0;8.448324415657561E-4;0.0;2.7151778441487917E-4;5.521811154058532E-4
blocking probabilities per pair;1;all;2;6; ;0.0226890756302521;0.03164196123147092;0.026308501800055388;0.028956986224346358;0.03532380151387721;0.03512747875354107;0.03609515996718622;0.029239766081871343;0.027049406569141596;0.032661175802328885
blocking probabilities per pair;1;all;7;3; ;0.02686817800167926;0.03231151615575808;0.026014865637507146;0.030659025787965616;0.031485093340763444;0.0316542802091935;0.02891298304142341;0.02874859075535513;0.029031330842196033;0.033387622149837134
blocking probabilities per pair;1;all;4;8; ;0.016029246344206972;0.018233618233618232;0.011526567332021367;0.019284516489659027;0.01376791233492554;0.016388810398417632;0.01160541586073501;0.012119503945885006;0.010936623667975322;0.01350606394707828
blocking probabilities per pair;1;all;5;4; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
