Metrics;LoadPoint;Bandwidth;src;dest; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
bandwidth blocking probability;1;all;all;all; ;0.01630515072341261;0.015384094526077243;0.015928899685912646;0.015398655169642303;0.01586268526934134;0.01626173981917797;0.01546011715816225;0.01612229937245137;0.01655562249710608;0.01595698523862939
bandwidth blocking probability;2;all;all;all; ;0.20214071561861285;0.2026407326272272;0.200523774261859;0.20074696092901753;0.19920098804705247;0.20523432877152328;0.20526078368383022;0.20451261996459758;0.20225956620938093;0.19832933422929871
bandwidth blocking probability;3;all;all;all; ;0.388270761093989;0.38921250798272655;0.3916739464454367;0.39093041508664844;0.38975434845274126;0.3884921538649639;0.38956812007193686;0.3873484297253746;0.3932385445401428;0.3890090441392737
bandwidth blocking probability;4;all;all;all; ;0.5121842067182043;0.5067704272182192;0.5109525082739396;0.5154119474287477;0.5131578592388343;0.5106183052702772;0.5097338255244087;0.5110180411867077;0.508938853572965;0.5116065467371445


bandwidth blocking probabilities per pair;1;all;4;7; ;9.59270330522949E-4;0.002698550102866974;0.0;0.0;0.0;0.0017347108579073443;0.004957586876931182;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;3;1; ;0.0010283306501847043;0.0027887064502762128;1.0498349318881854E-4;0.0;1.2209574066032608E-4;0.0033618859517424446;0.0;4.413709247863716E-4;0.0;0.0012485294245811293
bandwidth blocking probabilities per pair;1;all;2;3; ;0.0016426657176081625;0.0;0.0;0.0;0.0;0.0027998201136777458;7.837774648127508E-4;0.00325087728673517;0.0;0.0
bandwidth blocking probabilities per pair;1;all;6;4; ;0.0;0.0;0.0;0.0013764484360650345;0.0;0.0;0.0;0.0010054894918302424;3.344336245445225E-4;5.8087098679074374E-5
bandwidth blocking probabilities per pair;1;all;6;1; ;7.495806010727121E-4;0.0;0.0;8.068239366049481E-4;0.0;0.0018914296814289565;0.0;0.0;0.0;0.0037054247362219932
bandwidth blocking probabilities per pair;1;all;8;3; ;0.007530876544853894;0.007240625372323697;0.006992575259244371;0.0056860665653601025;0.004736948555410847;0.014828919296424882;0.0019196129703399397;0.01964127741052185;0.012495991233393573;0.012833935439117185
bandwidth blocking probabilities per pair;1;all;3;5; ;0.0;0.0;0.0;0.0;0.0016382341933872668;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;1;4; ;0.0;0.006616818148798546;0.002525308681933307;0.005222504336469082;0.0015303469264619982;0.005082911071802191;0.002827182212160704;0.0030643093844315043;0.002475368145337845;0.006180710199457496
bandwidth blocking probabilities per pair;1;all;6;2; ;0.1202444724102041;0.1294767769045363;0.14690888027541057;0.10177233107909546;0.14993702164233894;0.14767748169376138;0.14953574454490107;0.1274250173280814;0.1208158444090673;0.14051320601137435
bandwidth blocking probabilities per pair;1;all;7;2; ;0.0;0.0017692604383082867;0.0;0.004226437256699452;8.45173476441306E-4;0.004281557352068935;0.0012984327930298481;3.1445994067428966E-4;7.126082455912522E-4;5.566160732005897E-4
bandwidth blocking probabilities per pair;1;all;1;7; ;0.0;0.0;0.0;0.0;0.0;0.0;4.0079274877955704E-4;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;4;2; ;0.0014623770504773178;0.0;0.0017172385530367332;6.782774440027165E-4;8.274658312809436E-4;0.001278793877197723;0.0;0.0;0.0;0.002320920646807666
bandwidth blocking probabilities per pair;1;all;2;6; ;0.14680037935339807;0.13750471374840736;0.1278607568407414;0.14151793847162927;0.17354672709880867;0.1365671597242432;0.12406159440879704;0.1347424593669167;0.16154243576756944;0.14453415698195393
bandwidth blocking probabilities per pair;1;all;7;3; ;0.15024911795910426;0.14899536682674444;0.15418406193695083;0.14437935632069504;0.13594361794013318;0.13655058021791308;0.13690222973603045;0.11589711786923612;0.13866957766025995;0.11070584554097394
bandwidth blocking probabilities per pair;1;all;4;8; ;0.0862492645622972;0.06562832249018759;0.0787086195172052;0.07092302481682035;0.0670512918980378;0.07075879171783415;0.07815147212891048;0.08714466617853567;0.07254452546158237;0.06858620640431369
bandwidth blocking probabilities per pair;1;all;5;4; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;3;2; ;0.0;0.0;0.0024398242618804194;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;4;6; ;2.0120584631507074E-4;0.0021160938428231033;0.0;0.0;0.0;2.17600165606218E-5;0.003451805027334163;0.0;0.0015938372568773706;4.209459897826979E-5
bandwidth blocking probabilities per pair;1;all;5;8; ;0.0;0.0034364168551595142;0.001246274387814049;0.005277618858975252;0.002251214925962147;0.00105361306131862;1.715595105321014E-4;0.0;3.568202946434024E-5;2.1127632627600436E-4
bandwidth blocking probabilities per pair;1;all;8;2; ;0.0;2.3688218307021936E-4;0.0;0.0011441867658033376;5.365393881595268E-4;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;1;6; ;3.7062346912594604E-4;0.0010085144086621144;0.0;0.0;0.001503154973432325;0.003241492116693295;0.002582550513574372;0.0;6.245925694229043E-4;0.003191510259156984
