Metrics;LoadPoint;link; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
External Fragmentation (Vertical);1;all; ;0.723773954061431;0.7226857863700623;0.7192269901148299;0.7219779423595053;0.7234188456475853;0.7213227235174471;0.7210257853905818;0.721467255583009;0.7212621387447066;0.7213703222710708
External Fragmentation (Vertical);2;all; ;0.8109841634385919;0.8116784225873459;0.8120845234987781;0.8113122346913223;0.8112094549153702;0.8120989295544068;0.8104068409373769;0.8117849454460576;0.8114052550646784;0.8104370020190709
External Fragmentation (Vertical);3;all; ;0.8282222479177882;0.828739985202047;0.828973360465601;0.8294989817375761;0.829043683005494;0.8280974943363133;0.8285879601650907;0.8280284716444396;0.8293942959506844;0.829299773841244
External Fragmentation (Vertical);4;all; ;0.8337491973217271;0.8340882491144938;0.8316120162046295;0.8326434735185123;0.8339846373492807;0.8319102261965554;0.8321639876312904;0.8336403019753029;0.8322883758387094;0.8328387474006892

External Fragmentation (Horizontal);1;all; ;0.701443977294346;0.7006458174607447;0.694855226826444;0.6997995704263708;0.6996358731971181;0.6989035637990719;0.6986287704599233;0.6991425064052917;0.699209364285904;0.6978304376502803
External Fragmentation (Horizontal);2;all; ;0.7168658224056298;0.7182280898317894;0.7178418157127525;0.7175270469616385;0.7188334188812349;0.7193611492936668;0.716818724044997;0.7180308854119511;0.7175547646867522;0.7159223018960987
External Fragmentation (Horizontal);3;all; ;0.6722248785594928;0.6757181123353666;0.6751032160662765;0.6746652165210371;0.6737787959494698;0.6742458842786188;0.6705480728469873;0.6711477940149971;0.6730913099977482;0.6754791683564703
External Fragmentation (Horizontal);4;all; ;0.618386113133579;0.6226906261554243;0.6167475788905851;0.6215546018464605;0.6227330833490726;0.6146965998695166;0.6187822794722314;0.6201310210096314;0.6220283272868089;0.6195390466506152

External Fragmentation Per Link;1;<6-7>; ;0.6790089738211317;0.69098631239766;0.6798509044723952;0.6957718052891474;0.6793274296569717;0.6791269014420603;0.6909717780737028;0.6829438205066383;0.6889719324265032;0.6804708178950047
External Fragmentation Per Link;1;<7-6>; ;0.6914571787832267;0.6901216679225114;0.6936244951825995;0.6767619601328133;0.6854495051096428;0.6835423795105396;0.6923602443212151;0.6831952510163438;0.676630686630195;0.6918432133281066
External Fragmentation Per Link;1;<7-8>; ;0.7172573467544646;0.7233528636727649;0.7152458761811006;0.7252290150196831;0.7184709415565267;0.7177192650209455;0.7174360026478025;0.7181477673970604;0.7238035436007099;0.7180537179352057
External Fragmentation Per Link;1;<8-7>; ;0.7274477170771995;0.7251564810346912;0.7191162334161515;0.7193267021174271;0.7235261060284535;0.724619223321416;0.7220521315835664;0.7175780603812906;0.716375954973471;0.7255787364776715
External Fragmentation Per Link;1;<1-2>; ;0.7264978185052323;0.7236847100742289;0.7165379410602514;0.7282316513701839;0.7322999583137507;0.7314168292712029;0.7302606860352069;0.7241303962825683;0.7256566624319494;0.7332816740630671
External Fragmentation Per Link;1;<2-1>; ;0.7274274472585348;0.7224484160046057;0.7244672710828586;0.7267237959761071;0.7311406608028475;0.7224889160019576;0.7213599194854996;0.7286499831684897;0.7260815473713704;0.7252532901760573
External Fragmentation Per Link;1;<2-3>; ;0.7501387647031321;0.7442041659909681;0.7376813621086938;0.7454650844866446;0.7488038746914188;0.7495031778117253;0.745792906104892;0.7476437797802143;0.7416223593602659;0.7476185154998958
External Fragmentation Per Link;1;<3-2>; ;0.7457603399818745;0.7437004436610942;0.7432310408249378;0.7486640827150545;0.7467794876795814;0.7449336191976718;0.7448113076040438;0.7464901428677331;0.7457596135846585;0.7389834828425742
External Fragmentation Per Link;1;<3-4>; ;0.7330406275942201;0.7275301141865986;0.7263630265033021;0.7203672211078158;0.7319741007575317;0.7279134092804027;0.7196859985190247;0.7313172792547861;0.7254875354232871;0.724750117766431
External Fragmentation Per Link;1;<4-3>; ;0.7289922533978925;0.7257543572456728;0.7270257752993767;0.7260342780416803;0.7261600326537533;0.7292030350886265;0.7272600091902662;0.725259882890197;0.7227423769649146;0.7221576750351455
External Fragmentation Per Link;1;<1-8>; ;0.7242476589733596;0.7228159796883474;0.7205065723036573;0.7260271178956261;0.7327721436982597;0.7185057523672714;0.7221129301442836;0.7238478754727428;0.7215974342684938;0.7260242138698272
