Metrics;LoadPoint;Bandwidth;src;dest; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
blocking probability;1;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability;2;all;all;all; ;0.023666405319859453;0.02433429160495978;0.026444425085421688;0.02546679443621686;0.025263524697273283;0.02732526062084386;0.026047565118912798;0.024856985219386125;0.027373658177735186;0.02575717977756483
blocking probability;3;all;all;all; ;0.08510226403771137;0.08726079507506461;0.08593470201624222;0.08615733077794233;0.08576047081143344;0.08475380162809382;0.08478284016222862;0.08510226403771137;0.08422142850228921;0.0854604059587072
blocking probability;4;all;all;all; ;0.13951079749494247;0.1396947082111295;0.13607457095565817;0.13802015274268956;0.13861060293676375;0.13426450232792247;0.13868803902778987;0.1363165587401148;0.1365101489676801;0.13667470066111062


blocking probability lack of transmitters;1;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability lack of transmitters;2;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability lack of transmitters;3;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability lack of transmitters;4;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0


blocking probability lack of receivers;1;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability lack of receivers;2;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability lack of receivers;3;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability lack of receivers;4;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0


blocking probability fragmentation;1;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability fragmentation;2;all;all;all; ;0.022940441966489533;0.023637366785724655;0.025524871504486454;0.024827946685251328;0.024653715480442547;0.026434745574043423;0.025128011537977564;0.024169739911529264;0.026512181665069547;0.025253845185895015
blocking probability fragmentation;3;all;all;all; ;0.07789102806090349;0.07998180251860885;0.07883962017597351;0.07968173766588263;0.07825884949327758;0.0771553851961553;0.07725218030993795;0.07807493877709053;0.07779423294712083;0.07810397731122533
blocking probability fragmentation;4;all;all;all; ;0.11585407168646127;0.11658971455120945;0.1131438085005469;0.11506035175344348;0.11531201904927839;0.11362778406946017;0.11567984048165249;0.11362778406946017;0.11189515153275063;0.11558304536786983


