Metrics;LoadPoint;link; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
External Fragmentation (Vertical);1;all; ;0.3592321466058437;0.3555552407211405;0.3549781385028847;0.3524287566730778;0.35160846361570436;0.3593037584631343;0.36121810353747613;0.3570268149701343;0.3607997394139903;0.36055014752992676
External Fragmentation (Vertical);2;all; ;0.7088999680260738;0.7067804465520354;0.7101450372778475;0.7075952707455534;0.709250694109097;0.7100473901010845;0.7081296576115175;0.7035890469458697;0.7108923509769275;0.7097354659013753
External Fragmentation (Vertical);3;all; ;0.7765424323548082;0.7797919790463717;0.7753018988962922;0.7740865362547575;0.7745830805257458;0.7719225085710211;0.7755988025878979;0.7774302682549337;0.7722595799853811;0.7749926534008228
External Fragmentation (Vertical);4;all; ;0.8056325450944813;0.8044920166965902;0.8034928844707837;0.8061673673878879;0.8036502949056987;0.8050677920883437;0.8046405180706979;0.8025375681925933;0.8048835916638769;0.8051629301786433


External Fragmentation (Horizontal);1;all; ;0.27062432617742366;0.2657600526274139;0.2615401049946397;0.2600940911795295;0.26299066816525046;0.2742819429556904;0.2743512243823483;0.27076070391093776;0.2739306075486034;0.27070343024106774
External Fragmentation (Horizontal);2;all; ;0.6816214446946328;0.6791937320796966;0.6791825032031187;0.6826962920810623;0.6799381233364014;0.6825710525487056;0.6793082113002377;0.6717159335259683;0.6804316228717037;0.6816540281523302
External Fragmentation (Horizontal);3;all; ;0.6665974168590862;0.6713106154586626;0.6665564173273291;0.6694142567218765;0.6650210614178511;0.6639258322471939;0.6652569142008119;0.666739721035834;0.6696288718667651;0.6661864953698182
External Fragmentation (Horizontal);4;all; ;0.6173878202855136;0.6192823199900082;0.6152336310874782;0.6211916694185876;0.6195735836670756;0.6217152349423978;0.6149930276247476;0.6223155338438914;0.6180216191266612;0.6172970428147243


External Fragmentation Per Link;1;<16-12>; ;0.321182088866344;0.3370272860419906;0.3065362429956512;0.3095939888798368;0.3288757436939186;0.33659274097779673;0.3429041551590068;0.3514936767262556;0.3337560629825788;0.33701414052444034
External Fragmentation Per Link;1;<17-23>; ;0.38049852545895907;0.3617404236674507;0.3647310234385849;0.3780120793634341;0.3596120415917473;0.39208692304481846;0.3623685235436496;0.3425367978931445;0.36201023926778325;0.3542950641924248
External Fragmentation Per Link;1;<12-11>; ;0.28431630846340966;0.3013791395429277;0.3078102654062215;0.29795465016372513;0.3041275756840155;0.30284514347216884;0.28882221983787554;0.29211422379988494;0.31465774101934313;0.30376881799875166
External Fragmentation Per Link;1;<16-17>; ;0.39739394740850076;0.3892450383366781;0.3819075808581054;0.36029457294223244;0.39126550741246313;0.4015700856028484;0.3660575591801301;0.38486838610959434;0.37552328588043843;0.3766897763796214
External Fragmentation Per Link;1;<12-13>; ;0.3723927464670657;0.3822272675997278;0.356357658901234;0.3822002555867909;0.3632915133663309;0.3854032285804721;0.3764675396846164;0.37360420940601996;0.37327301021115106;0.35849029498122065
External Fragmentation Per Link;1;<16-15>; ;0.3814965366888147;0.3694075323680471;0.3804118858934078;0.34464100624698984;0.3613326619164154;0.35654241790970054;0.3595307453246487;0.3685281883612801;0.3580159313048414;0.3721082466035438
External Fragmentation Per Link;1;<22-16>; ;0.48547019202414987;0.4717904506595221;0.4624771038031809;0.4630423938348784;0.47022930369400945;0.46543137232479953;0.4745972192487858;0.47970386019601924;0.46913466764301787;0.4557216364858405
External Fragmentation Per Link;1;<22-17>; ;0.4004931431158471;0.40179583860012463;0.3800220687534344;0.4040616238178402;0.3598663108895872;0.41076595345416234;0.4202610544815593;0.39380048495874015;0.4140629389153687;0.41405382814023395
External Fragmentation Per Link;1;<17-22>; ;0.4026239980101774;0.375822759062786;0.37053055721153194;0.39019578178460484;0.3652040095493132;0.38870077985149143;0.38001691806559856;0.37469712305396646;0.4090939856285039;0.39242554384895484
External Fragmentation Per Link;1;<6-11>; ;0.28294358231704864;0.27696683441518516;0.2728823984501436;0.2789669069438301;0.2907516917816946;0.28949936142877314;0.2801554795426827;0.27273720863066986;0.2792916672748491;0.2907245630794806
External Fragmentation Per Link;1;<23-22>; ;0.4413876891921757;0.426716897030462;0.4476139166477161;0.42192451115957075;0.44495624341048917;0.42396232321101873;0.44715169142051436;0.4448299958188902;0.4405966475735889;0.4345926833673306
External Fragmentation Per Link;1;<23-24>; ;0.2934025775873477;0.3018257723392124;0.29905327229506035;0.3041262461778357;0.30889073873935463;0.2961751349372279;0.3137137841771475;0.2915008389105285;0.30000335701510744;0.3141486482003081
External Fragmentation Per Link;1;<1-2>; ;0.17934611254370963;0.201609111983781;0.19671284600362854;0.19450518896313915;0.19582173096385697;0.17465164842764355;0.19910335060023085;0.21956205005942542;0.22907597047805892;0.1914444557706703
External Fragmentation Per Link;1;<12-16>; ;0.3425739137705531;0.29874753443157825;0.319121199165534;0.327617792331599;0.32091159364428723;0.3397786921982623;0.3333542517392687;0.31518846461152034;0.32765122682629505;0.3152234647874039
