Metrics;load point;link;number of slots;slot; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Requisitons per number of slots;1;all;1;-; ;0.4030548537909806;0.4049229994869859;0.39939599848999624;0.40045106523022717;0.40419703613361596;0.4029290201430632;0.40009292330923135;0.40363562447367657;0.40099311786741004;0.40250312164241947
Requisitons per number of slots;1;all;2;-; ;0.16339015206512375;0.16257707310934943;0.16437746222570684;0.16508406655632024;0.16573259381866404;0.1636031013154456;0.16333207499685415;0.16330303646271938;0.16234476483627105;0.16412579492987195
Requisitons per number of slots;1;all;3;-; ;0.16809439459496084;0.16773625267396503;0.16856869065249586;0.16703932785472989;0.16623592841033386;0.16769753462845197;0.16890747355073515;0.1674942648895084;0.16711676394575603;0.16730067466194307
Requisitons per number of slots;1;all;5;-; ;0.1652099002042377;0.1641064359071154;0.16701028932059508;0.1665069547289253;0.1637482939861196;0.1648711173059984;0.1661875308534425;0.16480336072635055;0.16765881658293888;0.16488079681737666
Requisitons per number of slots;1;all;9;-; ;0.10025069934469708;0.10065723882258423;0.10064755931120598;0.10091858562979741;0.10008614765126657;0.10089922660704087;0.10147999728973682;0.10076371344774515;0.10188653676762396;0.10118961194838884
Requisitons per number of slots;2;all;1;-; ;0.40259991675620216;0.40302581525684583;0.4024353650627716;0.4028903020975501;0.399386318978618;0.3985829195342219;0.40434222880428994;0.40290966112030663;0.40071241203744035;0.40150613197045815
Requisitons per number of slots;2;all;2;-; ;0.16412579492987195;0.16443553929397645;0.16352566522441947;0.16474528365808094;0.1633804725537455;0.1653744518976682;0.16283841991656262;0.16372893496336305;0.16417419248676327;0.16480336072635055
Requisitons per number of slots;2;all;3;-; ;0.16845253651595668;0.1665069547289253;0.16801695850393472;0.1694882442334311;0.16825894628839136;0.16966247543823987;0.1663617620582513;0.16849125456146974;0.16669086544511233;0.1661100947624164
Requisitons per number of slots;2;all;5;-; ;0.16595522258036413;0.16724259759367346;0.16557772163661177;0.16421291053227632;0.16814279215185218;0.1661391332965512;0.16630368498998171;0.16542284945455954;0.16771689365120848;0.16677798104751673
Requisitons per number of slots;2;all;9;-; ;0.0988665292176051;0.09878909312657896;0.1004442895722624;0.09866325947866152;0.10083147002739301;0.10024101983331882;0.10015390423091443;0.09944729990030103;0.10070563637947556;0.10080243149325822
Requisitons per number of slots;3;all;1;-; ;0.4032097259730329;0.4017771582890496;0.40320004646165464;0.402193377278315;0.40566832186311236;0.40409056150845507;0.40189331242558873;0.40366466300781134;0.4019417099824801;0.4026386348017152
Requisitons per number of slots;3;all;2;-; ;0.16448393685086776;0.16498727144253758;0.1645032958736243;0.16387412763403703;0.16313848476928886;0.16184143024460126;0.16482271974910706;0.16395156372506317;0.16498727144253758;0.16530669531802034
Requisitons per number of slots;3;all;3;-; ;0.16699093029783857;0.1660810562282816;0.1675136239122649;0.16764913707156062;0.16606169720552508;0.16741682879848224;0.16809439459496084;0.16530669531802034;0.16696189176370377;0.16766849609431717
Requisitons per number of slots;3;all;5;-; ;0.16653599326306007;0.16725227710505175;0.164784001703594;0.16694253274094722;0.16547124701145086;0.16753298293502145;0.16673926300200365;0.1669522122523255;0.16659407033132967;0.16634240303549477
Requisitons per number of slots;3;all;9;-; ;0.0987794136152007;0.09990223693507952;0.09999903204886218;0.09934082527514011;0.09966024915062288;0.09911819651344;0.09845031022833968;0.10012486569677963;0.09951505647994889;0.09804377075045252
Requisitons per number of slots;4;all;1;-; ;0.4007995276398447;0.4027547889382544;0.406858901762639;0.4014190163680537;0.39927984435345704;0.4023579289717455;0.4019707485166149;0.4038485737239984;0.40389697128088975;0.4034904318030026
Requisitons per number of slots;4;all;2;-; ;0.16449361636224602;0.16358374229268907;0.16262547066624078;0.16412579492987195;0.1645032958736243;0.16465816805567654;0.1643677827143286;0.16315784379204537;0.16263515017761904;0.1641064359071154
Requisitons per number of slots;4;all;3;-; ;0.16725227710505175;0.166497275217547;0.1685880496752524;0.16654567277443835;0.1674845853781301;0.16750394440088665;0.1670974049229995;0.16691349420681245;0.16736843124159093;0.16759106000329102
Requisitons per number of slots;4;all;5;-; ;0.16846221602733494;0.16809439459496084;0.16563579870488138;0.1702722846550706;0.16797824045842166;0.16790080436739555;0.16776529120809983;0.16725227710505175;0.16738779026434747;0.1661972103648208
Requisitons per number of slots;4;all;9;-; ;0.09899236286552254;0.09906979895654867;0.09629177919098644;0.09763723127256536;0.1007540339363669;0.09757915420429576;0.09879877263795724;0.09882781117209204;0.09871165703555285;0.09861486192177019


Requisitons per number of slots per link;1;<16-12>;1;-; ;0.3963121325494388;0.3830382106244175;0.38477773380820474;0.39129284107450046;0.39381880886059156;0.38827493261455526;0.38633084087629543;0.3849853059043548;0.3879472693032015;0.39248240138132556
Requisitons per number of slots per link;1;<16-12>;2;-; ;0.16622127204703366;0.1690853414991346;0.1801873103812162;0.1717612809315866;0.16514126541981694;0.17048517520215634;0.16555162009707464;0.16804702110606465;0.16505246166263116;0.16456368707663702
Requisitons per number of slots per link;1;<16-12>;3;-; ;0.16515232495991447;0.1736120356810012;0.1584223717187706;0.1658065369855763;0.16341689879294335;0.15997304582210242;0.162534435261708;0.16190221747261554;0.17110573042776434;0.15978217558772745
Requisitons per number of slots per link;1;<16-12>;5;-; ;0.1464457509353287;0.15617094927439756;0.15631183221210923;0.15270610030435358;0.15028518371136756;0.15498652291105122;0.15807424898333988;0.15896339834357467;0.15482916330373958;0.15473502457165625
Requisitons per number of slots per link;1;<16-12>;9;-; ;0.12586851950828434;0.11809346292104912;0.12030075187969924;0.11843324070398306;0.12733784321528055;0.12628032345013476;0.12750885478158205;0.12610205717339032;0.12106537530266344;0.12843671138265375
Requisitons per number of slots per link;1;<17-23>;1;-; ;0.41233608547838757;0.41135107985936714;0.40399002493765584;0.4064516129032258;0.4186046511627907;0.42561775088250126;0.4108565737051793;0.41033434650455924;0.4088082901554404;0.43993839835728954
Requisitons per number of slots per link;1;<17-23>;2;-; ;0.152986886838271;0.1531893520843797;0.1600997506234414;0.15186104218362284;0.14825581395348839;0.16439737771053958;0.1598605577689243;0.1514690982776089;0.14974093264248706;0.15297741273100615
Requisitons per number of slots per link;1;<17-23>;3;-; ;0.1694997571636717;0.17528879959819185;0.16708229426433915;0.17220843672456576;0.1812015503875969;0.1583459404942007;0.16832669322709162;0.17274569402228976;0.18911917098445596;0.15811088295687886
Requisitons per number of slots per link;1;<17-23>;5;-; ;0.1714424477901894;0.1702661978905073;0.17506234413965088;0.16575682382133994;0.16666666666666666;0.1573373676248109;0.17031872509960158;0.17477203647416414;0.16580310880829016;0.15605749486652978
Requisitons per number of slots per link;1;<17-23>;9;-; ;0.09373482272948033;0.08990457056755399;0.09376558603491272;0.10372208436724566;0.08527131782945736;0.09430156328794756;0.09063745019920319;0.09067882472137791;0.08652849740932643;0.09291581108829569
Requisitons per number of slots per link;1;<12-11>;1;-; ;0.3751748251748252;0.38863715580341585;0.35645677694770544;0.3673116793365584;0.36815742397137746;0.36989172196996156;0.3608210298883687;0.37872340425531914;0.3821416353061923;0.36363636363636365
Requisitons per number of slots per link;1;<12-11>;2;-; ;0.1520979020979021;0.15510630881840362;0.15723941657773036;0.1741534208707671;0.16565295169946334;0.1701012923506811;0.16960749009722723;0.1698581560283688;0.1512145056448854;0.16433566433566432
Requisitons per number of slots per link;1;<12-11>;3;-; ;0.1737762237762238;0.16172882537469502;0.18498754891497687;0.16897028334485142;0.17316636851520573;0.16276632902549773;0.16456607850198054;0.1656028368794326;0.17003079028395485;0.17307692307692307
Requisitons per number of slots per link;1;<12-11>;5;-; ;0.15804195804195803;0.16591146741024748;0.17538242618285307;0.1599861782999309;0.16100178890876565;0.164862032832693;0.16960749009722723;0.16028368794326242;0.16660964762230585;0.1618881118881119
Requisitons per number of slots per link;1;<12-11>;9;-; ;0.1409090909090909;0.12861624259323806;0.12593383137673425;0.1295784381478922;0.13202146690518785;0.1323786238211666;0.13539791141519625;0.125531914893617;0.13000342114266164;0.13706293706293707
Requisitons per number of slots per link;1;<16-17>;1;-; ;0.3973122991527899;0.4062140391254315;0.3962703962703963;0.4120559114735003;0.40928389470704785;0.40380789997158284;0.40114613180515757;0.4138518308260006;0.4057377049180328;0.41569428238039674
Requisitons per number of slots per link;1;<16-17>;2;-; ;0.17031843412211511;0.16570771001150747;0.16142191142191142;0.15608619685497963;0.16218511180300027;0.16084114805342428;0.16103151862464182;0.15271075787680954;0.16217798594847777;0.16248541423570595
Requisitons per number of slots per link;1;<16-17>;3;-; ;0.15454279871457785;0.16311852704257768;0.15326340326340326;0.15899825276645313;0.16444947636569487;0.1628303495311168;0.1670487106017192;0.15611694578484248;0.16686182669789226;0.15985997666277713
Requisitons per number of slots per link;1;<16-17>;5;-; ;0.17002629272567923;0.1628308400460299;0.17482517482517482;0.15958066394874781;0.1576563826776111;0.16709292412617222;0.16131805157593124;0.16151007663922792;0.15661592505854802;0.16131855309218204
Requisitons per number of slots per link;1;<16-17>;9;-; ;0.10780017528483786;0.1021288837744534;0.11421911421911422;0.11327897495631917;0.1064251344466459;0.10542767831770389;0.10945558739255014;0.1158103888731195;0.10860655737704918;0.10064177362893816
Requisitons per number of slots per link;1;<12-13>;1;-; ;0.39366754617414246;0.40391644908616187;0.4017071218991731;0.40148794253463316;0.39831401475237094;0.3795995670995671;0.38946015424164526;0.3968042609853529;0.38823835545147023;0.3947299765196974
Requisitons per number of slots per link;1;<12-13>;2;-; ;0.16306068601583112;0.15718015665796345;0.1645772205921579;0.17265264238070804;0.16833508956796628;0.17803030303030304;0.16349614395886888;0.16085219707057258;0.16757741347905283;0.15731802765457867
Requisitons per number of slots per link;1;<12-13>;3;-; ;0.16437994722955146;0.16945169712793734;0.1608428914377167;0.16110826064648537;0.16622760800842992;0.17126623376623376;0.17532133676092546;0.1696404793608522;0.17616445485297944;0.1732324549960866
Requisitons per number of slots per link;1;<12-13>;5;-; ;0.1554089709762533;0.1569190600522193;0.15657508668978395;0.15546434068753207;0.15331928345626974;0.15963203463203463;0.15424164524421594;0.1648468708388815;0.1667967733541504;0.16149230367858075
Requisitons per number of slots per link;1;<12-13>;9;-; ;0.12348284960422164;0.11253263707571802;0.1162976793811683;0.10928681375064135;0.11380400421496312;0.11147186147186147;0.11748071979434448;0.10785619174434088;0.10122300286234713;0.11322723715105662
Requisitons per number of slots per link;1;<16-15>;1;-; ;0.3849308047155305;0.40122044241037375;0.378775939059627;0.3971073331641715;0.3885971492873218;0.390628978864273;0.3796926177878559;0.3952380952380952;0.3781338847247351;0.3889894029464978
Requisitons per number of slots per link;1;<16-15>;2;-; ;0.1540235776524859;0.15179252479023647;0.14709745206199107;0.15681299162649073;0.15603900975243812;0.1586452762923351;0.15217939027462837;0.15538847117794485;0.15404497286120444;0.1695528560351512
Requisitons per number of slots per link;1;<16-15>;3;-; ;0.1745258841619682;0.14848715992880754;0.18203309692671396;0.15173813752854606;0.1727931982995749;0.17621594092182327;0.18014613252708492;0.1556390977443609;0.17420522098733524;0.16309123804600673
Requisitons per number of slots per link;1;<16-15>;5;-; ;0.16863147104049206;0.1741673023137554;0.17047543997898607;0.1743212382643999;0.16454113528382094;0.1650114591291062;0.17712270093222474;0.15964912280701754;0.18299302145257174;0.16386663220470407
Requisitons per number of slots per link;1;<16-15>;9;-; ;0.11788826242952333;0.12433257055682685;0.1216180719726819;0.12002029941639178;0.11802950737684421;0.10949834479246244;0.1108591584782061;0.13408521303258145;0.11062289997415353;0.11449987076764022
Requisitons per number of slots per link;1;<22-16>;1;-; ;0.3920265780730897;0.3854118729866544;0.38403401039206425;0.38509316770186336;0.3821685628047365;0.3880057803468208;0.3813339618194674;0.37980216241085807;0.38461538461538464;0.3911028730305839
Requisitons per number of slots per link;1;<22-16>;2;-; ;0.16943521594684385;0.16981132075471697;0.1603684459140293;0.1610305958132045;0.16461574181564895;0.1630539499036609;0.16167805797784587;0.1612606395215091;0.15289058767319638;0.15500463392029656
Requisitons per number of slots per link;1;<22-16>;3;-; ;0.17180825818699572;0.16912103083294983;0.16414737836561172;0.168391994478951;0.1727420478291154;0.1642581888246628;0.16945557388640112;0.16172072693811823;0.17032967032967034;0.16589434661723818
Requisitons per number of slots per link;1;<22-16>;5;-; ;0.1478405315614618;0.15853658536585366;0.17076051015588095;0.16563146997929606;0.1581146970048758;0.16233140655105974;0.16898420928588262;0.16793190706234185;0.16937410415671286;0.16195551436515293
Requisitons per number of slots per link;1;<22-16>;9;-; ;0.11888941623160892;0.11711919005982513;0.1206896551724138;0.11985277202668507;0.1223589505456234;0.12235067437379576;0.11854819703040302;0.12928456406717276;0.12279025322503584;0.12604263206672844
Requisitons per number of slots per link;1;<22-17>;1;-; ;0.384;0.3870798319327731;0.37275204359673025;0.3924803895050041;0.39043087496695744;0.4007440871644964;0.38154011269117255;0.38415788050824545;0.3771321961620469;0.3826754385964912
Requisitons per number of slots per link;1;<22-17>;2;-; ;0.1552;0.15493697478991597;0.1645776566757493;0.15472004327833377;0.1586042823156225;0.15253786872176456;0.1521330829085055;0.1573398215733982;0.15698294243070363;0.15350877192982457
Requisitons per number of slots per link;1;<22-17>;3;-; ;0.17706666666666668;0.16018907563025211;0.17029972752043596;0.15958885582905058;0.16679883690192968;0.16449641243688545;0.16850013415615778;0.16382806163828062;0.16551172707889125;0.16611842105263158
Requisitons per number of slots per link;1;<22-17>;5;-; ;0.172;0.17594537815126052;0.1773841961852861;0.1733838247227482;0.17367168913560665;0.17140579325006644;0.17279313120472228;0.17815625844822924;0.17164179104477612;0.17927631578947367
Requisitons per number of slots per link;1;<22-17>;9;-; ;0.11173333333333334;0.12184873949579832;0.11498637602179837;0.11982688666486341;0.11049431667988369;0.11081583842678713;0.12503353903944192;0.11651797783184645;0.1287313432835821;0.11842105263157894
Requisitons per number of slots per link;1;<17-22>;1;-; ;0.38641941641668937;0.38852813852813856;0.3820840950639854;0.39222520107238606;0.39296593741345887;0.406350053361793;0.3815293484114163;0.38434735995711605;0.38221153846153844;0.4028448738593666
