Metrics;LoadPoint;link;spectrum size (c); ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Relative Fragmentation per spectrum size (c);1;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);1;all;2; ;0.033574896334921264;0.03341386508728679;0.0331598225104697;0.03319758658166277;0.03340171943303784;0.033368426454082716;0.033482465721604064;0.03338898097166602;0.033254947075577974;0.03306069622330591
Relative Fragmentation per spectrum size (c);1;all;3; ;0.05700465456294811;0.057235701706770094;0.05714343028078487;0.05721211523029138;0.05761700187022147;0.05763518678962558;0.05726397501158608;0.05692002875313282;0.05675783206088025;0.05673797637954863
Relative Fragmentation per spectrum size (c);1;all;5; ;0.11211569463151098;0.11132259801829772;0.11074764203958909;0.11122905716456236;0.1126474817255443;0.1117321418167566;0.1122086022768914;0.11210975458621081;0.11094925477318342;0.11044875142472958
Relative Fragmentation per spectrum size (c);2;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);2;all;2; ;0.042215152611935376;0.04205087435855357;0.04183615815668562;0.04194024026817535;0.0419749170331871;0.04212846975551842;0.041673054979178586;0.04169753286853686;0.041964166986982666;0.04208050325255403
Relative Fragmentation per spectrum size (c);2;all;3; ;0.07308588672965713;0.07385782024747745;0.07302533859101693;0.07314027725987782;0.07367710708673679;0.07297516588467283;0.07230134991377332;0.07247515965068109;0.07355841499187528;0.07363854090251355
Relative Fragmentation per spectrum size (c);2;all;5; ;0.13993178587132762;0.13857454282960366;0.1396778621782935;0.13838243670358794;0.14001623799278182;0.1396678415678333;0.13794308095433955;0.13879245710038138;0.13900666853892238;0.14113014866642914
Relative Fragmentation per spectrum size (c);3;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);3;all;2; ;0.05002938542078832;0.05048485097088663;0.05013298300144828;0.05040646636135543;0.05005559257939477;0.050566237011600956;0.05027227395979073;0.049889033719160696;0.05009314354856814;0.049968060174565135
Relative Fragmentation per spectrum size (c);3;all;3; ;0.08822579525239149;0.08935804349034183;0.08801205457587696;0.08873837714390649;0.08898741856601634;0.0888241955953474;0.08929475924791737;0.0878446654657155;0.08912762072942262;0.08854213975825384
Relative Fragmentation per spectrum size (c);3;all;5; ;0.16577485879447795;0.16638467713298472;0.16507202691548378;0.165784752017406;0.16359164283443578;0.16645400345196038;0.16674333985742099;0.16540343158576568;0.16597971371389508;0.16571966402203653
Relative Fragmentation per spectrum size (c);4;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);4;all;2; ;0.0580581826295032;0.05875624467992197;0.05729251686376621;0.05777648111590662;0.05811090569666316;0.058004080648466384;0.057907593084023004;0.057878836471470844;0.057898592759160115;0.05769128109480921
Relative Fragmentation per spectrum size (c);4;all;3; ;0.10312852466916031;0.10401518552652167;0.10322753859236038;0.10260888718213147;0.10405556108535773;0.10309471832830971;0.10230322403208716;0.10376203805139185;0.10373471847820381;0.10468431180144837
Relative Fragmentation per spectrum size (c);4;all;5; ;0.1898892328190125;0.19020198599571664;0.18825197752623218;0.18958766639436705;0.18968604849218687;0.1877706648678016;0.1896912948504607;0.19017014482295685;0.19091543368827296;0.18800224141296368

