Metrics;LoadPoint;Bandwidth;src;dest; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
bandwidth blocking probability;1;all;all;all; ;0.015954112424341273;0.013438645207149269;0.013801197691915096;0.012530291881207448;0.015169406826459812;0.014445290741785197;0.012372722294893824;0.015723240232365727;0.013940521562556712;0.014822512248447202
bandwidth blocking probability;2;all;all;all; ;0.11098895289734742;0.11282441163723539;0.12115008167253648;0.11391504657210266;0.10940252701297741;0.11656689987282527;0.11823383357391719;0.1166016210018734;0.11510152432043919;0.11868876445780649
bandwidth blocking probability;3;all;all;all; ;0.24731097086553275;0.24087808139092534;0.2420255696094743;0.24257096364521868;0.24658975078905465;0.24267107020207654;0.24677727805643876;0.24459226299510467;0.24384807497957073;0.24063098388524515
bandwidth blocking probability;4;all;all;all; ;0.34766395060827976;0.3551933545273436;0.3556059521628335;0.35985285105136966;0.36108738882801517;0.35930227170791956;0.35423042767889407;0.3514699247573309;0.3553545754929234;0.35722540437036976


bandwidth blocking probabilities per pair;1;all;2;1; ;0.017617412058709328;0.012063037100423071;0.014435521777012158;0.01352745728043215;0.015552509025988459;0.011359105890079728;0.011405361958868767;0.016879978432124756;0.01562290679143159;0.014772822145821984
bandwidth blocking probabilities per pair;1;all;1;2; ;0.014265651835337618;0.014800584006627794;0.013168284181280137;0.011529338734516678;0.014783025856855403;0.017520879643735922;0.01332996230793379;0.0145651432813575;0.012254134382249317;0.014872143220702969
bandwidth blocking probabilities per pair;2;all;2;1; ;0.11092457713227973;0.11496364197950966;0.12167833424659978;0.11253055255069244;0.11032155894288642;0.11736478254701124;0.12254627664022082;0.11503072247110664;0.11502005902817783;0.11730482893481195
bandwidth blocking probabilities per pair;2;all;1;2; ;0.1110533829763535;0.11067087054926887;0.1206222375454062;0.11529722868185409;0.10848171963649292;0.11576540377194486;0.11387519826888515;0.11817622703626343;0.11518309703579528;0.12007409146986621
bandwidth blocking probabilities per pair;3;all;2;1; ;0.24881714869830865;0.23535675552570537;0.23976270751678672;0.2389750473803982;0.24145961542237288;0.24475416882410694;0.24753121220250204;0.24487062979871432;0.23918793511633474;0.24503375931641944
