Metrics;LoadPoint;link; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
External Fragmentation (Vertical);1;all; ;0.7065871435800831;0.6999073950104904;0.7068909628632579;0.7034244777288975;0.7088995320504025;0.7045208329628174;0.6977940925790087;0.7086727841890437;0.7032859854340789;0.7072872050922867
External Fragmentation (Vertical);2;all; ;0.7015925914323127;0.7004128926786434;0.7024046183182873;0.6988309114448273;0.7045988948323185;0.6982599839854023;0.7024038927700746;0.696792656324938;0.7026157418427221;0.6980308396456026
External Fragmentation (Vertical);3;all; ;0.6497604718563377;0.6559477263153359;0.6589463520027978;0.6548327696937895;0.6588814529401849;0.6583844096654041;0.6540259343602778;0.662676989265941;0.6571426133523462;0.6583594970793256
External Fragmentation (Vertical);4;all; ;0.6080769328910431;0.6008682042388093;0.6003976084753498;0.5989689447585929;0.6028606533108164;0.5988848393032415;0.6024166481823681;0.6004463551285011;0.6034263660926924;0.6087839771971945

External Fragmentation (Horizontal);1;all; ;0.7037581831787696;0.6967315452953827;0.7036478271236882;0.7002524309633774;0.7058771427691874;0.7016268727894598;0.6946545087570984;0.7058639438976397;0.7002374736089628;0.7037455337867001
External Fragmentation (Horizontal);2;all; ;0.6969289958604985;0.69590378008251;0.697747651783097;0.6934478553471433;0.7002708219660065;0.6935145189634242;0.6977173429293103;0.6921633089257285;0.6979106177278473;0.693162035945863
External Fragmentation (Horizontal);3;all; ;0.6420892273331318;0.6485340738603265;0.652105325388785;0.648010851249749;0.6526422374133178;0.6512862040342853;0.6465646615958961;0.6563554157308996;0.6505157025598728;0.6515306412615306
External Fragmentation (Horizontal);4;all; ;0.5984684498093793;0.5925201497900503;0.5922003393981075;0.5898092851334419;0.5942797892563014;0.5899551587070484;0.5931305955050583;0.5914553566213129;0.5938833138366569;0.6004259275753816

External Fragmentation Per Link;1;<2-1>; ;0.7112924787305945;0.6951039610015773;0.7086397713311424;0.6999972412045494;0.7072779000341393;0.7068359619073685;0.6919335930928073;0.706672488350826;0.7059700248273582;0.7091682590451932
External Fragmentation Per Link;1;<1-2>; ;0.7018818084299566;0.704710829019772;0.7051421543958241;0.7068517142537085;0.71052116406702;0.7022057040187168;0.7036545920656683;0.7106730800276988;0.700601946041218;0.7054061511397278
External Fragmentation Per Link;2;<2-1>; ;0.6999534673319324;0.6982248721940815;0.7013301236508093;0.7012659856012269;0.702407979430072;0.6967955667416892;0.7004377205070316;0.69550007370101;0.7034238086167187;0.6975448117966314
External Fragmentation Per Link;2;<1-2>; ;0.7032317155333111;0.7026009131638415;0.7034791129863741;0.6963958372890422;0.7067898102351707;0.6997244012298557;0.7043700650337781;0.6980852389494996;0.7018076750693126;0.6985168674952439
External Fragmentation Per Link;3;<2-1>; ;0.6464058945231858;0.6552320501274796;0.6586189060534073;0.6588877608858396;0.6594733612132306;0.6587439180099595;0.652974364717991;0.6594343345030772;0.6614510284502922;0.6555954784647475
External Fragmentation Per Link;3;<1-2>; ;0.6531150491904522;0.6566634025040928;0.6592737979530363;0.650777778502696;0.6582895446680611;0.6580249013217326;0.6550775040035509;0.6659196440296874;0.652834198255335;0.6611235156948198
External Fragmentation Per Link;4;<2-1>; ;0.6024220984289457;0.5926273758259981;0.6035323338914612;0.6018092784189117;0.608914790392591;0.6051228322027956;0.5992071504709542;0.5988582247089648;0.6036281954159367;0.6085025576990025
External Fragmentation Per Link;4;<1-2>; ;0.6137317673540365;0.6091090326525109;0.5972628830601511;0.5961286110991599;0.5968065162298887;0.5926468464045028;0.6056261458947076;0.6020344855488801;0.6032245367703263;0.6090653966963223

