Metrics;load point;link;number of slots; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Requisitons per number of slots;1;all;1; ;0.5011524366159861;0.4991125488098155;0.5025773582452965;0.4999225042622656;0.5006374649394283;0.5016724080175591;0.4998925059121748;0.5000424976626285;0.500142492162931;0.4985025823579703
Requisitons per number of slots;1;all;2; ;0.16467594282314474;0.16692081935493547;0.16584587847668378;0.16759578223197724;0.1671108089055102;0.16549089800060995;0.1675007874566899;0.16642584657843817;0.16633085180315083;0.16927069011204385
Requisitons per number of slots;1;all;3; ;0.1675657838818865;0.16672583007934563;0.16406597637129958;0.16701581413022284;0.16557589332586709;0.16453095079770613;0.16577588232647206;0.1663058531780752;0.16568588727619982;0.16497092659903706
Requisitons per number of slots;1;all;5; ;0.16660583667898266;0.16724080175590342;0.16751078690672014;0.16546589937553435;0.1666758328291944;0.16830574318412486;0.16683082430466326;0.16722580258085806;0.16784076875771833;0.1672558009309488
Requisitons per number of slots;2;all;1; ;0.5016924069176195;0.5005524696141712;0.49690267035313057;0.500582467964262;0.5025523596202209;0.5008574528400938;0.4990375529345886;0.5003874786886722;0.499737514436706;0.5000174990375529
Requisitons per number of slots;2;all;2; ;0.16615586142762148;0.1664458454784987;0.16861072641004746;0.16629085400302984;0.16565088920109394;0.1654558999255041;0.1662058586777727;0.16590087545185014;0.16705081220532872;0.16688082155481448
Requisitons per number of slots;2;all;3; ;0.1660758658273795;0.16559589222592758;0.1666158361290129;0.16724580148091855;0.16484593347365895;0.16753078580678063;0.16746578938158402;0.16772077535735536;0.16588087655178965;0.16665083420411878
Requisitons per number of slots;2;all;5; ;0.1660758658273795;0.16740579268140252;0.16787076710780907;0.16588087655178965;0.16695081770502623;0.16615586142762148;0.16729079900605467;0.16599087050212238;0.16733079680617566;0.1664508452035138
Requisitons per number of slots;3;all;1; ;0.4986175760333182;0.5006374649394283;0.5010724410157441;0.4996325202113884;0.4997725125118119;0.5010324432156231;0.4981626010569419;0.49806260655663936;0.5003324817135058;0.4989475578843164
Requisitons per number of slots;3;all;2; ;0.16696081715505648;0.16616086115263662;0.166860822654754;0.16652584107874066;0.16563589002604856;0.16683582402967836;0.16567088810115443;0.16781077040762757;0.16609586472743998;0.16633085180315083
Requisitons per number of slots;3;all;3; ;0.1673357965311908;0.16636085015324156;0.16656583887886167;0.16718580478073705;0.1678957657328847;0.1659108749018804;0.16782576958267295;0.16675582842943637;0.16679082650454224;0.16743079130647814
Requisitons per number of slots;3;all;5; ;0.16708581028043457;0.1668408237546935;0.16550089745064023;0.16665583392913388;0.1666958317292549;0.1662208578528181;0.16834074125923074;0.16737079460629664;0.166780827054512;0.16729079900605467
Requisitons per number of slots;4;all;1; ;0.5018823964681942;0.5004324762138083;0.5007274599897006;0.5006874621895796;0.49838258895760734;0.5006424646644435;0.50050247236402;0.5014024228667423;0.500142492162931;0.500142492162931
Requisitons per number of slots;4;all;2; ;0.16729079900605467;0.16633585152816596;0.1673357965311908;0.16635585042822645;0.167425791581463;0.16789076600786956;0.16699581523016235;0.16722080285584293;0.16585587792671402;0.1654808985505797
Requisitons per number of slots;4;all;3; ;0.16550589717565534;0.1669658168800716;0.1661208633525156;0.16735079570623615;0.1660508672023039;0.16523591202483864;0.16658083805390703;0.1652259125748084;0.1665508397038163;0.1672757998310093
Requisitons per number of slots;4;all;5; ;0.16532090735009575;0.1662658553779542;0.16581588012659304;0.16560589167595782;0.16814075225862576;0.16623085730284834;0.16592087435191064;0.16615086170260635;0.16745079020653864;0.16710080945547995

Requisitons per number of slots per link;1;<2-1>;1; ;0.49891920020815406;0.501376723398312;0.5033714834527192;0.5001993938427182;0.5015983057958564;0.5024541901172613;0.4990003798556549;0.49845089487140926;0.5003042727880366;0.4991131925069749
Requisitons per number of slots per link;1;<2-1>;2; ;0.16471188679622922;0.1667231987868872;0.16426227540117652;0.1681189184877971;0.167022955666993;0.16504553497345875;0.16790619564565465;0.16690229107133905;0.1673500334201259;0.16907134316460742
Requisitons per number of slots per link;1;<2-1>;3; ;0.16830454536356904;0.16623436221792134;0.1639921565488815;0.1669724038921678;0.16451561344974328;0.16379594733737868;0.16675663247965772;0.1669323707825738;0.1651053980985445;0.16579314467915504
Requisitons per number of slots per link;1;<2-1>;5; ;0.1680643676320477;0.16566571559687943;0.16837408459722278;0.16470928377731694;0.16686312508740736;0.16870432757190126;0.16633679201903276;0.1677144432746779;0.16724029569329302;0.16602231964926265
Requisitons per number of slots per link;1;<1-2>;1; ;0.5033821251935855;0.49683782185561226;0.5017840187896657;0.4996439567934047;0.4996746909564086;0.5008901958430855;0.5007852120072419;0.5016255135825123;0.4999799542957944;0.49788762782109564
Requisitons per number of slots per link;1;<1-2>;2; ;0.16464005595244044;0.16711936094935503;0.16742791464694418;0.16706951367506795;0.1671988388969521;0.1659365060313269;0.16709511568123395;0.16595197255574615;0.16530689973138757;0.16947145537927366
Requisitons per number of slots per link;1;<1-2>;3; ;0.16682819603337162;0.16721958846581741;0.16413972315226624;0.16705948428896666;0.16663830639107152;0.16526635859889174;0.16479449451351866;0.16568271570465515;0.16626909353325584;0.16414285857643174
Requisitons per number of slots per link;1;<1-2>;5; ;0.1651496228206025;0.16882322872921532;0.1666483434111239;0.1662270452425607;0.1664881637555678;0.1679069395266959;0.16732517779800546;0.16673979815708645;0.1684440524395622;0.16849805822319897
Requisitons per number of slots per link;2;<2-1>;1; ;0.5031187724192906;0.5021751032800756;0.4973444613050076;0.5003707934980859;0.5019106627954543;0.5007861084128621;0.5001898253606681;0.5008766568815061;0.5019241341396372;0.49952434835724946
Requisitons per number of slots per link;2;<2-1>;2; ;0.1664308489438023;0.16595490518142453;0.16802771344141842;0.16635600184394606;0.16642222155706546;0.16467218778477655;0.16518802701514607;0.16397992205267956;0.1672747263731321;0.16676847280774662
Requisitons per number of slots per link;2;<2-1>;3; ;0.16467716221602233;0.16436215220745606;0.16760841785799857;0.16687711703044517;0.164336955111896;0.16789673439549765;0.16665667585821045;0.16939014737854546;0.16402618821530313;0.16640797893113565
Requisitons per number of slots per link;2;<2-1>;5; ;0.16577321642088483;0.16750783933104374;0.16701940739557544;0.1663960876275229;0.16733016053558422;0.16664496940686369;0.16796547176597532;0.16575327368726894;0.16677495127192762;0.1672991999038683
