Metrics;LoadPoint;link;spectrum size (c); ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Relative Fragmentation per spectrum size (c);1;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);1;all;2; ;0.08448950917472249;0.0847784822858067;0.08468218214123363;0.08710068787499946;0.0826953398760332;0.08384835084023606;0.08586931473873825;0.08581146230827176;0.08354042239634021;0.08706756246348642
Relative Fragmentation per spectrum size (c);1;all;3; ;0.011483912658569106;0.011431493073606382;0.01162745746953802;0.011857951484933092;0.010809191767691744;0.011621751850591569;0.011769212178231486;0.011800721797673693;0.011197094345320244;0.012141386773753149
Relative Fragmentation per spectrum size (c);1;all;5; ;0.28440165325312466;0.28561013854855977;0.2837308190711963;0.29185154929796076;0.27936178286154695;0.282363082546585;0.28899733843526926;0.28716210424354355;0.2822999037833658;0.29093156791222624
Relative Fragmentation per spectrum size (c);2;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);2;all;2; ;0.1538094477135962;0.15441632619708118;0.15634556045066425;0.1543378780105343;0.15502962441328633;0.15560976840341065;0.15591399656960991;0.1554569679056402;0.15557277097789743;0.15450848743366877
Relative Fragmentation per spectrum size (c);2;all;3; ;0.03987263524011638;0.04005973099021196;0.04230321150551841;0.038848944201418115;0.04007595127823815;0.040088545354447;0.04041228779210257;0.04113006901602032;0.04094199333489138;0.03944343847700521
Relative Fragmentation per spectrum size (c);2;all;5; ;0.4450223677943486;0.44527192136150096;0.447166634225844;0.4485163541037251;0.4484580069001912;0.45078109387278315;0.45156523499592155;0.4461136045370384;0.4482038707647872;0.4476816567804817
Relative Fragmentation per spectrum size (c);3;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);3;all;2; ;0.2227448372785994;0.222776366453008;0.22141560459497042;0.21953557038151678;0.22625180033920703;0.21692093826311998;0.22059190795683573;0.2249030834607562;0.221098948114493;0.2226382829471949
Relative Fragmentation per spectrum size (c);3;all;3; ;0.07139913504621495;0.07066842588087766;0.07074460793056397;0.07141433211337142;0.07514771488503165;0.06912333531468833;0.06983570199793261;0.07123811348591759;0.06936213854901248;0.07149832298864563
Relative Fragmentation per spectrum size (c);3;all;5; ;0.6017326443993349;0.6036596403758459;0.5994054403778774;0.59347213419901;0.6039308905254939;0.5884496632013794;0.5992878227978949;0.6097395437030675;0.600644015714088;0.5996827097441568
Relative Fragmentation per spectrum size (c);4;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);4;all;2; ;0.27499225545665784;0.2737084056869816;0.2687466047925135;0.2758817953294985;0.27372788634457845;0.27169122387801425;0.2677245292293294;0.27112652412542687;0.2753381353979497;0.2712172939806262
Relative Fragmentation per spectrum size (c);4;all;3; ;0.10387049668576342;0.10385909959883695;0.09983113944249411;0.11025666483560216;0.10549453755272527;0.10111162175971591;0.10260934199889654;0.10501155358667912;0.10627828090251536;0.10619681771504588
Relative Fragmentation per spectrum size (c);4;all;5; ;0.6870602856652873;0.6802130262422142;0.6770777694261251;0.6762351705160523;0.6777772709848577;0.6820543572736179;0.6676328423092948;0.6725491732242934;0.6859092371357598;0.671041142327523


