Metrics;LoadPoint;link;spectrum size (c); ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Relative Fragmentation per spectrum size (c);1;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);1;all;2; ;0.08472427278595128;0.08370978989943491;0.08629170703078971;0.08441041201924027;0.08464827896713925;0.0865515552559772;0.08554740634711343;0.08510954550633007;0.08639094331454063;0.08660196725237318
Relative Fragmentation per spectrum size (c);1;all;3; ;0.011411354114121485;0.011221694237931923;0.011849115842033704;0.011655420200270198;0.01137138474891164;0.011883046216137767;0.011539387754150745;0.011635001375466247;0.01203074432579768;0.011985705571367343
Relative Fragmentation per spectrum size (c);1;all;5; ;0.2977522506448994;0.29650041295539575;0.30121601552996646;0.2963397028942199;0.2972672940388675;0.3021647305069263;0.29999328993528956;0.2985282400039785;0.30250769596093147;0.3020579862445652
Relative Fragmentation per spectrum size (c);2;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);2;all;2; ;0.15913196617176414;0.15922203228956297;0.15950011089418528;0.16112781342941884;0.16006087092218135;0.15952738923811569;0.15924187220376496;0.1614848653841802;0.16000679001896856;0.158695710377468
Relative Fragmentation per spectrum size (c);2;all;3; ;0.04012463350031264;0.040455195848955045;0.04024118680722495;0.04127011924607054;0.040878465998808046;0.04019223729810471;0.03985263598413503;0.041235710076731276;0.04022665440212894;0.0394633579040335
Relative Fragmentation per spectrum size (c);2;all;5; ;0.4692437975680527;0.4702834096716382;0.47301119357203386;0.4753525534419106;0.4745885388240266;0.47076167364185023;0.4723618562138421;0.4793448322821506;0.4756969982676693;0.46750738993188395
Relative Fragmentation per spectrum size (c);3;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);3;all;2; ;0.21931292764688634;0.2184245213632114;0.21967005179908144;0.22112601871221094;0.2201532887024203;0.21899209131525568;0.21980961036451052;0.21871395301912686;0.21812830869141167;0.2201244551043998
Relative Fragmentation per spectrum size (c);3;all;3; ;0.07094914051747495;0.07004250513323314;0.06980621883241733;0.07218073641013352;0.07224238147028664;0.07149017455742585;0.07211482061136956;0.07100560981276996;0.07130070713850986;0.07028724931961655
Relative Fragmentation per spectrum size (c);3;all;5; ;0.6058696740830983;0.6052876235501994;0.6118344170428403;0.6086960540938613;0.6039153494322665;0.6030232170581049;0.6044233571416748;0.605841731659887;0.600551441543556;0.6070226877233709
Relative Fragmentation per spectrum size (c);4;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);4;all;2; ;0.2641694155077933;0.26706837121366356;0.27388594361248575;0.2709976315887851;0.2725813578747207;0.2705956056160559;0.27136684314524756;0.2711609169096383;0.26709059544135016;0.2698452053481297
Relative Fragmentation per spectrum size (c);4;all;3; ;0.10041644983335608;0.10310714861157046;0.10686366943438294;0.10523745213358719;0.10511481655060956;0.1068654156209966;0.10787214911743374;0.1074015970849989;0.10446365143151104;0.10611120864918595
Relative Fragmentation per spectrum size (c);4;all;5; ;0.6748100989991136;0.6784272231401386;0.6907502789448303;0.6820818461320893;0.6894721394269725;0.6792239585757625;0.6772385170682316;0.6795781183859279;0.6768277521048768;0.6795225152693448


