Metrics;LoadPoint;Bandwidth;src;dest; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
bandwidth blocking probability;1;all;all;all; ;0.01763692446915114;0.014500173692847902;0.016457145804806183;0.01488641254558961;0.01776098541441922;0.015706267035630776;0.013666425471331102;0.0148217577425919;0.014607526005668423;0.01660092464396839
bandwidth blocking probability;2;all;all;all; ;0.21731114963630072;0.219613952322485;0.2166089731088785;0.21504286877635437;0.22033248490621538;0.21748127003551074;0.22064724541694547;0.21565055409751338;0.21630116462690355;0.2163381052596698
bandwidth blocking probability;3;all;all;all; ;0.32593715185180133;0.3271729997740531;0.3295025555811843;0.32690715968268463;0.32565636774450224;0.331815245383786;0.33129150621548276;0.3320769558109014;0.3300716366616439;0.3271045909673205
bandwidth blocking probability;4;all;all;all; ;0.4229319149484877;0.4212808949121979;0.4249408472054187;0.42247800408357916;0.42378606131404845;0.42377817892701386;0.42411604662485847;0.42430271338210546;0.4230407773304899;0.4250515369762663


bandwidth blocking probabilities per pair;1;all;5;4; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;4;3; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;3;2; ;0.0060984052699090885;6.990075668098795E-4;0.0059030324640963385;0.007401718886307711;0.003945078404293425;0.0031477084273859005;0.002042115501885226;0.012071552832422417;0.00263482367476554;0.006013836836492965
bandwidth blocking probabilities per pair;1;all;2;3; ;0.005949364643174558;0.006539769843670968;0.005632417063413617;0.0011431101127021058;0.0046594620602116105;0.0027204766811697537;0.002061463244599889;0.0037619320889124255;0.0036857209089374127;0.002229843295386353
bandwidth blocking probabilities per pair;1;all;5;1; ;0.01808407503488994;0.012861335157703928;0.00793203433802208;0.013101828847869606;0.010668009375391998;0.007119862520590992;0.013251629359128747;0.008135342038851192;0.008683463271824147;0.009843825671290295
bandwidth blocking probabilities per pair;1;all;2;6; ;0.009855819750157573;0.004208356866972117;0.005760933598593827;0.00798972553644686;0.006444848177967319;0.007991503805259025;0.004308222961683111;0.005179187360745832;0.006372751426292697;0.005909244783149606
bandwidth blocking probabilities per pair;1;all;2;1; ;0.0021143270701051513;0.003080757519242832;0.0030642116403738168;0.0020392519219531464;0.005273066767840983;0.0017557215536792945;0.004916578976527213;0.005663815377723483;0.006243571009790829;0.00448599846259108
bandwidth blocking probabilities per pair;1;all;6;2; ;0.007037360920865654;0.013737136874588256;0.0049345454325482405;0.0071740794725298415;0.006354321969354583;0.00895947644660102;0.006977522719402142;0.00694495302852539;0.006002263448713062;0.007705931730310911
bandwidth blocking probabilities per pair;1;all;1;6; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;5;2; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;3;6; ;0.07776303873593945;0.05273531727757728;0.07603415078156942;0.06915321220978538;0.07524864212209578;0.06127705045653569;0.061551151246701435;0.059936640373382845;0.059103364219719956;0.07062042145622381
bandwidth blocking probabilities per pair;1;all;4;5; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;6;5; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;1;4; ;0.06827475537453101;0.0727887675263429;0.06448185026975034;0.05113718922296743;0.07353707294913986;0.06843689926669526;0.041365828647788996;0.06677055551053165;0.0710597217588624;0.06547052799059162
bandwidth blocking probabilities per pair;1;all;4;1; ;0.07682739276296381;0.04800341248118217;0.06140119014348252;0.06340911001370032;0.07960301656201085;0.057311819253785916;0.07471396321136695;0.049557352732024565;0.06273471666633632;0.06605954620459019
bandwidth blocking probabilities per pair;1;all;4;6; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;3;5; ;0.01815021914193477;0.008072535353969778;0.011957112448805691;0.01196916662542579;0.020085643870320108;0.009178886685103567;0.015580403794591972;0.011954029009731195;0.005811372577031068;0.015806078016609465
bandwidth blocking probabilities per pair;1;all;2;5; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;5;6; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;6;4; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;1;5; ;0.014534774046296358;0.008652140525234232;0.013737668303842961;0.013252462663228411;0.009865722060583105;0.014591213464448787;0.008901798933380453;0.011034220254581641;0.010124381451692243;0.009372632457760549
bandwidth blocking probabilities per pair;1;all;3;4; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;4;2; ;0.012308061705991392;0.0036769205941385706;0.009352946527841709;0.007810341935630996;0.009571983989451532;0.004926390312363603;0.0102853130827955;0.008738085447481688;0.008510893238497253;0.010997468715285312
bandwidth blocking probabilities per pair;1;all;5;3; ;0.010880990875157372;0.016534740793890494;0.00921142953738497;0.009012281173194683;0.013163067931946992;0.012056670705540307;0.01194427123303482;0.0098157046906716;0.011552591798327919;0.01718859470582803
bandwidth blocking probabilities per pair;1;all;1;2; ;0.006228051623369532;0.004661161368246421;0.0048067680586356696;0.0024480439086729173;0.00240834147937231;0.005919826640625098;0.002852395231231552;0.004256133015658264;0.0032327814098122984;0.003530033385392653
bandwidth blocking probabilities per pair;1;all;3;1; ;0.060642235006816925;0.042714798695675044;0.07045710733603731;0.07206805186145053;0.06811197284366931;0.05465560725991386;0.06600641515832943;0.052512914917922135;0.054089119197569445;0.05782052627149016
bandwidth blocking probabilities per pair;1;all;1;3; ;0.05956684528840425;0.06723963808886856;0.05771583218628526;0.04624100189201207;0.06444941603989238;0.07612892471719555;0.03756636643788928;0.05739753898794605;0.05609325495854558;0.06844296407752772
bandwidth blocking probabilities per pair;1;all;2;4; ;0.00966758395812049;0.009171340918313042;0.0113852442778758;0.004270393406389464;0.00753418052239763;0.006217202036494352;0.005852258210666892;0.011559774604865104;0.01014790494116727;0.009985782831131327
bandwidth blocking probabilities per pair;1;all;6;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;6;3; ;0.06418748437427103;0.0639103517581086;0.07037782071494758;0.05789726553798721;0.0680180098259056;0.07241775505711215;0.038173452534341075;0.0629951784896469;0.05098060425723843;0.06854563857924216
bandwidth blocking probabilities per pair;2;all;5;4; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;2;all;4;3; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;2;all;3;2; ;0.04346356058511994;0.039441227451078927;0.04472941427568627;0.0503195634358615;0.05638892586402459;0.04520375587132732;0.050361122204092564;0.053206804638130156;0.07076056830927957;0.04739912887878466
bandwidth blocking probabilities per pair;2;all;2;3; ;0.05291012684031064;0.045642793736737235;0.05817889584270277;0.06439697040356271;0.05674061646424764;0.058475262003160194;0.04398844973473424;0.04735776970937525;0.05510548386981827;0.053184524817686686
bandwidth blocking probabilities per pair;2;all;5;1; ;0.2601406717459593;0.24041784537347127;0.2534023692021663;0.23381912595424553;0.2699580414173103;0.25099692034190657;0.23655077652688156;0.2429088296206118;0.2569994572576632;0.2586136577258916
bandwidth blocking probabilities per pair;2;all;2;6; ;0.1234543850928373;0.13516066254630055;0.10813120255007276;0.14062113379275767;0.13270661412700052;0.14325819927289615;0.12426649121887681;0.1163607515315941;0.11703767559853695;0.13101143552088332
bandwidth blocking probabilities per pair;2;all;2;1; ;0.0641175123601908;0.05801663801867598;0.04247787877221953;0.04288454089021641;0.04163117461709041;0.057372433353621057;0.049339435776259565;0.06250698757578346;0.043825854254645684;0.06659543043327823
bandwidth blocking probabilities per pair;2;all;6;2; ;0.12210434077966267;0.13786679719362738;0.1409723550835016;0.12586587718791287;0.13947104792404538;0.14794733470604537;0.13041958116000196;0.1266948661951594;0.1362558114819399;0.14013709180896755
bandwidth blocking probabilities per pair;2;all;1;6; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;2;all;5;2; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;2;all;3;6; ;0.7965521608362275;0.8314033226259991;0.8087537627728931;0.8163736890914959;0.8154279524191053;0.8198676497739139;0.8383399966814313;0.8031186002938683;0.7952791602120508;0.8315857556906234
bandwidth blocking probabilities per pair;2;all;4;5; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;2;all;6;5; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;2;all;1;4; ;0.8242469980963594;0.8170497336901607;0.8250787745943828;0.8293960697108008;0.8067583619862057;0.8243627006971544;0.8189734972864807;0.8132162540095096;0.8002278932043251;0.8144466955803421
bandwidth blocking probabilities per pair;2;all;4;1; ;0.8141553628308231;0.8026022127145283;0.8142113538176794;0.8205722827418976;0.8204684787741692;0.8130099195487043;0.8222058448206178;0.8207227928693417;0.811031153928373;0.8312167155885611
