Metrics;LoadPoint;Bandwidth;src;dest; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
blocking probability;1;all;all;all; ;0.017874637608717384;0.013765870238928321;0.017084874537638708;0.015095471358592422;0.017824652604218734;0.015685294411676497;0.014355693292012396;0.014585624312706187;0.014485654303708887;0.01587523742877137
blocking probability;2;all;all;all; ;0.21720483854843547;0.22009397180845747;0.21550534839548136;0.2157852644206738;0.2222333300009997;0.21639508147555733;0.22005398380485855;0.2169449165250425;0.21662501249625113;0.21610516844946517
blocking probability;3;all;all;all; ;0.32587223832850143;0.3294511646506048;0.33036089173248023;0.32732180345896233;0.3249725082475257;0.3303808857342797;0.32973108067579726;0.3314405678296511;0.32879136259122266;0.3239228231530541
blocking probability;4;all;all;all; ;0.4220333899830051;0.42351294611616513;0.42532240327901627;0.4217734679596121;0.42610216934919526;0.4247825652304309;0.42381285614315706;0.42235329401179644;0.42228331500549837;0.42534239728081574


blocking probability lack of transmitters;1;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability lack of transmitters;2;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability lack of transmitters;3;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability lack of transmitters;4;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0


blocking probability lack of receivers;1;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability lack of receivers;2;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability lack of receivers;3;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability lack of receivers;4;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0


blocking probability fragmentation;1;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability fragmentation;2;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
