Metrics;LoadPoint;link;spectrum size (c); ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Relative Fragmentation per spectrum size (c);1;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);1;all;2; ;0.09815580120823941;0.0949800317518992;0.09876122910495158;0.09666399795782483;0.09756272816852343;0.09769672869859954;0.09590862722898919;0.09402133171925654;0.09572040456304924;0.09689055311332591
Relative Fragmentation per spectrum size (c);1;all;3; ;0.013255999875686944;0.01189970157695261;0.01298137428257828;0.01223352736337611;0.012937070894180898;0.012472332293041948;0.012239528207414386;0.011786555137103557;0.01212429405723643;0.01237476015002371
Relative Fragmentation per spectrum size (c);1;all;5; ;0.31974694657193614;0.31322737812855617;0.3205256471241074;0.31659877657644037;0.3180013205716523;0.3189224121483988;0.31520394532538476;0.310187146463623;0.31427621224611507;0.31781127063876086
Relative Fragmentation per spectrum size (c);2;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);2;all;2; ;0.17602581882443868;0.1751101123210137;0.17433375344576915;0.1748186154814263;0.17761357802637898;0.17586504396321137;0.17629698691014856;0.17697374502920604;0.17863796029090906;0.17638015509903462
Relative Fragmentation per spectrum size (c);2;all;3; ;0.043617127796205454;0.0419208482573463;0.04217954767158403;0.042497919545746304;0.044269434251933464;0.04308748539040491;0.043192575062983976;0.04383862180113731;0.045357705813497594;0.0436225774978085
Relative Fragmentation per spectrum size (c);2;all;5; ;0.49391677903744835;0.4934755999592891;0.49163865146453267;0.49164028337997423;0.49639402625216206;0.49505664580677133;0.49497064591234996;0.49603488016088887;0.49737121682324587;0.4939635500852333
Relative Fragmentation per spectrum size (c);3;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);3;all;2; ;0.2614061350782965;0.25505123163180804;0.26208409835592605;0.2595871329990686;0.2595688955248603;0.256014904728262;0.25781275824940486;0.2608774314481838;0.2567208275294208;0.25991611671703624
Relative Fragmentation per spectrum size (c);3;all;3; ;0.07743082780802782;0.07313764298292183;0.07684051142293635;0.07688244344081965;0.07447491635900057;0.07558710991965062;0.07409133145551196;0.07648711043990777;0.07456364152552551;0.07711831444876611
Relative Fragmentation per spectrum size (c);3;all;5; ;0.6946061807756942;0.6844621115217716;0.6986876452125342;0.6912044783544988;0.6978420010150602;0.6863380614809333;0.6913085259803651;0.6982574621022147;0.686614381356312;0.6931917308681526
Relative Fragmentation per spectrum size (c);4;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);4;all;2; ;0.32294693414651393;0.327622331837257;0.3297253258630142;0.32820675726950954;0.3284494956641834;0.327034246682151;0.3265106411697941;0.32409562373707085;0.3251318437481392;0.3275850218042264
Relative Fragmentation per spectrum size (c);4;all;3; ;0.11565587822844642;0.1163959614428715;0.11719354314693675;0.11716910396597749;0.11753858077688184;0.11443088550907886;0.11711218979854081;0.11430776700466713;0.11399336882999928;0.1164444685501552
Relative Fragmentation per spectrum size (c);4;all;5; ;0.8022423293019418;0.8095292919321014;0.8105715734932459;0.8080655323188805;0.8102908384831145;0.8095513055669546;0.803382592886449;0.8013994234365758;0.8064102110500823;0.8111417294215711


