Metrics;LoadPoint;Bandwidth;src;dest; ;rep1;rep2;rep3;rep4;rep5
bandwidth blocking probability;1;all;all;all; ;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probability;2;all;all;all; ;0.040447769260039165;0.02032538378505506;0.02890193815731517;0.030527860610439016;0.00764452038425545
bandwidth blocking probability;3;all;all;all; ;0.1692553048947918;0.1909113539959661;0.1879808938353004;0.18264117532760354;0.16536679167883103


bandwidth blocking probabilities per pair;1;all;6;1; ;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;4;6; ;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;3;5; ;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;2;5; ;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;5;3; ;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;3;2; ;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;2;4; ;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;6;4; ;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;2;3; ;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;5;4; ;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;4;2; ;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;5;1; ;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;1;3; ;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;1;6; ;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;4;3; ;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;5;2; ;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;4;1; ;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;3;1; ;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;6;2; ;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;2;1; ;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;3;6; ;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;4;5; ;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;5;6; ;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;1;4; ;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;3;4; ;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;1;5; ;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;2;6; ;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;6;3; ;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;1;2; ;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;6;5; ;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;2;all;6;1; ;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;2;all;4;6; ;0.21332042464972906;0.025307135361488417;0.16387210018441198;0.16333887581199655;5.892853147493941E-4
bandwidth blocking probabilities per pair;2;all;3;5; ;0.01523131895063009;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;2;all;2;5; ;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;2;all;5;3; ;0.017987609976627492;0.012394790964558247;5.747415255639175E-4;0.0;0.007186020202697962
bandwidth blocking probabilities per pair;2;all;3;2; ;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;2;all;2;4; ;0.043580580761918786;0.0;0.010842392219356612;0.026227976509479056;0.0
bandwidth blocking probabilities per pair;2;all;6;4; ;0.13711678525897505;0.10760165952493482;0.07264398816908983;0.1301841850177308;0.058280860690239376
bandwidth blocking probabilities per pair;2;all;2;3; ;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;2;all;5;4; ;0.023213357500275922;0.0013320641685518832;0.0;0.0;0.0
bandwidth blocking probabilities per pair;2;all;4;2; ;0.010179835079863123;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;2;all;5;1; ;0.0037140913501423367;0.015063534990692897;0.01881338994239595;0.050045463526471864;0.0
bandwidth blocking probabilities per pair;2;all;1;3; ;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;2;all;1;6; ;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;2;all;4;3; ;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;2;all;5;2; ;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;2;all;4;1; ;0.1800557785806313;0.07153591068375548;0.2153972812812638;0.13774389120789277;0.025346298643237335
bandwidth blocking probabilities per pair;2;all;3;1; ;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;2;all;6;2; ;0.03306958703894499;0.0;0.006934006770593492;0.01827203316237428;0.006699373125249466
bandwidth blocking probabilities per pair;2;all;2;1; ;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;2;all;3;6; ;0.10989150559810747;0.028616804189668884;0.1785324797161621;0.10960562638257544;0.0022191160077716108
bandwidth blocking probabilities per pair;2;all;4;5; ;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;2;all;5;6; ;0.006051361273630014;0.006315902703943794;0.0;0.009962757070246573;0.0
bandwidth blocking probabilities per pair;2;all;1;4; ;0.18917908754658888;0.24316793327586816;0.0988156556395587;0.07205836377892401;0.09392340368153831
bandwidth blocking probabilities per pair;2;all;3;4; ;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;2;all;1;5; ;0.02268910994723091;0.0;0.011700542466836966;0.027311498966083893;0.0
bandwidth blocking probabilities per pair;2;all;2;6; ;0.002248704563960433;4.0354091013608887E-4;0.03891336224393024;0.05053500646580108;0.0
bandwidth blocking probabilities per pair;2;all;6;3; ;0.18284538418782276;0.0998814008525975;0.0744711312405714;0.10807686179696066;0.037784676894886
