Metrics;LoadPoint;link;spectrum size (c); ;rep1;rep2;rep3;rep4;rep5
Relative Fragmentation per spectrum size (c);1;all;1; ;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);1;all;2; ;0.026320022665045816;0.02504484524308279;0.02388419048754548;0.023356439928183422;0.02724030285957701
Relative Fragmentation per spectrum size (c);1;all;3; ;0.04422586013728761;0.04261298926562763;0.04171147713310339;0.04042781736064594;0.046932151252384216
Relative Fragmentation per spectrum size (c);1;all;5; ;0.07549185905355085;0.07309026317789957;0.07059002045412303;0.0677912858775631;0.0799716111659491
Relative Fragmentation per spectrum size (c);2;all;1; ;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);2;all;2; ;0.14604829893188204;0.10975068474034491;0.11723166198553302;0.1314080562079001;0.1171922986715963
Relative Fragmentation per spectrum size (c);2;all;3; ;0.21315464353731378;0.16903559464093934;0.17114100994706719;0.19250129657745454;0.17733087697020145
Relative Fragmentation per spectrum size (c);2;all;5; ;0.30451665415955187;0.2527945469429311;0.2592065557970792;0.2746368318920866;0.25507311709011443
Relative Fragmentation per spectrum size (c);3;all;1; ;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);3;all;2; ;0.2150871224785209;0.22492728684159333;0.2390450689972426;0.23257980792507366;0.21854207321780816
Relative Fragmentation per spectrum size (c);3;all;3; ;0.28864305225801895;0.29966150500319044;0.3133274399699058;0.30407441343395836;0.2942395976728943
Relative Fragmentation per spectrum size (c);3;all;5; ;0.3759462307665005;0.3961892311917814;0.401376309974723;0.3960909483536915;0.3856806241415177


