Metrics;load point;link;number of slots;slot; ;rep1;rep2;rep3;rep4;rep5
Requisitons per number of slots;1;all;3;-; ;0.04017946161515454;0.03369890329012961;0.03280159521435693;0.034596211365902296;0.03678963110667996
Requisitons per number of slots;1;all;4;-; ;0.06271186440677966;0.05563310069790628;0.052642073778664006;0.06041874376869392;0.06390827517447657
Requisitons per number of slots;1;all;5;-; ;0.08045862412761715;0.0703888334995015;0.07008973080757727;0.06929212362911266;0.0748753738783649
Requisitons per number of slots;1;all;6;-; ;0.08634097706879362;0.07866400797607179;0.0794616151545364;0.07647058823529412;0.08424725822532403
Requisitons per number of slots;1;all;7;-; ;0.08873379860418744;0.08594217347956132;0.08414755732801595;0.07836490528414755;0.08295114656031904
Requisitons per number of slots;1;all;8;-; ;0.08504486540378864;0.08554336989032901;0.08344965104685942;0.08524426719840479;0.08504486540378864
Requisitons per number of slots;1;all;9;-; ;0.08165503489531406;0.0744765702891326;0.08823529411764706;0.08025922233300099;0.07916251246261216
Requisitons per number of slots;1;all;10;-; ;0.072382851445663;0.06450648055832503;0.08364905284147557;0.07637088733798604;0.07507477567298106
Requisitons per number of slots;1;all;11;-; ;0.06410767696909273;0.061914257228315055;0.0773678963110668;0.06221335992023928;0.06839481555333998
Requisitons per number of slots;1;all;12;-; ;0.059122632103688934;0.05812562313060818;0.07108673978065802;0.05633100697906281;0.05543369890329013
Requisitons per number of slots;1;all;13;-; ;0.04865403788634098;0.05024925224327019;0.06211365902293121;0.04406779661016949;0.05134596211365902
Requisitons per number of slots;1;all;14;-; ;0.04376869391824526;0.04386839481555334;0.04805583250249252;0.03649052841475573;0.04915254237288136
Requisitons per number of slots;1;all;15;-; ;0.035792622133599204;0.0353938185443669;0.03509471585244267;0.0325024925224327;0.04207377866400797
Requisitons per number of slots;1;all;16;-; ;0.031306081754735794;0.02951146560319043;0.02901296111665005;0.030807577268195413;0.03958125623130608
Requisitons per number of slots;1;all;17;-; ;0.026221335992023927;0.0292123629112662;0.02193419740777667;0.03090727816550349;0.02901296111665005
Requisitons per number of slots;1;all;18;-; ;0.022831505483549352;0.027218344965104686;0.015952143569292122;0.024626121635094717;0.02003988035892323
Requisitons per number of slots;1;all;19;-; ;0.0193419740777667;0.023429710867397806;0.013060817547357927;0.01984047856430708;0.011864406779661017
Requisitons per number of slots;1;all;20;-; ;0.012362911266201395;0.02003988035892323;0.010568295114656031;0.017547357926221335;0.011864406779661017
Requisitons per number of slots;1;all;21;-; ;0.010269192422731804;0.01794616151545364;0.008574277168494517;0.015453639082751745;0.011964107676969093
Requisitons per number of slots;1;all;22;-; ;0.00847457627118644;0.01226321036889332;0.007876370887337987;0.01156530408773679;0.008374875373878364
Requisitons per number of slots;1;all;23;-; ;0.007178464606181456;0.01226321036889332;0.006580259222333001;0.009970089730807577;0.0055832502492522435
Requisitons per number of slots;1;all;24;-; ;0.004785643070787637;0.011266201395812562;0.0058823529411764705;0.012462612163509471;0.0032901296111665004
Requisitons per number of slots;1;all;25;-; ;0.003389830508474576;0.007676969092721834;0.0036889332003988036;0.010169491525423728;0.0032901296111665004
Requisitons per number of slots;1;all;26;-; ;0.001794616151545364;0.00518444666001994;0.0027916251246261218;0.008175473579262214;0.0023928215353938185
Requisitons per number of slots;1;all;27;-; ;0.0011964107676969093;0.0023928215353938185;9.970089730807576E-4;0.004985044865403789;7.976071784646061E-4
Requisitons per number of slots;1;all;28;-; ;9.970089730807576E-4;0.001694915254237288;8.97308075772682E-4;0.003589232303090728;0.0013958125623130609
Requisitons per number of slots;1;all;29;-; ;4.985044865403788E-4;7.976071784646061E-4;0.0010967098703888335;0.0028913260219341976;7.976071784646061E-4
Requisitons per number of slots;1;all;30;-; ;3.9880358923230307E-4;3.9880358923230307E-4;0.0011964107676969093;0.0015952143569292123;8.97308075772682E-4
Requisitons per number of slots;2;all;3;-; ;0.08464606181455633;0.054336989032901295;0.06370887337986042;0.07138584247258226;0.04456630109670987
Requisitons per number of slots;2;all;4;-; ;0.07547357926221336;0.05972083748753739;0.05453639082751745;0.06590229312063808;0.06151545363908275
Requisitons per number of slots;2;all;5;-; ;0.08833499501495513;0.08135593220338982;0.07298105682951146;0.08504486540378864;0.07876370887337986
Requisitons per number of slots;2;all;6;-; ;0.0909272183449651;0.07936191425722831;0.0740777666999003;0.08693918245264208;0.08374875373878365
Requisitons per number of slots;2;all;7;-; ;0.07966101694915254;0.073678963110668;0.0711864406779661;0.07467597208374875;0.08654037886340978
Requisitons per number of slots;2;all;8;-; ;0.08195413758723828;0.07278165503489531;0.07228315054835494;0.0785643070787637;0.08015952143569292
Requisitons per number of slots;2;all;9;-; ;0.07337986041874377;0.06440677966101695;0.06440677966101695;0.06959122632103688;0.07188434695912263
Requisitons per number of slots;2;all;10;-; ;0.06281156530408774;0.055732801595214355;0.059621136590229315;0.05304087736789631;0.06779661016949153
Requisitons per number of slots;2;all;11;-; ;0.058524426719840476;0.0580259222333001;0.05623130608175474;0.04576271186440678;0.06610169491525424
Requisitons per number of slots;2;all;12;-; ;0.041375872382851446;0.048155533399800596;0.04187437686939183;0.04715852442671984;0.056530408773678965
Requisitons per number of slots;2;all;13;-; ;0.03220338983050847;0.046161515453639085;0.03449651046859422;0.04346959122632104;0.04945164506480558
Requisitons per number of slots;2;all;14;-; ;0.026221335992023927;0.03878364905284148;0.029810568295114657;0.03788634097706879;0.036689930209371883
Requisitons per number of slots;2;all;15;-; ;0.026520438683948155;0.0321036889332004;0.026819541375872384;0.02831505483549352;0.0353938185443669
Requisitons per number of slots;2;all;16;-; ;0.023030907278165504;0.03090727816550349;0.023728813559322035;0.02711864406779661;0.03310069790628116
Requisitons per number of slots;2;all;17;-; ;0.02123629112662014;0.024426719840478565;0.02432701894317049;0.025124626121635095;0.027218344965104686
Requisitons per number of slots;2;all;18;-; ;0.0226321036889332;0.022931206380857428;0.023230309072781653;0.02073778664007976;0.02003988035892323
Requisitons per number of slots;2;all;19;-; ;0.016849451645064805;0.021036889332003986;0.018943170488534396;0.0160518444666002;0.017148554336989034
Requisitons per number of slots;2;all;20;-; ;0.01415752741774676;0.020239282153539383;0.01485543369890329;0.01296111665004985;0.014456630109670987
Requisitons per number of slots;2;all;21;-; ;0.014656031904287138;0.014057826520438684;0.011864406779661017;0.010667996011964108;0.0160518444666002
Requisitons per number of slots;2;all;22;-; ;0.01226321036889332;0.01106679960119641;0.012761714855433698;0.009072781655034895;0.011166500498504487
Requisitons per number of slots;2;all;23;-; ;0.011764705882352941;0.009770687936191427;0.01086739780658026;0.01106679960119641;0.010069790628115654
Requisitons per number of slots;2;all;24;-; ;0.008773678963110668;0.01036889332003988;0.009870388833499501;0.010667996011964108;0.009770687936191427
Requisitons per number of slots;2;all;25;-; ;0.006879361914257229;0.008075772681954137;0.00707876370887338;0.00967098703888335;0.008673978065802591
Requisitons per number of slots;2;all;26;-; ;0.007278165503489532;0.007577268195413759;0.007178464606181456;0.009072781655034895;0.00518444666001994
Requisitons per number of slots;2;all;27;-; ;0.004985044865403789;0.007178464606181456;0.006779661016949152;0.008175473579262214;0.002193419740777667
Requisitons per number of slots;2;all;28;-; ;0.003888334995014955;0.005483549351944167;0.006380857427716849;0.005982053838484547;0.0014955134596211367
Requisitons per number of slots;2;all;29;-; ;0.0024925224327018943;0.0055832502492522435;0.00777666999002991;0.005483549351944167;9.970089730807576E-4
Requisitons per number of slots;2;all;30;-; ;0.0018943170488534397;0.005982053838484547;0.01086739780658026;0.0058823529411764705;9.970089730807576E-4
Requisitons per number of slots;3;all;3;-; ;0.21804586241276172;0.23280159521435692;0.23728813559322035;0.23559322033898306;0.22073778664007976
Requisitons per number of slots;3;all;4;-; ;0.07068793619142573;0.07268195413758724;0.07517447657028914;0.08265204386839481;0.07497507477567299
Requisitons per number of slots;3;all;5;-; ;0.08673978065802593;0.10019940179461616;0.093419740777667;0.0909272183449651;0.08913260219341974
Requisitons per number of slots;3;all;6;-; ;0.07776669990029911;0.08773678963110668;0.08504486540378864;0.07866400797607179;0.07457627118644068
Requisitons per number of slots;3;all;7;-; ;0.07228315054835494;0.07168494516450648;0.07377866400797607;0.06620139581256232;0.07088733798604187
Requisitons per number of slots;3;all;8;-; ;0.07188434695912263;0.0584247258225324;0.06380857427716849;0.0650049850448654;0.06370887337986042
Requisitons per number of slots;3;all;9;-; ;0.05493519441674975;0.05024925224327019;0.05224327018943171;0.052342971086739784;0.04965104685942173
Requisitons per number of slots;3;all;10;-; ;0.04765702891326022;0.04187437686939183;0.042572283150548354;0.046161515453639085;0.041674975074775675
Requisitons per number of slots;3;all;11;-; ;0.041176470588235294;0.03629112662013958;0.03369890329012961;0.04047856430707877;0.03449651046859422
Requisitons per number of slots;3;all;12;-; ;0.03399800598205384;0.03399800598205384;0.0321036889332004;0.029810568295114657;0.03140578265204387
Requisitons per number of slots;3;all;13;-; ;0.028015952143569292;0.03090727816550349;0.029611166500498505;0.026021934197407778;0.02951146560319043
Requisitons per number of slots;3;all;14;-; ;0.02991026919242273;0.02362911266201396;0.022333000997008974;0.020438683948155532;0.028215353938185445
Requisitons per number of slots;3;all;15;-; ;0.022731804586241276;0.019641076769690926;0.02003988035892323;0.024825523429710866;0.026719840478564308
Requisitons per number of slots;3;all;16;-; ;0.020837487537387837;0.01415752741774676;0.019441674975074777;0.02193419740777667;0.022931206380857428
Requisitons per number of slots;3;all;17;-; ;0.01814556331006979;0.010468594217347957;0.012861415752741774;0.019142572283150548;0.015752741774675973
Requisitons per number of slots;3;all;18;-; ;0.01814556331006979;0.012761714855433698;0.01036889332003988;0.015453639082751745;0.019940179461615155
Requisitons per number of slots;3;all;19;-; ;0.014257228315054835;0.009770687936191427;0.010568295114656031;0.01106679960119641;0.018245264207377866
Requisitons per number of slots;3;all;20;-; ;0.01036889332003988;0.007477567298105683;0.009970089730807577;0.012063808574277168;0.014456630109670987
Requisitons per number of slots;3;all;21;-; ;0.008873379860418744;0.004685942173479562;0.011665004985044865;0.010468594217347957;0.013060817547357927
Requisitons per number of slots;3;all;22;-; ;0.009172482552342971;0.004386839481555334;0.010667996011964108;0.008075772681954137;0.010568295114656031
Requisitons per number of slots;3;all;23;-; ;0.0061814556331006975;0.003389830508474576;0.011964107676969093;0.005682951146560319;0.00707876370887338
Requisitons per number of slots;3;all;24;-; ;0.005682951146560319;0.0029910269192422734;0.009471585244267198;0.0058823529411764705;0.0037886340977068794
