Metrics;load point;node; ;rep1;rep2;rep3;rep4;rep5
Tx Utilization ;1;all; ;126.57547357926221;116.9714855433699;120.31565304087736;115.3481555333998;128.3887337986042
Tx Utilization ;2;all; ;264.4577268195414;228.89960119641077;225.67766699900298;237.30259222333;227.82891326021934
Tx Utilization ;3;all; ;333.77198404785645;344.40707876370885;347.3343968095713;356.4853439680957;342.08604187437686


Rx Utilization ;1;all; ;126.57547357926221;116.9714855433699;120.31565304087736;115.3481555333998;128.3887337986042
Rx Utilization ;2;all; ;264.4577268195414;228.89960119641077;225.67766699900298;237.30259222333;227.82891326021934
Rx Utilization ;3;all; ;333.77198404785645;344.40707876370885;347.3343968095713;356.4853439680957;342.08604187437686


Tx Utilization Per Node;1;1; ;17.43629112662014;19.215852442671984;18.141076769690926;17.528215353938187;20.790727816550348
Tx Utilization Per Node;1;2; ;22.000199401794617;18.67916251246261;21.01924227318046;19.93100697906281;19.64975074775673
Tx Utilization Per Node;1;3; ;20.133200398803588;18.880358923230308;21.4185443668993;19.5555333998006;19.536689930209374
Tx Utilization Per Node;1;4; ;23.30817547357926;18.409172482552343;19.49900299102692;19.77607178464606;22.024526420737786
Tx Utilization Per Node;1;5; ;20.374476570289133;19.607477567298105;20.86061814556331;20.561515453639082;21.74406779661017
Tx Utilization Per Node;1;6; ;23.323130608175475;22.179461615154537;19.37716849451645;17.99581256231306;24.64297108673978
Tx Utilization Per Node;2;1; ;42.406081754735794;38.9308075772682;29.97248255234297;37.05962113659023;39.83728813559322
Tx Utilization Per Node;2;2; ;46.479361914257225;38.139282153539384;38.556630109670984;40.314356929212366;35.93000997008973
Tx Utilization Per Node;2;3; ;44.46939182452642;37.07048853439681;35.514755732801596;35.92263210368893;32.53020937188435
Tx Utilization Per Node;2;4; ;43.753838484546364;37.662412761714855;41.47666999002991;39.89302093718843;38.64346959122632
Tx Utilization Per Node;2;5; ;38.359222333001;35.50697906281157;38.054336989032905;41.94596211365902;36.41256231306082
Tx Utilization Per Node;2;6; ;48.989830508474576;41.58963110667996;42.102791625124624;42.16699900299103;44.475373878364906
Tx Utilization Per Node;3;1; ;55.881954137587236;52.120937188434695;55.02851445663011;50.37986041874377;56.2777666999003
Tx Utilization Per Node;3;2; ;61.1160518444666;62.41515453639083;61.18624127617149;56.20777666999003;58.09641076769691
Tx Utilization Per Node;3;3; ;47.687337986041875;56.84047856430708;50.90787637088734;60.23399800598205;50.2357926221336
Tx Utilization Per Node;3;4; ;49.71954137587238;56.441774675972084;58.09312063808574;61.19551345962114;54.09531405782652
Tx Utilization Per Node;3;5; ;62.52482552342971;59.50179461615154;63.88913260219342;67.85523429710868;67.40687936191426
Tx Utilization Per Node;3;6; ;56.842273180458626;57.08693918245264;58.22951146560319;60.61296111665005;55.97387836490528


Rx Utilization Per Node;1;1; ;17.43629112662014;19.215852442671984;18.141076769690926;17.528215353938187;20.790727816550348
Rx Utilization Per Node;1;2; ;22.000199401794617;18.67916251246261;21.01924227318046;19.93100697906281;19.64975074775673
Rx Utilization Per Node;1;3; ;20.133200398803588;18.880358923230308;21.4185443668993;19.5555333998006;19.536689930209374
Rx Utilization Per Node;1;4; ;23.30817547357926;18.409172482552343;19.49900299102692;19.77607178464606;22.024526420737786
Rx Utilization Per Node;1;5; ;20.374476570289133;19.607477567298105;20.86061814556331;20.561515453639082;21.74406779661017
Rx Utilization Per Node;1;6; ;23.323130608175475;22.179461615154537;19.37716849451645;17.99581256231306;24.64297108673978
Rx Utilization Per Node;2;1; ;42.406081754735794;38.9308075772682;29.97248255234297;37.05962113659023;39.83728813559322
Rx Utilization Per Node;2;2; ;46.479361914257225;38.139282153539384;38.556630109670984;40.314356929212366;35.93000997008973
Rx Utilization Per Node;2;3; ;44.46939182452642;37.07048853439681;35.514755732801596;35.92263210368893;32.53020937188435
Rx Utilization Per Node;2;4; ;43.753838484546364;37.662412761714855;41.47666999002991;39.89302093718843;38.64346959122632
Rx Utilization Per Node;2;5; ;38.359222333001;35.50697906281157;38.054336989032905;41.94596211365902;36.41256231306082
Rx Utilization Per Node;2;6; ;48.989830508474576;41.58963110667996;42.102791625124624;42.16699900299103;44.475373878364906
Rx Utilization Per Node;3;1; ;55.881954137587236;52.120937188434695;55.02851445663011;50.37986041874377;56.2777666999003
Rx Utilization Per Node;3;2; ;61.1160518444666;62.41515453639083;61.18624127617149;56.20777666999003;58.09641076769691
Rx Utilization Per Node;3;3; ;47.687337986041875;56.84047856430708;50.90787637088734;60.23399800598205;50.2357926221336
Rx Utilization Per Node;3;4; ;49.71954137587238;56.441774675972084;58.09312063808574;61.19551345962114;54.09531405782652
Rx Utilization Per Node;3;5; ;62.52482552342971;59.50179461615154;63.88913260219342;67.85523429710868;67.40687936191426
Rx Utilization Per Node;3;6; ;56.842273180458626;57.08693918245264;58.22951146560319;60.61296111665005;55.97387836490528


Max Tx Utilization Per Node;1;1; ;28;31;35;34;35
Max Tx Utilization Per Node;1;2; ;33;29;35;28;37
Max Tx Utilization Per Node;1;3; ;33;28;39;35;38
Max Tx Utilization Per Node;1;4; ;45;46;45;37;51
Max Tx Utilization Per Node;1;5; ;32;43;41;36;48
Max Tx Utilization Per Node;1;6; ;48;34;37;37;50
Max Tx Utilization Per Node;2;1; ;57;59;58;61;55
Max Tx Utilization Per Node;2;2; ;78;58;61;59;51
Max Tx Utilization Per Node;2;3; ;64;52;60;52;59
Max Tx Utilization Per Node;2;4; ;67;54;66;56;60
Max Tx Utilization Per Node;2;5; ;69;63;59;69;49
Max Tx Utilization Per Node;2;6; ;70;73;73;61;51
Max Tx Utilization Per Node;3;1; ;80;68;78;69;77
Max Tx Utilization Per Node;3;2; ;73;85;68;76;81
Max Tx Utilization Per Node;3;3; ;74;77;67;80;69
Max Tx Utilization Per Node;3;4; ;71;81;80;82;79
Max Tx Utilization Per Node;3;5; ;74;79;74;78;80
Max Tx Utilization Per Node;3;6; ;77;77;80;84;77


Max Rx Utilization Per Node;1;1; ;26;31;31;29;35
Max Rx Utilization Per Node;1;2; ;41;32;36;25;39
Max Rx Utilization Per Node;1;3; ;32;29;43;30;36
Max Rx Utilization Per Node;1;4; ;45;39;44;42;44
Max Rx Utilization Per Node;1;5; ;33;35;29;42;43
Max Rx Utilization Per Node;1;6; ;40;45;46;45;59
Max Rx Utilization Per Node;2;1; ;58;54;61;50;57
Max Rx Utilization Per Node;2;2; ;66;52;56;58;56
Max Rx Utilization Per Node;2;3; ;56;65;59;55;58
Max Rx Utilization Per Node;2;4; ;77;79;65;59;58
Max Rx Utilization Per Node;2;5; ;64;58;63;56;56
Max Rx Utilization Per Node;2;6; ;78;64;81;81;47
Max Rx Utilization Per Node;3;1; ;64;67;72;76;73
Max Rx Utilization Per Node;3;2; ;70;75;73;73;69
Max Rx Utilization Per Node;3;3; ;72;75;65;75;80
Max Rx Utilization Per Node;3;4; ;76;71;75;81;85
Max Rx Utilization Per Node;3;5; ;93;82;91;82;86
Max Rx Utilization Per Node;3;6; ;73;91;65;85;82
