Metrics;LoadPoint;link;spectrum size (c); ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Relative Fragmentation per spectrum size (c);1;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);1;all;2; ;0.21038998869202227;0.20475766673309023;0.20673975286719207;0.2036486795994385;0.20327264865605796;0.20702943618388608;0.2080319022307251;0.20834414889666605;0.20421450992626117;0.20783336499751964
Relative Fragmentation per spectrum size (c);1;all;3; ;0.3425181312249365;0.34029125027758195;0.33842485305848624;0.3315641965644071;0.337012989405905;0.3478874573152344;0.3408036159388502;0.34098729415920165;0.33552982301407264;0.34424748636905556
Relative Fragmentation per spectrum size (c);1;all;5; ;0.4602341806642704;0.4597837102489317;0.45007555707596225;0.4452899327101475;0.45599394148349576;0.4631127016402169;0.46186144830811976;0.45434650088406664;0.44815483221544167;0.4623956221178722
Relative Fragmentation per spectrum size (c);2;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);2;all;2; ;0.3545328022390647;0.360420949408231;0.34462410724089015;0.35499264205794634;0.3466750255558793;0.3428342441648645;0.35112804973514183;0.352775597635957;0.3515086379630399;0.3516045992866318
Relative Fragmentation per spectrum size (c);2;all;3; ;0.5647315364563171;0.5690527192045342;0.5539488687459564;0.5616630162586309;0.5618598365534039;0.5552454064852657;0.5628737043961262;0.5602047174819624;0.55912149789974;0.5641279502141037
Relative Fragmentation per spectrum size (c);2;all;5; ;0.7446431325957836;0.7499187590598289;0.7331430520612859;0.7457971028886626;0.7349723997534527;0.733907102067529;0.7437780868245206;0.7403954350890739;0.7359762386640464;0.7507162457513543
Relative Fragmentation per spectrum size (c);3;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);3;all;2; ;0.44270266608462044;0.4436192751455273;0.439282245132178;0.45016694412972813;0.43475297053710854;0.44954274897634494;0.4491681142802487;0.4471225634194415;0.43891804540009244;0.44035618566880796
Relative Fragmentation per spectrum size (c);3;all;3; ;0.6844364112579999;0.6805160623432354;0.6803098748233782;0.6880504274539514;0.674272933665607;0.6827376064067766;0.6842649084062394;0.6809026073922776;0.6782398911461976;0.6777616056604079
Relative Fragmentation per spectrum size (c);3;all;5; ;0.8663455677353222;0.8687392480925048;0.865193344120414;0.8768729469110901;0.861389761697599;0.873637431280466;0.8712883853577719;0.8665718984412355;0.8637749750101144;0.8662967668219237


