Metrics;load point;node; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Tx Utilization ;1;all; ;300.0879094508659;299.9185697716274;299.18933727952646;297.5794304683438;300.0251169859617;301.25376954765426;299.86094668639765;298.62756469223694;299.37306523217217;299.69622645282567
Tx Utilization ;2;all; ;346.69656641203056;347.55511338639366;343.21339439267285;345.82769067711877;344.68992720873496;344.7204535455745;345.81903171619405;345.5929088509379;345.313052433708;347.1409930808303
Tx Utilization ;3;all; ;380.8454585449746;382.14153301603807;381.6188057433108;382.66107067151944;380.48542174939007;381.2698876134864;382.30716314042314;381.2939647242331;379.51738791345036;382.15428148622163


Rx Utilization ;1;all; ;300.0879094508659;299.9185697716274;299.18933727952646;297.5794304683438;300.0251169859617;301.25376954765426;299.86094668639765;298.62756469223694;299.37306523217217;299.69622645282567
Rx Utilization ;2;all; ;346.69656641203056;347.55511338639366;343.21339439267285;345.82769067711877;344.68992720873496;344.7204535455745;345.81903171619405;345.5929088509379;345.313052433708;347.1409930808303
Rx Utilization ;3;all; ;380.8454585449746;382.14153301603807;381.6188057433108;382.66107067151944;380.48542174939007;381.2698876134864;382.30716314042314;381.2939647242331;379.51738791345036;382.15428148622163


Tx Utilization Per Node;1;1; ;148.5908191017078;149.62295524537055;150.45695516538015;147.4278686557613;150.29968403791545;150.55900291964963;150.86090669119704;149.21848378194616;148.9189797224333;150.016458025037
Tx Utilization Per Node;1;2; ;151.4970903491581;150.29561452625686;148.7323821141463;150.1515618125825;149.72543294804623;150.69476662800463;149.00003999520058;149.40908091029075;150.45408550973883;149.67976842778867
Tx Utilization Per Node;2;1; ;173.11474623045234;174.093818741751;171.68590769107706;172.96184457865056;171.36261648602166;171.8925128984522;173.05357357117146;171.87636483621966;172.25893892732873;174.6037075550934
Tx Utilization Per Node;2;2; ;173.58182018157822;173.46129464464263;171.52748670159582;172.86584609846818;173.32731072271326;172.82794064712235;172.7654581450226;173.71654401471824;173.05411350637922;172.5372855257369
Tx Utilization Per Node;3;1; ;191.42617885853699;190.98335199776028;189.82704075510938;191.5473543174819;189.76631804183498;190.00673919129704;191.16858976922768;191.17429908410992;189.8016538015438;190.90841099068112
Tx Utilization Per Node;3;2; ;189.41927968643762;191.15818101827782;191.7917649882014;191.1137163540375;190.7191037075551;191.26314842218935;191.13857337119546;190.11966564012317;189.71573411190658;191.24587049554054


Rx Utilization Per Node;1;1; ;148.5908191017078;149.62295524537055;150.45695516538015;147.4278686557613;150.29968403791545;150.55900291964963;150.86090669119704;149.21848378194616;148.9189797224333;150.016458025037
Rx Utilization Per Node;1;2; ;151.4970903491581;150.29561452625686;148.7323821141463;150.1515618125825;149.72543294804623;150.69476662800463;149.00003999520058;149.40908091029075;150.45408550973883;149.67976842778867
Rx Utilization Per Node;2;1; ;173.11474623045234;174.093818741751;171.68590769107706;172.96184457865056;171.36261648602166;171.8925128984522;173.05357357117146;171.87636483621966;172.25893892732873;174.6037075550934
Rx Utilization Per Node;2;2; ;173.58182018157822;173.46129464464263;171.52748670159582;172.86584609846818;173.32731072271326;172.82794064712235;172.7654581450226;173.71654401471824;173.05411350637922;172.5372855257369
Rx Utilization Per Node;3;1; ;191.42617885853699;190.98335199776028;189.82704075510938;191.5473543174819;189.76631804183498;190.00673919129704;191.16858976922768;191.17429908410992;189.8016538015438;190.90841099068112
Rx Utilization Per Node;3;2; ;189.41927968643762;191.15818101827782;191.7917649882014;191.1137163540375;190.7191037075551;191.26314842218935;191.13857337119546;190.11966564012317;189.71573411190658;191.24587049554054


Max Tx Utilization Per Node;1;1; ;187;190;189;185;188;189;189;192;191;188
Max Tx Utilization Per Node;1;2; ;192;188;185;194;193;193;183;189;196;188
Max Tx Utilization Per Node;2;1; ;211;211;212;207;208;204;214;209;211;214
Max Tx Utilization Per Node;2;2; ;208;209;207;213;215;208;207;206;208;204
Max Tx Utilization Per Node;3;1; ;229;228;224;228;221;226;227;228;230;224
Max Tx Utilization Per Node;3;2; ;221;225;226;224;223;230;232;220;229;225


Max Rx Utilization Per Node;1;1; ;192;188;185;194;193;193;183;189;196;188
Max Rx Utilization Per Node;1;2; ;187;190;189;185;188;189;189;192;191;188
Max Rx Utilization Per Node;2;1; ;208;209;207;213;215;208;207;206;208;204
Max Rx Utilization Per Node;2;2; ;211;211;212;207;208;204;214;209;211;214
Max Rx Utilization Per Node;3;1; ;221;225;226;224;223;230;232;220;229;225
Max Rx Utilization Per Node;3;2; ;229;228;224;228;221;226;227;228;230;224
