Metrics;LoadPoint;link; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
External Fragmentation (Vertical);1;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
External Fragmentation (Vertical);2;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
External Fragmentation (Vertical);3;all; ;0.0;-1.0768963504584778E-4;0.0;0.0;0.0;0.0;0.0;0.0;9.998800143982723E-6;0.0


External Fragmentation (Horizontal);1;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
External Fragmentation (Horizontal);2;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
External Fragmentation (Horizontal);3;all; ;0.0;-1.0815571070191489E-4;0.0;0.0;0.0;0.0;0.0;0.0;1.9997600287965445E-5;0.0


External Fragmentation Per Link;1;<1-2>; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
External Fragmentation Per Link;1;<2-1>; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
External Fragmentation Per Link;2;<1-2>; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
External Fragmentation Per Link;2;<2-1>; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
External Fragmentation Per Link;3;<1-2>; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.9997600287965445E-5;0.0
External Fragmentation Per Link;3;<2-1>; ;0.0;-2.1537927009169556E-4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0


