Metrics;LoadPoint;link;spectrum size (c); ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Relative Fragmentation per spectrum size (c);1;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);1;all;2; ;0.0025624115814137133;0.002602834650026003;0.0026123645066459715;0.0026158937781231573;0.0025842286323851755;0.0026138235842643933;0.0025921921393237688;0.002591102151929755;0.002610601105887624;0.0025861433296191336
Relative Fragmentation per spectrum size (c);1;all;3; ;0.005164857394916599;0.005176265975772384;0.005189990385187647;0.005193629624697198;0.005158666308986612;0.005194743019290255;0.005134591564760411;0.0051978050059008464;0.005170325731946931;0.005199387120675202
Relative Fragmentation per spectrum size (c);1;all;5; ;0.010296712559183158;0.010403027771598853;0.010372729341709878;0.010462979885198178;0.010380725625911962;0.010381471570515884;0.010338852694619791;0.010418131621809261;0.010357799913825067;0.01037011078888162
Relative Fragmentation per spectrum size (c);2;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);2;all;2; ;0.0033572474588247575;0.003336140226854879;0.0032729798787228923;0.0032442531483901868;0.0033289305083956645;0.003303757080289938;0.003375625490018787;0.003360394624690042;0.0033034125510835654;0.0033322163599480005
Relative Fragmentation per spectrum size (c);2;all;3; ;0.006674154171155775;0.00665294540477553;0.00660923444359124;0.006505522342882597;0.006641484460694099;0.006651075016840323;0.006721439777583926;0.006701064344382788;0.006608587829002882;0.006686367653831052
Relative Fragmentation per spectrum size (c);2;all;5; ;0.013354867911342374;0.013383482275991157;0.013158309180204445;0.012995973237595364;0.013349881668692689;0.013359776683085706;0.013444551392547056;0.013417719397878655;0.01320285947508537;0.013347870466440885
Relative Fragmentation per spectrum size (c);3;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);3;all;2; ;0.004850987184444729;0.004877369821472816;0.0047678683580149265;0.004588716660358158;0.004811268281075813;0.004509966730431812;0.004817118569801351;0.00481163917143101;0.005089639794539505;0.004754482564303257
Relative Fragmentation per spectrum size (c);3;all;3; ;0.009650259179547984;0.009656495368352839;0.009428130705585661;0.009250565881800801;0.00957416581437693;0.009019256307115876;0.00956447371519256;0.00959768247500759;0.010107733341003714;0.009458790302107365
Relative Fragmentation per spectrum size (c);3;all;5; ;0.019332254270366934;0.019323374336002203;0.01892292421814088;0.018566795606986538;0.01930605263449222;0.018231639114618933;0.019269021779920053;0.019204322500038343;0.020154530380979693;0.01909442128741793


